stateFIPS,State,countyFIPS,County,Year,Value,
4,Arizona,4001,Apache,2008,142,
4,Arizona,4001,Apache,2009,304,
4,Arizona,4001,Apache,2010,324,
4,Arizona,4001,Apache,2011,421,
4,Arizona,4001,Apache,2012,263,
4,Arizona,4001,Apache,2013,285,
4,Arizona,4001,Apache,2014,269,
4,Arizona,4001,Apache,2015,220,
4,Arizona,4003,Cochise,2008,646,
4,Arizona,4003,Cochise,2009,721,
4,Arizona,4003,Cochise,2010,652,
4,Arizona,4003,Cochise,2011,526,
4,Arizona,4003,Cochise,2012,556,
4,Arizona,4003,Cochise,2013,551,
4,Arizona,4003,Cochise,2014,527,
4,Arizona,4003,Cochise,2015,418,
4,Arizona,4005,Coconino,2008,322,
4,Arizona,4005,Coconino,2009,316,
4,Arizona,4005,Coconino,2010,409,
4,Arizona,4005,Coconino,2011,370,
4,Arizona,4005,Coconino,2012,314,
4,Arizona,4005,Coconino,2013,294,
4,Arizona,4005,Coconino,2014,290,
4,Arizona,4005,Coconino,2015,293,
4,Arizona,4007,Gila,2008,199,
4,Arizona,4007,Gila,2009,220,
4,Arizona,4007,Gila,2010,262,
4,Arizona,4007,Gila,2011,300,
4,Arizona,4007,Gila,2012,255,
4,Arizona,4007,Gila,2013,222,
4,Arizona,4007,Gila,2014,225,
4,Arizona,4007,Gila,2015,226,
4,Arizona,4009,Graham,2008,237,
4,Arizona,4009,Graham,2009,239,
4,Arizona,4009,Graham,2010,226,
4,Arizona,4009,Graham,2011,215,
4,Arizona,4009,Graham,2012,244,
4,Arizona,4009,Graham,2013,179,
4,Arizona,4009,Graham,2014,240,
4,Arizona,4009,Graham,2015,233,
4,Arizona,4011,Greenlee,2008,10,
4,Arizona,4011,Greenlee,2009,24,
4,Arizona,4011,Greenlee,2010,24,
4,Arizona,4011,Greenlee,2011,19,
4,Arizona,4011,Greenlee,2012,15,
4,Arizona,4011,Greenlee,2013,10,
4,Arizona,4011,Greenlee,2014,23,
4,Arizona,4011,Greenlee,2015,20,
4,Arizona,4012,La Paz,2008,98,
4,Arizona,4012,La Paz,2009,72,
4,Arizona,4012,La Paz,2010,130,
4,Arizona,4012,La Paz,2011,118,
4,Arizona,4012,La Paz,2012,107,
4,Arizona,4012,La Paz,2013,98,
4,Arizona,4012,La Paz,2014,93,
4,Arizona,4012,La Paz,2015,109,
4,Arizona,4013,Maricopa,2008,"15,344",
4,Arizona,4013,Maricopa,2009,"16,252",
4,Arizona,4013,Maricopa,2010,"16,091",
4,Arizona,4013,Maricopa,2011,"16,195",
4,Arizona,4013,Maricopa,2012,"18,957",
4,Arizona,4013,Maricopa,2013,"17,100",
4,Arizona,4013,Maricopa,2014,"18,348",
4,Arizona,4013,Maricopa,2015,"18,494",
4,Arizona,4015,Mohave,2008,937,
4,Arizona,4015,Mohave,2009,966,
4,Arizona,4015,Mohave,2010,982,
4,Arizona,4015,Mohave,2011,"1,001",
4,Arizona,4015,Mohave,2012,"1,034",
4,Arizona,4015,Mohave,2013,861,
4,Arizona,4015,Mohave,2014,860,
4,Arizona,4015,Mohave,2015,833,
4,Arizona,4017,Navajo,2008,279,
4,Arizona,4017,Navajo,2009,298,
4,Arizona,4017,Navajo,2010,290,
4,Arizona,4017,Navajo,2011,330,
4,Arizona,4017,Navajo,2012,342,
4,Arizona,4017,Navajo,2013,338,
4,Arizona,4017,Navajo,2014,320,
4,Arizona,4017,Navajo,2015,345,
4,Arizona,4019,Pima,2008,"3,306",
4,Arizona,4019,Pima,2009,"3,321",
4,Arizona,4019,Pima,2010,"3,269",
4,Arizona,4019,Pima,2011,"3,189",
4,Arizona,4019,Pima,2012,"3,378",
4,Arizona,4019,Pima,2013,"2,880",
4,Arizona,4019,Pima,2014,"3,113",
4,Arizona,4019,Pima,2015,"3,327",
4,Arizona,4021,Pinal,2008,"1,166",
4,Arizona,4021,Pinal,2009,"1,154",
4,Arizona,4021,Pinal,2010,"1,121",
4,Arizona,4021,Pinal,2011,"1,307",
4,Arizona,4021,Pinal,2012,"1,480",
4,Arizona,4021,Pinal,2013,"1,393",
4,Arizona,4021,Pinal,2014,"1,442",
4,Arizona,4021,Pinal,2015,"1,536",
4,Arizona,4023,Santa Cruz,2008,179,
4,Arizona,4023,Santa Cruz,2009,160,
4,Arizona,4023,Santa Cruz,2010,142,
4,Arizona,4023,Santa Cruz,2011,123,
4,Arizona,4023,Santa Cruz,2012,128,
4,Arizona,4023,Santa Cruz,2013,113,
4,Arizona,4023,Santa Cruz,2014,169,
4,Arizona,4023,Santa Cruz,2015,172,
4,Arizona,4025,Yavapai,2008,775,
4,Arizona,4025,Yavapai,2009,743,
4,Arizona,4025,Yavapai,2010,723,
4,Arizona,4025,Yavapai,2011,699,
4,Arizona,4025,Yavapai,2012,793,
4,Arizona,4025,Yavapai,2013,795,
4,Arizona,4025,Yavapai,2014,814,
4,Arizona,4025,Yavapai,2015,717,
4,Arizona,4027,Yuma,2008,"1,017",
4,Arizona,4027,Yuma,2009,"1,103",
4,Arizona,4027,Yuma,2010,839,
4,Arizona,4027,Yuma,2011,887,
4,Arizona,4027,Yuma,2012,986,
4,Arizona,4027,Yuma,2013,910,
4,Arizona,4027,Yuma,2014,799,
4,Arizona,4027,Yuma,2015,742,
