stateFIPS,State,countyFIPS,County,Year,Value,
4,Arizona,4001,Apache,1996,"69,508",
4,Arizona,4001,Apache,1997,"70,478",
4,Arizona,4001,Apache,1998,"69,851",
4,Arizona,4001,Apache,1999,"69,802",
4,Arizona,4001,Apache,2000,"69,507",
4,Arizona,4001,Apache,2001,"67,863",
4,Arizona,4001,Apache,2002,"67,319",
4,Arizona,4001,Apache,2003,"68,072",
4,Arizona,4001,Apache,2004,"68,161",
4,Arizona,4001,Apache,2005,"68,521",
4,Arizona,4001,Apache,2006,"69,390",
4,Arizona,4001,Apache,2007,"69,602",
4,Arizona,4001,Apache,2008,"69,883",
4,Arizona,4001,Apache,2009,"71,008",
4,Arizona,4001,Apache,2010,"71,838",
4,Arizona,4001,Apache,2011,"72,179",
4,Arizona,4001,Apache,2012,"72,215",
4,Arizona,4001,Apache,2013,"72,292",
4,Arizona,4001,Apache,2014,"71,762",
4,Arizona,4001,Apache,2015,"70,979",
4,Arizona,4003,Cochise,1996,"112,880",
4,Arizona,4003,Cochise,1997,"114,907",
4,Arizona,4003,Cochise,1998,"116,091",
4,Arizona,4003,Cochise,1999,"116,530",
4,Arizona,4003,Cochise,2000,"118,132",
4,Arizona,4003,Cochise,2001,"118,798",
4,Arizona,4003,Cochise,2002,"119,847",
4,Arizona,4003,Cochise,2003,"120,638",
4,Arizona,4003,Cochise,2004,"123,234",
4,Arizona,4003,Cochise,2005,"125,786",
4,Arizona,4003,Cochise,2006,"127,241",
4,Arizona,4003,Cochise,2007,"128,206",
4,Arizona,4003,Cochise,2008,"129,023",
4,Arizona,4003,Cochise,2009,"130,081",
4,Arizona,4003,Cochise,2010,"131,782",
4,Arizona,4003,Cochise,2011,"132,952",
4,Arizona,4003,Cochise,2012,"131,826",
4,Arizona,4003,Cochise,2013,"129,332",
4,Arizona,4003,Cochise,2014,"127,054",
4,Arizona,4003,Cochise,2015,"126,084",
4,Arizona,4005,Coconino,1996,"112,686",
4,Arizona,4005,Coconino,1997,"114,444",
4,Arizona,4005,Coconino,1998,"114,874",
4,Arizona,4005,Coconino,1999,"115,307",
4,Arizona,4005,Coconino,2000,"116,773",
4,Arizona,4005,Coconino,2001,"118,283",
4,Arizona,4005,Coconino,2002,"121,308",
4,Arizona,4005,Coconino,2003,"122,882",
4,Arizona,4005,Coconino,2004,"125,117",
4,Arizona,4005,Coconino,2005,"127,025",
4,Arizona,4005,Coconino,2006,"128,695",
4,Arizona,4005,Coconino,2007,"130,442",
4,Arizona,4005,Coconino,2008,"131,853",
4,Arizona,4005,Coconino,2009,"133,477",
4,Arizona,4005,Coconino,2010,"134,612",
4,Arizona,4005,Coconino,2011,"134,181",
4,Arizona,4005,Coconino,2012,"136,002",
4,Arizona,4005,Coconino,2013,"136,448",
4,Arizona,4005,Coconino,2014,"137,209",
4,Arizona,4005,Coconino,2015,"138,682",
4,Arizona,4007,Gila,1996,"48,437",
4,Arizona,4007,Gila,1997,"49,639",
4,Arizona,4007,Gila,1998,"50,496",
4,Arizona,4007,Gila,1999,"50,990",
4,Arizona,4007,Gila,2000,"51,332",
4,Arizona,4007,Gila,2001,"51,274",
4,Arizona,4007,Gila,2002,"51,478",
4,Arizona,4007,Gila,2003,"51,337",
4,Arizona,4007,Gila,2004,"51,423",
4,Arizona,4007,Gila,2005,"51,655",
4,Arizona,4007,Gila,2006,"52,541",
4,Arizona,4007,Gila,2007,"53,252",
4,Arizona,4007,Gila,2008,"53,437",
4,Arizona,4007,Gila,2009,"53,561",
4,Arizona,4007,Gila,2010,"53,572",
4,Arizona,4007,Gila,2011,"53,422",
4,Arizona,4007,Gila,2012,"52,973",
4,Arizona,4007,Gila,2013,"52,982",
4,Arizona,4007,Gila,2014,"53,008",
4,Arizona,4007,Gila,2015,"52,935",
4,Arizona,4009,Graham,1996,"31,503",
4,Arizona,4009,Graham,1997,"32,203",
4,Arizona,4009,Graham,1998,"32,795",
4,Arizona,4009,Graham,1999,"33,279",
4,Arizona,4009,Graham,2000,"33,511",
4,Arizona,4009,Graham,2001,"33,356",
4,Arizona,4009,Graham,2002,"33,224",
4,Arizona,4009,Graham,2003,"32,985",
4,Arizona,4009,Graham,2004,"32,703",
4,Arizona,4009,Graham,2005,"32,964",
4,Arizona,4009,Graham,2006,"33,701",
4,Arizona,4009,Graham,2007,"35,175",
4,Arizona,4009,Graham,2008,"36,639",
4,Arizona,4009,Graham,2009,"37,525",
4,Arizona,4009,Graham,2010,"37,158",
4,Arizona,4009,Graham,2011,"37,124",
4,Arizona,4009,Graham,2012,"37,009",
4,Arizona,4009,Graham,2013,"37,419",
4,Arizona,4009,Graham,2014,"38,064",
4,Arizona,4009,Graham,2015,"37,786",
4,Arizona,4011,Greenlee,1996,"9,034",
4,Arizona,4011,Greenlee,1997,"9,081",
4,Arizona,4011,Greenlee,1998,"8,919",
4,Arizona,4011,Greenlee,1999,"8,535",
4,Arizona,4011,Greenlee,2000,"8,547",
4,Arizona,4011,Greenlee,2001,"8,349",
4,Arizona,4011,Greenlee,2002,"7,831",
4,Arizona,4011,Greenlee,2003,"7,567",
4,Arizona,4011,Greenlee,2004,"7,549",
4,Arizona,4011,Greenlee,2005,"7,595",
4,Arizona,4011,Greenlee,2006,"7,838",
4,Arizona,4011,Greenlee,2007,"8,205",
4,Arizona,4011,Greenlee,2008,"8,561",
4,Arizona,4011,Greenlee,2009,"8,635",
4,Arizona,4011,Greenlee,2010,"8,332",
4,Arizona,4011,Greenlee,2011,"8,569",
4,Arizona,4011,Greenlee,2012,"8,744",
4,Arizona,4011,Greenlee,2013,"8,892",
4,Arizona,4011,Greenlee,2014,"9,319",
4,Arizona,4011,Greenlee,2015,"9,549",
4,Arizona,4012,La Paz,1996,"17,547",
4,Arizona,4012,La Paz,1997,"18,277",
4,Arizona,4012,La Paz,1998,"18,859",
4,Arizona,4012,La Paz,1999,"19,355",
4,Arizona,4012,La Paz,2000,"19,611",
4,Arizona,4012,La Paz,2001,"19,580",
4,Arizona,4012,La Paz,2002,"19,464",
4,Arizona,4012,La Paz,2003,"19,722",
4,Arizona,4012,La Paz,2004,"19,979",
4,Arizona,4012,La Paz,2005,"20,379",
4,Arizona,4012,La Paz,2006,"20,573",
4,Arizona,4012,La Paz,2007,"20,647",
4,Arizona,4012,La Paz,2008,"20,555",
4,Arizona,4012,La Paz,2009,"20,514",
4,Arizona,4012,La Paz,2010,"20,492",
4,Arizona,4012,La Paz,2011,"20,582",
4,Arizona,4012,La Paz,2012,"20,492",
4,Arizona,4012,La Paz,2013,"20,479",
4,Arizona,4012,La Paz,2014,"20,442",
4,Arizona,4012,La Paz,2015,"20,342",
4,Arizona,4013,Maricopa,1996,"2,703,078",
4,Arizona,4013,Maricopa,1997,"2,805,009",
4,Arizona,4013,Maricopa,1998,"2,909,040",
4,Arizona,4013,Maricopa,1999,"3,004,985",
4,Arizona,4013,Maricopa,2000,"3,092,197",
4,Arizona,4013,Maricopa,2001,"3,175,989",
4,Arizona,4013,Maricopa,2002,"3,255,388",
4,Arizona,4013,Maricopa,2003,"3,328,468",
4,Arizona,4013,Maricopa,2004,"3,417,860",
4,Arizona,4013,Maricopa,2005,"3,538,988",
4,Arizona,4013,Maricopa,2006,"3,642,884",
4,Arizona,4013,Maricopa,2007,"3,711,954",
4,Arizona,4013,Maricopa,2008,"3,771,061",
4,Arizona,4013,Maricopa,2009,"3,803,779",
4,Arizona,4013,Maricopa,2010,"3,824,644",
4,Arizona,4013,Maricopa,2011,"3,869,626",
4,Arizona,4013,Maricopa,2012,"3,939,776",
4,Arizona,4013,Maricopa,2013,"4,006,307",
4,Arizona,4013,Maricopa,2014,"4,076,708",
4,Arizona,4013,Maricopa,2015,"4,154,076",
4,Arizona,4015,Mohave,1996,"136,436",
4,Arizona,4015,Mohave,1997,"140,922",
4,Arizona,4015,Mohave,1998,"145,155",
4,Arizona,4015,Mohave,1999,"150,351",
4,Arizona,4015,Mohave,2000,"156,215",
4,Arizona,4015,Mohave,2001,"160,312",
4,Arizona,4015,Mohave,2002,"166,155",
4,Arizona,4015,Mohave,2003,"172,633",
4,Arizona,4015,Mohave,2004,"180,521",
4,Arizona,4015,Mohave,2005,"188,773",
4,Arizona,4015,Mohave,2006,"196,168",
4,Arizona,4015,Mohave,2007,"199,760",
4,Arizona,4015,Mohave,2008,"200,078",
4,Arizona,4015,Mohave,2009,"199,696",
4,Arizona,4015,Mohave,2010,"200,315",
4,Arizona,4015,Mohave,2011,"202,733",
4,Arizona,4015,Mohave,2012,"203,262",
4,Arizona,4015,Mohave,2013,"203,026",
4,Arizona,4015,Mohave,2014,"203,320",
4,Arizona,4015,Mohave,2015,"204,524",
4,Arizona,4017,Navajo,1996,"90,646",
4,Arizona,4017,Navajo,1997,"92,910",
4,Arizona,4017,Navajo,1998,"94,824",
4,Arizona,4017,Navajo,1999,"96,100",
4,Arizona,4017,Navajo,2000,"97,689",
4,Arizona,4017,Navajo,2001,"97,849",
4,Arizona,4017,Navajo,2002,"100,123",
4,Arizona,4017,Navajo,2003,"101,529",
4,Arizona,4017,Navajo,2004,"102,774",
4,Arizona,4017,Navajo,2005,"104,184",
4,Arizona,4017,Navajo,2006,"105,624",
4,Arizona,4017,Navajo,2007,"106,927",
4,Arizona,4017,Navajo,2008,"107,626",
4,Arizona,4017,Navajo,2009,"107,571",
4,Arizona,4017,Navajo,2010,"107,695",
4,Arizona,4017,Navajo,2011,"107,518",
4,Arizona,4017,Navajo,2012,"107,268",
4,Arizona,4017,Navajo,2013,"107,077",
4,Arizona,4017,Navajo,2014,"107,613",
4,Arizona,4017,Navajo,2015,"107,543",
4,Arizona,4019,Pima,1996,"783,685",
4,Arizona,4019,Pima,1997,"798,521",
4,Arizona,4019,Pima,1998,"813,386",
4,Arizona,4019,Pima,1999,"828,905",
4,Arizona,4019,Pima,2000,"848,019",
4,Arizona,4019,Pima,2001,"859,280",
4,Arizona,4019,Pima,2002,"874,267",
4,Arizona,4019,Pima,2003,"885,893",
4,Arizona,4019,Pima,2004,"901,342",
4,Arizona,4019,Pima,2005,"920,298",
4,Arizona,4019,Pima,2006,"940,930",
4,Arizona,4019,Pima,2007,"955,869",
4,Arizona,4019,Pima,2008,"967,778",
4,Arizona,4019,Pima,2009,"975,580",
4,Arizona,4019,Pima,2010,"981,540",
4,Arizona,4019,Pima,2011,"987,297",
4,Arizona,4019,Pima,2012,"991,528",
4,Arizona,4019,Pima,2013,"994,759",
4,Arizona,4019,Pima,2014,"1,000,916",
4,Arizona,4019,Pima,2015,"1,005,323",
4,Arizona,4021,Pinal,1996,"152,633",
4,Arizona,4021,Pinal,1997,"158,705",
4,Arizona,4021,Pinal,1998,"165,492",
4,Arizona,4021,Pinal,1999,"173,364",
4,Arizona,4021,Pinal,2000,"181,280",
4,Arizona,4021,Pinal,2001,"187,747",
4,Arizona,4021,Pinal,2002,"197,082",
4,Arizona,4021,Pinal,2003,"207,920",
4,Arizona,4021,Pinal,2004,"219,472",
4,Arizona,4021,Pinal,2005,"235,708",
4,Arizona,4021,Pinal,2006,"271,328",
4,Arizona,4021,Pinal,2007,"306,174",
4,Arizona,4021,Pinal,2008,"335,311",
4,Arizona,4021,Pinal,2009,"349,830",
4,Arizona,4021,Pinal,2010,"379,504",
4,Arizona,4021,Pinal,2011,"378,226",
4,Arizona,4021,Pinal,2012,"381,910",
4,Arizona,4021,Pinal,2013,"384,258",
4,Arizona,4021,Pinal,2014,"394,004",
4,Arizona,4021,Pinal,2015,"404,069",
4,Arizona,4023,Santa Cruz,1996,"35,205",
4,Arizona,4023,Santa Cruz,1997,"36,074",
4,Arizona,4023,Santa Cruz,1998,"36,809",
4,Arizona,4023,Santa Cruz,1999,"37,713",
4,Arizona,4023,Santa Cruz,2000,"38,589",
4,Arizona,4023,Santa Cruz,2001,"39,288",
4,Arizona,4023,Santa Cruz,2002,"40,009",
4,Arizona,4023,Santa Cruz,2003,"40,625",
4,Arizona,4023,Santa Cruz,2004,"41,623",
4,Arizona,4023,Santa Cruz,2005,"42,961",
4,Arizona,4023,Santa Cruz,2006,"44,298",
4,Arizona,4023,Santa Cruz,2007,"45,338",
4,Arizona,4023,Santa Cruz,2008,"46,144",
4,Arizona,4023,Santa Cruz,2009,"47,011",
4,Arizona,4023,Santa Cruz,2010,"47,425",
4,Arizona,4023,Santa Cruz,2011,"47,615",
4,Arizona,4023,Santa Cruz,2012,"47,292",
4,Arizona,4023,Santa Cruz,2013,"46,845",
4,Arizona,4023,Santa Cruz,2014,"46,468",
4,Arizona,4023,Santa Cruz,2015,"46,191",
4,Arizona,4025,Yavapai,1996,"146,414",
4,Arizona,4025,Yavapai,1997,"151,924",
4,Arizona,4025,Yavapai,1998,"157,686",
4,Arizona,4025,Yavapai,1999,"162,943",
4,Arizona,4025,Yavapai,2000,"168,608",
4,Arizona,4025,Yavapai,2001,"172,636",
4,Arizona,4025,Yavapai,2002,"177,362",
4,Arizona,4025,Yavapai,2003,"182,090",
4,Arizona,4025,Yavapai,2004,"187,822",
4,Arizona,4025,Yavapai,2005,"195,424",
4,Arizona,4025,Yavapai,2006,"204,082",
4,Arizona,4025,Yavapai,2007,"208,773",
4,Arizona,4025,Yavapai,2008,"211,211",
4,Arizona,4025,Yavapai,2009,"211,172",
4,Arizona,4025,Yavapai,2010,"210,969",
4,Arizona,4025,Yavapai,2011,"210,883",
4,Arizona,4025,Yavapai,2012,"211,809",
4,Arizona,4025,Yavapai,2013,"214,198",
4,Arizona,4025,Yavapai,2014,"217,509",
4,Arizona,4025,Yavapai,2015,"220,621",
4,Arizona,4027,Yuma,1996,"137,248",
4,Arizona,4027,Yuma,1997,"143,896",
4,Arizona,4027,Yuma,1998,"149,065",
4,Arizona,4027,Yuma,1999,"155,665",
