stateFIPS,State,countyFIPS,County,Year,Value,
9,Connecticut,9001,Fairfield,2000,110,
9,Connecticut,9001,Fairfield,2001,404,
9,Connecticut,9001,Fairfield,2002,455,
9,Connecticut,9001,Fairfield,2003,498,
9,Connecticut,9001,Fairfield,2004,478,
9,Connecticut,9001,Fairfield,2005,465,
9,Connecticut,9001,Fairfield,2006,419,
9,Connecticut,9001,Fairfield,2007,"4,802",
9,Connecticut,9001,Fairfield,2008,866,
9,Connecticut,9001,Fairfield,2009,765,
9,Connecticut,9001,Fairfield,2010,906,
9,Connecticut,9001,Fairfield,2011,"4,467",
9,Connecticut,9001,Fairfield,2012,"4,826",
9,Connecticut,9001,Fairfield,2013,"4,238",
9,Connecticut,9001,Fairfield,2014,"3,792",
9,Connecticut,9001,Fairfield,2015,"3,602",
9,Connecticut,9003,Hartford,2000,273,
9,Connecticut,9003,Hartford,2001,862,
9,Connecticut,9003,Hartford,2002,971,
9,Connecticut,9003,Hartford,2003,"1,115",
9,Connecticut,9003,Hartford,2004,"1,005",
9,Connecticut,9003,Hartford,2005,"1,102",
9,Connecticut,9003,Hartford,2006,"1,114",
9,Connecticut,9003,Hartford,2007,"7,108",
9,Connecticut,9003,Hartford,2008,952,
9,Connecticut,9003,Hartford,2009,935,
9,Connecticut,9003,Hartford,2010,"1,219",
9,Connecticut,9003,Hartford,2011,"7,461",
9,Connecticut,9003,Hartford,2012,"7,211",
9,Connecticut,9003,Hartford,2013,"6,919",
9,Connecticut,9003,Hartford,2014,"7,273",
9,Connecticut,9003,Hartford,2015,"6,327",
9,Connecticut,9005,Litchfield,2000,21,
9,Connecticut,9005,Litchfield,2001,73,
9,Connecticut,9005,Litchfield,2002,72,
9,Connecticut,9005,Litchfield,2003,83,
9,Connecticut,9005,Litchfield,2004,61,
9,Connecticut,9005,Litchfield,2005,67,
9,Connecticut,9005,Litchfield,2006,71,
9,Connecticut,9005,Litchfield,2007,783,
9,Connecticut,9005,Litchfield,2008,84,
9,Connecticut,9005,Litchfield,2009,116,
9,Connecticut,9005,Litchfield,2010,126,
9,Connecticut,9005,Litchfield,2011,800,
9,Connecticut,9005,Litchfield,2012,667,
9,Connecticut,9005,Litchfield,2013,624,
9,Connecticut,9005,Litchfield,2014,666,
9,Connecticut,9005,Litchfield,2015,568,
9,Connecticut,9007,Middlesex,2000,21,
9,Connecticut,9007,Middlesex,2001,87,
9,Connecticut,9007,Middlesex,2002,56,
9,Connecticut,9007,Middlesex,2003,61,
9,Connecticut,9007,Middlesex,2004,53,
9,Connecticut,9007,Middlesex,2005,60,
9,Connecticut,9007,Middlesex,2006,69,
9,Connecticut,9007,Middlesex,2007,767,
9,Connecticut,9007,Middlesex,2008,104,
9,Connecticut,9007,Middlesex,2009,89,
9,Connecticut,9007,Middlesex,2010,94,
9,Connecticut,9007,Middlesex,2011,741,
9,Connecticut,9007,Middlesex,2012,696,
9,Connecticut,9007,Middlesex,2013,672,
9,Connecticut,9007,Middlesex,2014,602,
9,Connecticut,9007,Middlesex,2015,590,
9,Connecticut,9009,New Haven,2000,325,
9,Connecticut,9009,New Haven,2001,"1,021",
9,Connecticut,9009,New Haven,2002,"1,125",
9,Connecticut,9009,New Haven,2003,"1,249",
9,Connecticut,9009,New Haven,2004,"1,155",
9,Connecticut,9009,New Haven,2005,"1,301",
9,Connecticut,9009,New Haven,2006,"1,528",
9,Connecticut,9009,New Haven,2007,"7,756",
9,Connecticut,9009,New Haven,2008,"1,590",
9,Connecticut,9009,New Haven,2009,"1,451",
9,Connecticut,9009,New Haven,2010,"1,646",
9,Connecticut,9009,New Haven,2011,"6,867",
9,Connecticut,9009,New Haven,2012,"6,840",
9,Connecticut,9009,New Haven,2013,"6,165",
9,Connecticut,9009,New Haven,2014,"6,090",
9,Connecticut,9009,New Haven,2015,"5,620",
9,Connecticut,9011,New London,2000,45,
9,Connecticut,9011,New London,2001,180,
9,Connecticut,9011,New London,2002,243,
9,Connecticut,9011,New London,2003,286,
9,Connecticut,9011,New London,2004,239,
9,Connecticut,9011,New London,2005,159,
9,Connecticut,9011,New London,2006,108,
9,Connecticut,9011,New London,2007,"2,428",
9,Connecticut,9011,New London,2008,234,
9,Connecticut,9011,New London,2009,283,
9,Connecticut,9011,New London,2010,295,
9,Connecticut,9011,New London,2011,"2,447",
9,Connecticut,9011,New London,2012,"2,427",
9,Connecticut,9011,New London,2013,"2,121",
9,Connecticut,9011,New London,2014,"2,069",
9,Connecticut,9011,New London,2015,"2,049",
9,Connecticut,9013,Tolland,2000,28,
9,Connecticut,9013,Tolland,2001,61,
9,Connecticut,9013,Tolland,2002,55,
9,Connecticut,9013,Tolland,2003,74,
9,Connecticut,9013,Tolland,2004,85,
9,Connecticut,9013,Tolland,2005,98,
9,Connecticut,9013,Tolland,2006,76,
9,Connecticut,9013,Tolland,2007,633,
9,Connecticut,9013,Tolland,2008,88,
9,Connecticut,9013,Tolland,2009,83,
9,Connecticut,9013,Tolland,2010,86,
9,Connecticut,9013,Tolland,2011,578,
9,Connecticut,9013,Tolland,2012,489,
9,Connecticut,9013,Tolland,2013,426,
9,Connecticut,9013,Tolland,2014,442,
9,Connecticut,9013,Tolland,2015,392,
9,Connecticut,9015,Windham,2000,27,
9,Connecticut,9015,Windham,2001,114,
9,Connecticut,9015,Windham,2002,108,
9,Connecticut,9015,Windham,2003,125,
9,Connecticut,9015,Windham,2004,143,
9,Connecticut,9015,Windham,2005,116,
9,Connecticut,9015,Windham,2006,106,
9,Connecticut,9015,Windham,2007,909,
9,Connecticut,9015,Windham,2008,174,
9,Connecticut,9015,Windham,2009,145,
9,Connecticut,9015,Windham,2010,128,
9,Connecticut,9015,Windham,2011,897,
9,Connecticut,9015,Windham,2012,735,
9,Connecticut,9015,Windham,2013,612,
9,Connecticut,9015,Windham,2014,737,
9,Connecticut,9015,Windham,2015,825,
