stateFIPS,State,countyFIPS,County,Year,Value,
9,Connecticut,9001,Fairfield,1996,"854,421",
9,Connecticut,9001,Fairfield,1997,"861,020",
9,Connecticut,9001,Fairfield,1998,"868,651",
9,Connecticut,9001,Fairfield,1999,"877,043",
9,Connecticut,9001,Fairfield,2000,"884,364",
9,Connecticut,9001,Fairfield,2001,"889,063",
9,Connecticut,9001,Fairfield,2002,"892,900",
9,Connecticut,9001,Fairfield,2003,"896,342",
9,Connecticut,9001,Fairfield,2004,"897,472",
9,Connecticut,9001,Fairfield,2005,"897,653",
9,Connecticut,9001,Fairfield,2006,"896,254",
9,Connecticut,9001,Fairfield,2007,"897,498",
9,Connecticut,9001,Fairfield,2008,"903,824",
9,Connecticut,9001,Fairfield,2009,"910,421",
9,Connecticut,9001,Fairfield,2010,"919,749",
9,Connecticut,9001,Fairfield,2011,"929,398",
9,Connecticut,9001,Fairfield,2012,"936,345",
9,Connecticut,9001,Fairfield,2013,"942,865",
9,Connecticut,9001,Fairfield,2014,"946,547",
9,Connecticut,9001,Fairfield,2015,"948,116",
9,Connecticut,9003,Hartford,1996,"846,156",
9,Connecticut,9003,Hartford,1997,"846,001",
9,Connecticut,9003,Hartford,1998,"849,006",
9,Connecticut,9003,Hartford,1999,"853,039",
9,Connecticut,9003,Hartford,2000,"858,416",
9,Connecticut,9003,Hartford,2001,"862,573",
9,Connecticut,9003,Hartford,2002,"867,451",
9,Connecticut,9003,Hartford,2003,"873,335",
9,Connecticut,9003,Hartford,2004,"874,449",
9,Connecticut,9003,Hartford,2005,"878,081",
9,Connecticut,9003,Hartford,2006,"881,298",
9,Connecticut,9003,Hartford,2007,"884,548",
9,Connecticut,9003,Hartford,2008,"887,891",
9,Connecticut,9003,Hartford,2009,"891,667",
9,Connecticut,9003,Hartford,2010,"895,504",
9,Connecticut,9003,Hartford,2011,"897,778",
9,Connecticut,9003,Hartford,2012,"898,572",
9,Connecticut,9003,Hartford,2013,"899,765",
9,Connecticut,9003,Hartford,2014,"898,810",
9,Connecticut,9003,Hartford,2015,"897,626",
9,Connecticut,9005,Litchfield,1996,"179,236",
9,Connecticut,9005,Litchfield,1997,"179,770",
9,Connecticut,9005,Litchfield,1998,"180,506",
9,Connecticut,9005,Litchfield,1999,"181,328",
9,Connecticut,9005,Litchfield,2000,"182,597",
9,Connecticut,9005,Litchfield,2001,"184,118",
9,Connecticut,9005,Litchfield,2002,"185,974",
9,Connecticut,9005,Litchfield,2003,"187,424",
9,Connecticut,9005,Litchfield,2004,"188,601",
9,Connecticut,9005,Litchfield,2005,"188,912",
9,Connecticut,9005,Litchfield,2006,"189,682",
9,Connecticut,9005,Litchfield,2007,"189,866",
9,Connecticut,9005,Litchfield,2008,"190,175",
9,Connecticut,9005,Litchfield,2009,"190,015",
9,Connecticut,9005,Litchfield,2010,"189,829",
9,Connecticut,9005,Litchfield,2011,"189,076",
9,Connecticut,9005,Litchfield,2012,"187,685",
9,Connecticut,9005,Litchfield,2013,"187,062",
9,Connecticut,9005,Litchfield,2014,"185,585",
9,Connecticut,9005,Litchfield,2015,"184,349",
9,Connecticut,9007,Middlesex,1996,"148,995",
9,Connecticut,9007,Middlesex,1997,"150,377",
9,Connecticut,9007,Middlesex,1998,"151,806",
9,Connecticut,9007,Middlesex,1999,"153,340",
9,Connecticut,9007,Middlesex,2000,"155,593",
9,Connecticut,9007,Middlesex,2001,"157,006",
9,Connecticut,9007,Middlesex,2002,"159,187",
9,Connecticut,9007,Middlesex,2003,"160,864",
9,Connecticut,9007,Middlesex,2004,"161,450",
9,Connecticut,9007,Middlesex,2005,"162,191",
9,Connecticut,9007,Middlesex,2006,"163,473",
9,Connecticut,9007,Middlesex,2007,"164,129",
9,Connecticut,9007,Middlesex,2008,"164,962",
9,Connecticut,9007,Middlesex,2009,"165,607",
9,Connecticut,9007,Middlesex,2010,"165,625",
9,Connecticut,9007,Middlesex,2011,"166,265",
9,Connecticut,9007,Middlesex,2012,"165,519",
9,Connecticut,9007,Middlesex,2013,"165,293",
9,Connecticut,9007,Middlesex,2014,"164,717",
9,Connecticut,9007,Middlesex,2015,"163,698",
9,Connecticut,9009,New Haven,1996,"811,000",
9,Connecticut,9009,New Haven,1997,"813,505",
9,Connecticut,9009,New Haven,1998,"817,313",
9,Connecticut,9009,New Haven,1999,"820,396",
9,Connecticut,9009,New Haven,2000,"824,911",
9,Connecticut,9009,New Haven,2001,"829,875",
9,Connecticut,9009,New Haven,2002,"835,099",
9,Connecticut,9009,New Haven,2003,"841,939",
9,Connecticut,9009,New Haven,2004,"844,505",
9,Connecticut,9009,New Haven,2005,"847,162",
9,Connecticut,9009,New Haven,2006,"850,207",
9,Connecticut,9009,New Haven,2007,"853,598",
9,Connecticut,9009,New Haven,2008,"856,622",
9,Connecticut,9009,New Haven,2009,"860,025",
9,Connecticut,9009,New Haven,2010,"863,618",
9,Connecticut,9009,New Haven,2011,"864,725",
9,Connecticut,9009,New Haven,2012,"865,335",
9,Connecticut,9009,New Haven,2013,"864,558",
9,Connecticut,9009,New Haven,2014,"864,073",
9,Connecticut,9009,New Haven,2015,"861,594",
9,Connecticut,9011,New London,1996,"258,741",
9,Connecticut,9011,New London,1997,"258,662",
9,Connecticut,9011,New London,1998,"256,626",
9,Connecticut,9011,New London,1999,"257,568",
9,Connecticut,9011,New London,2000,"259,848",
9,Connecticut,9011,New London,2001,"261,396",
9,Connecticut,9011,New London,2002,"264,698",
9,Connecticut,9011,New London,2003,"266,584",
9,Connecticut,9011,New London,2004,"268,595",
9,Connecticut,9011,New London,2005,"269,664",
9,Connecticut,9011,New London,2006,"270,814",
9,Connecticut,9011,New London,2007,"270,669",
9,Connecticut,9011,New London,2008,"272,634",
9,Connecticut,9011,New London,2009,"273,630",
9,Connecticut,9011,New London,2010,"274,036",
9,Connecticut,9011,New London,2011,"273,226",
9,Connecticut,9011,New London,2012,"274,280",
9,Connecticut,9011,New London,2013,"273,388",
9,Connecticut,9011,New London,2014,"271,864",
9,Connecticut,9011,New London,2015,"270,266",
9,Connecticut,9013,Tolland,1996,"131,245",
9,Connecticut,9013,Tolland,1997,"132,614",
9,Connecticut,9013,Tolland,1998,"133,541",
9,Connecticut,9013,Tolland,1999,"134,939",
9,Connecticut,9013,Tolland,2000,"136,863",
9,Connecticut,9013,Tolland,2001,"138,934",
9,Connecticut,9013,Tolland,2002,"142,362",
9,Connecticut,9013,Tolland,2003,"145,195",
