stateFIPS,State,countyFIPS,County,Year,Value,
6,California,6001,Alameda,2005,"9,514",
6,California,6001,Alameda,2006,"9,217",
6,California,6001,Alameda,2007,"9,639",
6,California,6001,Alameda,2008,"9,800",
6,California,6001,Alameda,2009,"10,918",
6,California,6001,Alameda,2010,"9,782",
6,California,6001,Alameda,2011,"9,294",
6,California,6001,Alameda,2012,"9,868",
6,California,6001,Alameda,2013,"9,951",
6,California,6001,Alameda,2014,"9,893",
6,California,6001,Alameda,2015,"9,886",
6,California,6003,Alpine,2005,Suppressed,
6,California,6003,Alpine,2006,Suppressed,
6,California,6003,Alpine,2007,Suppressed,
6,California,6003,Alpine,2008,Suppressed,
6,California,6003,Alpine,2009,Suppressed,
6,California,6003,Alpine,2010,Suppressed,
6,California,6003,Alpine,2011,0,
6,California,6003,Alpine,2012,Suppressed,
6,California,6003,Alpine,2013,Suppressed,
6,California,6003,Alpine,2014,0,
6,California,6003,Alpine,2015,0,
6,California,6005,Amador,2005,140,
6,California,6005,Amador,2006,152,
6,California,6005,Amador,2007,161,
6,California,6005,Amador,2008,143,
6,California,6005,Amador,2009,154,
6,California,6005,Amador,2010,165,
6,California,6005,Amador,2011,215,
6,California,6005,Amador,2012,264,
6,California,6005,Amador,2013,255,
6,California,6005,Amador,2014,227,
6,California,6005,Amador,2015,195,
6,California,6007,Butte,2005,"1,054",
6,California,6007,Butte,2006,848,
6,California,6007,Butte,2007,854,
6,California,6007,Butte,2008,"1,025",
6,California,6007,Butte,2009,"1,102",
6,California,6007,Butte,2010,"1,163",
6,California,6007,Butte,2011,"1,097",
6,California,6007,Butte,2012,944,
6,California,6007,Butte,2013,967,
6,California,6007,Butte,2014,976,
6,California,6007,Butte,2015,"1,037",
6,California,6009,Calaveras,2005,193,
6,California,6009,Calaveras,2006,197,
6,California,6009,Calaveras,2007,183,
6,California,6009,Calaveras,2008,210,
6,California,6009,Calaveras,2009,159,
6,California,6009,Calaveras,2010,200,
6,California,6009,Calaveras,2011,223,
6,California,6009,Calaveras,2012,173,
6,California,6009,Calaveras,2013,222,
6,California,6009,Calaveras,2014,205,
6,California,6009,Calaveras,2015,183,
6,California,6011,Colusa,2005,104,
6,California,6011,Colusa,2006,106,
6,California,6011,Colusa,2007,62,
6,California,6011,Colusa,2008,101,
6,California,6011,Colusa,2009,84,
6,California,6011,Colusa,2010,82,
6,California,6011,Colusa,2011,66,
