stateFIPS,State,countyFIPS,County,Year,Value,
6,California,6001,Alameda,1996,"1,359,099",
6,California,6001,Alameda,1997,"1,380,383",
6,California,6001,Alameda,1998,"1,405,903",
6,California,6001,Alameda,1999,"1,427,114",
6,California,6001,Alameda,2000,"1,449,840",
6,California,6001,Alameda,2001,"1,469,484",
6,California,6001,Alameda,2002,"1,462,106",
6,California,6001,Alameda,2003,"1,454,163",
6,California,6001,Alameda,2004,"1,445,721",
6,California,6001,Alameda,2005,"1,441,545",
6,California,6001,Alameda,2006,"1,444,484",
6,California,6001,Alameda,2007,"1,455,715",
6,California,6001,Alameda,2008,"1,477,208",
6,California,6001,Alameda,2009,"1,498,539",
6,California,6001,Alameda,2010,"1,513,402",
6,California,6001,Alameda,2011,"1,532,215",
6,California,6001,Alameda,2012,"1,556,648",
6,California,6001,Alameda,2013,"1,582,936",
6,California,6001,Alameda,2014,"1,611,572",
6,California,6001,Alameda,2015,"1,637,141",
6,California,6003,Alpine,1996,"1,262",
6,California,6003,Alpine,1997,"1,239",
6,California,6003,Alpine,1998,"1,223",
6,California,6003,Alpine,1999,"1,205",
6,California,6003,Alpine,2000,"1,209",
6,California,6003,Alpine,2001,"1,196",
6,California,6003,Alpine,2002,"1,237",
6,California,6003,Alpine,2003,"1,233",
6,California,6003,Alpine,2004,"1,263",
6,California,6003,Alpine,2005,"1,219",
6,California,6003,Alpine,2006,"1,276",
6,California,6003,Alpine,2007,"1,274",
6,California,6003,Alpine,2008,"1,202",
6,California,6003,Alpine,2009,"1,197",
6,California,6003,Alpine,2010,"1,161",
6,California,6003,Alpine,2011,"1,093",
6,California,6003,Alpine,2012,"1,110",
6,California,6003,Alpine,2013,"1,127",
6,California,6003,Alpine,2014,"1,084",
6,California,6003,Alpine,2015,"1,088",
6,California,6005,Amador,1996,"33,841",
6,California,6005,Amador,1997,"34,107",
6,California,6005,Amador,1998,"34,116",
6,California,6005,Amador,1999,"34,903",
6,California,6005,Amador,2000,"35,153",
6,California,6005,Amador,2001,"35,697",
6,California,6005,Amador,2002,"36,561",
6,California,6005,Amador,2003,"36,994",
6,California,6005,Amador,2004,"37,400",
6,California,6005,Amador,2005,"38,040",
6,California,6005,Amador,2006,"38,353",
6,California,6005,Amador,2007,"38,756",
6,California,6005,Amador,2008,"38,248",
6,California,6005,Amador,2009,"38,238",
6,California,6005,Amador,2010,"37,884",
6,California,6005,Amador,2011,"37,539",
6,California,6005,Amador,2012,"37,112",
6,California,6005,Amador,2013,"36,635",
6,California,6005,Amador,2014,"36,748",
6,California,6005,Amador,2015,"37,047",
6,California,6007,Butte,1996,"196,327",
6,California,6007,Butte,1997,"197,994",
6,California,6007,Butte,1998,"199,993",
6,California,6007,Butte,1999,"201,282",
6,California,6007,Butte,2000,"203,807",
6,California,6007,Butte,2001,"206,193",
6,California,6007,Butte,2002,"209,120",
6,California,6007,Butte,2003,"211,481",
6,California,6007,Butte,2004,"213,065",
6,California,6007,Butte,2005,"214,752",
6,California,6007,Butte,2006,"216,824",
6,California,6007,Butte,2007,"217,469",
6,California,6007,Butte,2008,"219,034",
6,California,6007,Butte,2009,"219,777",
6,California,6007,Butte,2010,"219,957",
6,California,6007,Butte,2011,"220,003",
6,California,6007,Butte,2012,"220,969",
6,California,6007,Butte,2013,"221,768",
6,California,6007,Butte,2014,"223,629",
6,California,6007,Butte,2015,"224,818",
6,California,6009,Calaveras,1996,"38,441",
6,California,6009,Calaveras,1997,"39,098",
6,California,6009,Calaveras,1998,"39,581",
6,California,6009,Calaveras,1999,"40,000",
6,California,6009,Calaveras,2000,"40,645",
6,California,6009,Calaveras,2001,"41,304",
6,California,6009,Calaveras,2002,"42,380",
6,California,6009,Calaveras,2003,"43,755",
6,California,6009,Calaveras,2004,"44,530",
6,California,6009,Calaveras,2005,"45,295",
6,California,6009,Calaveras,2006,"46,045",
6,California,6009,Calaveras,2007,"46,268",
6,California,6009,Calaveras,2008,"46,265",
6,California,6009,Calaveras,2009,"45,900",
6,California,6009,Calaveras,2010,"45,470",
6,California,6009,Calaveras,2011,"45,163",
6,California,6009,Calaveras,2012,"44,826",
6,California,6009,Calaveras,2013,"44,667",
6,California,6009,Calaveras,2014,"44,677",
6,California,6009,Calaveras,2015,"44,954",
6,California,6011,Colusa,1996,"17,909",
6,California,6011,Colusa,1997,"18,262",
6,California,6011,Colusa,1998,"18,419",
6,California,6011,Colusa,1999,"18,620",
6,California,6011,Colusa,2000,"18,817",
6,California,6011,Colusa,2001,"19,022",
6,California,6011,Colusa,2002,"19,232",
6,California,6011,Colusa,2003,"19,568",
6,California,6011,Colusa,2004,"20,207",
6,California,6011,Colusa,2005,"20,540",
6,California,6011,Colusa,2006,"20,890",
6,California,6011,Colusa,2007,"21,075",
6,California,6011,Colusa,2008,"21,134",
6,California,6011,Colusa,2009,"21,250",
6,California,6011,Colusa,2010,"21,453",
6,California,6011,Colusa,2011,"21,366",
6,California,6011,Colusa,2012,"21,350",
6,California,6011,Colusa,2013,"21,336",
6,California,6011,Colusa,2014,"21,268",
6,California,6011,Colusa,2015,"21,341",
6,California,6013,Contra Costa,1996,"884,227",
6,California,6013,Contra Costa,1997,"903,049",
6,California,6013,Contra Costa,1998,"921,663",
6,California,6013,Contra Costa,1999,"936,983",
6,California,6013,Contra Costa,2000,"952,810",
6,California,6013,Contra Costa,2001,"970,952",
6,California,6013,Contra Costa,2002,"979,862",
6,California,6013,Contra Costa,2003,"987,531",
6,California,6013,Contra Costa,2004,"992,424",
6,California,6013,Contra Costa,2005,"999,013",
6,California,6013,Contra Costa,2006,"1,000,834",
6,California,6013,Contra Costa,2007,"1,009,152",
6,California,6013,Contra Costa,2008,"1,023,344",
6,California,6013,Contra Costa,2009,"1,037,890",
6,California,6013,Contra Costa,2010,"1,052,799",
6,California,6013,Contra Costa,2011,"1,066,182",
6,California,6013,Contra Costa,2012,"1,079,093",
6,California,6013,Contra Costa,2013,"1,095,310",
6,California,6013,Contra Costa,2014,"1,110,971",
6,California,6013,Contra Costa,2015,"1,126,027",
6,California,6015,Del Norte,1996,"27,981",
6,California,6015,Del Norte,1997,"28,340",
6,California,6015,Del Norte,1998,"28,187",
6,California,6015,Del Norte,1999,"27,624",
6,California,6015,Del Norte,2000,"27,440",
6,California,6015,Del Norte,2001,"27,292",
6,California,6015,Del Norte,2002,"27,397",
6,California,6015,Del Norte,2003,"27,601",
6,California,6015,Del Norte,2004,"27,950",
6,California,6015,Del Norte,2005,"28,281",
6,California,6015,Del Norte,2006,"28,211",
6,California,6015,Del Norte,2007,"28,415",
6,California,6015,Del Norte,2008,"28,496",
6,California,6015,Del Norte,2009,"28,599",
6,California,6015,Del Norte,2010,"28,566",
6,California,6015,Del Norte,2011,"28,447",
6,California,6015,Del Norte,2012,"28,203",
6,California,6015,Del Norte,2013,"27,830",
6,California,6015,Del Norte,2014,"27,206",
6,California,6015,Del Norte,2015,"27,253",
6,California,6017,El Dorado,1996,"146,863",
6,California,6017,El Dorado,1997,"149,589",
6,California,6017,El Dorado,1998,"152,308",
6,California,6017,El Dorado,1999,"154,381",
6,California,6017,El Dorado,2000,"157,162",
6,California,6017,El Dorado,2001,"161,101",
6,California,6017,El Dorado,2002,"165,195",
6,California,6017,El Dorado,2003,"168,331",
6,California,6017,El Dorado,2004,"171,653",
6,California,6017,El Dorado,2005,"175,003",
6,California,6017,El Dorado,2006,"176,773",
6,California,6017,El Dorado,2007,"177,694",
6,California,6017,El Dorado,2008,"179,150",
6,California,6017,El Dorado,2009,"180,455",
6,California,6017,El Dorado,2010,"181,149",
6,California,6017,El Dorado,2011,"180,975",
6,California,6017,El Dorado,2012,"180,680",
6,California,6017,El Dorado,2013,"181,618",
6,California,6017,El Dorado,2014,"183,333",
6,California,6017,El Dorado,2015,"184,865",
6,California,6019,Fresno,1996,"761,409",
6,California,6019,Fresno,1997,"771,391",
6,California,6019,Fresno,1998,"778,615",
6,California,6019,Fresno,1999,"789,405",
6,California,6019,Fresno,2000,"801,288",
6,California,6019,Fresno,2001,"813,021",
6,California,6019,Fresno,2002,"829,762",
6,California,6019,Fresno,2003,"847,193",
6,California,6019,Fresno,2004,"861,035",
6,California,6019,Fresno,2005,"872,470",
6,California,6019,Fresno,2006,"883,862",
6,California,6019,Fresno,2007,"895,933",
6,California,6019,Fresno,2008,"909,630",
6,California,6019,Fresno,2009,"921,478",
6,California,6019,Fresno,2010,"932,218",
6,California,6019,Fresno,2011,"940,360",
6,California,6019,Fresno,2012,"946,851",
6,California,6019,Fresno,2013,"953,787",
6,California,6019,Fresno,2014,"963,170",
6,California,6019,Fresno,2015,"972,333",
6,California,6021,Glenn,1996,"26,170",
6,California,6021,Glenn,1997,"26,270",
6,California,6021,Glenn,1998,"26,185",
6,California,6021,Glenn,1999,"26,332",
6,California,6021,Glenn,2000,"26,416",
6,California,6021,Glenn,2001,"26,450",
6,California,6021,Glenn,2002,"26,651",
6,California,6021,Glenn,2003,"27,016",
6,California,6021,Glenn,2004,"27,122",
6,California,6021,Glenn,2005,"27,393",
6,California,6021,Glenn,2006,"27,652",
6,California,6021,Glenn,2007,"27,775",
6,California,6021,Glenn,2008,"28,019",
6,California,6021,Glenn,2009,"28,100",
6,California,6021,Glenn,2010,"28,130",
6,California,6021,Glenn,2011,"28,160",
6,California,6021,Glenn,2012,"27,894",
6,California,6021,Glenn,2013,"27,866",
6,California,6021,Glenn,2014,"27,909",
6,California,6021,Glenn,2015,"27,841",
6,California,6023,Humboldt,1996,"126,162",
6,California,6023,Humboldt,1997,"127,086",
6,California,6023,Humboldt,1998,"127,087",
6,California,6023,Humboldt,1999,"126,676",
6,California,6023,Humboldt,2000,"126,462",
6,California,6023,Humboldt,2001,"127,520",
6,California,6023,Humboldt,2002,"128,780",
6,California,6023,Humboldt,2003,"129,754",
6,California,6023,Humboldt,2004,"130,702",
6,California,6023,Humboldt,2005,"131,497",
6,California,6023,Humboldt,2006,"132,093",
6,California,6023,Humboldt,2007,"132,001",
6,California,6023,Humboldt,2008,"132,657",
6,California,6023,Humboldt,2009,"133,744",
6,California,6023,Humboldt,2010,"135,019",
6,California,6023,Humboldt,2011,"135,239",
6,California,6023,Humboldt,2012,"134,596",
6,California,6023,Humboldt,2013,"134,444",
6,California,6023,Humboldt,2014,"134,584",
6,California,6023,Humboldt,2015,"135,219",
6,California,6025,Imperial,1996,"137,987",
6,California,6025,Imperial,1997,"138,624",
6,California,6025,Imperial,1998,"139,615",
6,California,6025,Imperial,1999,"141,056",
6,California,6025,Imperial,2000,"142,410",
6,California,6025,Imperial,2001,"143,707",
6,California,6025,Imperial,2002,"145,640",
6,California,6025,Imperial,2003,"148,984",
6,California,6025,Imperial,2004,"152,259",
6,California,6025,Imperial,2005,"156,113",
6,California,6025,Imperial,2006,"160,505",
6,California,6025,Imperial,2007,"164,596",
6,California,6025,Imperial,2008,"167,917",
6,California,6025,Imperial,2009,"172,008",
6,California,6025,Imperial,2010,"174,778",
6,California,6025,Imperial,2011,"176,157",
6,California,6025,Imperial,2012,"177,241",
6,California,6025,Imperial,2013,"177,267",
6,California,6025,Imperial,2014,"178,868",
6,California,6025,Imperial,2015,"179,839",
6,California,6027,Inyo,1996,"18,311",
6,California,6027,Inyo,1997,"18,241",
6,California,6027,Inyo,1998,"18,036",
6,California,6027,Inyo,1999,"17,968",
6,California,6027,Inyo,2000,"17,955",
6,California,6027,Inyo,2001,"18,117",
6,California,6027,Inyo,2002,"18,394",
6,California,6027,Inyo,2003,"18,593",
6,California,6027,Inyo,2004,"18,578",
6,California,6027,Inyo,2005,"18,478",
6,California,6027,Inyo,2006,"18,370",
6,California,6027,Inyo,2007,"18,426",
6,California,6027,Inyo,2008,"18,318",
6,California,6027,Inyo,2009,"18,544",
6,California,6027,Inyo,2010,"18,517",
6,California,6027,Inyo,2011,"18,401",
6,California,6027,Inyo,2012,"18,370",
6,California,6027,Inyo,2013,"18,377",
6,California,6027,Inyo,2014,"18,340",
6,California,6027,Inyo,2015,"18,197",
6,California,6029,Kern,1996,"626,719",
6,California,6029,Kern,1997,"634,695",
6,California,6029,Kern,1998,"643,016",
6,California,6029,Kern,1999,"655,428",
6,California,6029,Kern,2000,"663,803",
6,California,6029,Kern,2001,"676,574",
6,California,6029,Kern,2002,"694,059",
6,California,6029,Kern,2003,"714,272",
6,California,6029,Kern,2004,"736,296",
6,California,6029,Kern,2005,"760,726",
6,California,6029,Kern,2006,"784,511",
6,California,6029,Kern,2007,"803,281",
6,California,6029,Kern,2008,"818,327",
6,California,6029,Kern,2009,"830,137",
6,California,6029,Kern,2010,"841,116",
6,California,6029,Kern,2011,"848,767",
6,California,6029,Kern,2012,"855,237",
6,California,6029,Kern,2013,"864,014",
6,California,6029,Kern,2014,"871,895",
6,California,6029,Kern,2015,"879,607",
6,California,6031,Kings,1996,"115,411",
6,California,6031,Kings,1997,"116,769",
6,California,6031,Kings,1998,"121,457",
6,California,6031,Kings,1999,"126,402",
6,California,6031,Kings,2000,"129,835",
6,California,6031,Kings,2001,"132,881",
6,California,6031,Kings,2002,"135,369",
6,California,6031,Kings,2003,"139,393",
6,California,6031,Kings,2004,"143,601",
6,California,6031,Kings,2005,"145,147",
6,California,6031,Kings,2006,"147,712",
6,California,6031,Kings,2007,"150,420",
6,California,6031,Kings,2008,"152,027",
6,California,6031,Kings,2009,"152,278",
6,California,6031,Kings,2010,"152,404",
6,California,6031,Kings,2011,"152,030",
6,California,6031,Kings,2012,"151,265",
6,California,6031,Kings,2013,"150,675",
6,California,6031,Kings,2014,"149,862",
6,California,6031,Kings,2015,"150,482",
6,California,6033,Lake,1996,"56,331",
6,California,6033,Lake,1997,"56,275",
6,California,6033,Lake,1998,"56,695",
6,California,6033,Lake,1999,"57,214",
6,California,6033,Lake,2000,"58,538",
6,California,6033,Lake,2001,"60,219",
6,California,6033,Lake,2002,"61,513",
6,California,6033,Lake,2003,"62,496",
6,California,6033,Lake,2004,"63,116",
6,California,6033,Lake,2005,"63,811",
6,California,6033,Lake,2006,"64,202",
6,California,6033,Lake,2007,"64,077",
6,California,6033,Lake,2008,"64,392",
6,California,6033,Lake,2009,"64,413",
6,California,6033,Lake,2010,"64,742",
6,California,6033,Lake,2011,"64,273",
6,California,6033,Lake,2012,"64,005",
6,California,6033,Lake,2013,"63,855",
6,California,6033,Lake,2014,"64,113",
6,California,6033,Lake,2015,"64,310",
6,California,6035,Lassen,1996,"31,874",
6,California,6035,Lassen,1997,"34,123",
6,California,6035,Lassen,1998,"34,030",
6,California,6035,Lassen,1999,"33,838",
6,California,6035,Lassen,2000,"33,719",
6,California,6035,Lassen,2001,"33,548",
6,California,6035,Lassen,2002,"33,430",
6,California,6035,Lassen,2003,"33,930",
6,California,6035,Lassen,2004,"34,458",
6,California,6035,Lassen,2005,"34,488",
6,California,6035,Lassen,2006,"34,605",
6,California,6035,Lassen,2007,"35,615",
6,California,6035,Lassen,2008,"35,221",
6,California,6035,Lassen,2009,"35,160",
6,California,6035,Lassen,2010,"34,831",
6,California,6035,Lassen,2011,"34,244",
6,California,6035,Lassen,2012,"33,632",
6,California,6035,Lassen,2013,"32,135",
6,California,6035,Lassen,2014,"31,716",
6,California,6035,Lassen,2015,"31,393",
6,California,6037,Los Angeles,1996,"9,127,042",
6,California,6037,Los Angeles,1997,"9,206,538",
6,California,6037,Los Angeles,1998,"9,313,589",
6,California,6037,Los Angeles,1999,"9,437,290",
6,California,6037,Los Angeles,2000,"9,538,191",
6,California,6037,Los Angeles,2001,"9,626,034",
6,California,6037,Los Angeles,2002,"9,705,913",
6,California,6037,Los Angeles,2003,"9,767,145",
6,California,6037,Los Angeles,2004,"9,793,263",
6,California,6037,Los Angeles,2005,"9,786,373",
6,California,6037,Los Angeles,2006,"9,737,955",
6,California,6037,Los Angeles,2007,"9,700,359",
6,California,6037,Los Angeles,2008,"9,735,147",
6,California,6037,Los Angeles,2009,"9,787,400",
6,California,6037,Los Angeles,2010,"9,824,490",
