stateFIPS,State,countyFIPS,County,Year,Value,
8,Colorado,8001,Adams,2013,"2,313",
8,Colorado,8001,Adams,2014,"2,652",
8,Colorado,8001,Adams,2015,"2,030",
8,Colorado,8001,Adams,2016,"1,872",
8,Colorado,8003,Alamosa,2013,61,
8,Colorado,8003,Alamosa,2014,73,
8,Colorado,8003,Alamosa,2015,68,
8,Colorado,8003,Alamosa,2016,67,
8,Colorado,8005,Arapahoe,2013,"2,177",
8,Colorado,8005,Arapahoe,2014,"2,605",
8,Colorado,8005,Arapahoe,2015,"2,365",
8,Colorado,8005,Arapahoe,2016,"2,137",
8,Colorado,8007,Archuleta,2013,33,
8,Colorado,8007,Archuleta,2014,8,
8,Colorado,8007,Archuleta,2015,Suppressed,
8,Colorado,8007,Archuleta,2016,0,
8,Colorado,8009,Baca,2013,Suppressed,
8,Colorado,8009,Baca,2014,Suppressed,
8,Colorado,8009,Baca,2015,22,
8,Colorado,8009,Baca,2016,17,
8,Colorado,8011,Bent,2013,15,
8,Colorado,8011,Bent,2014,36,
8,Colorado,8011,Bent,2015,16,
8,Colorado,8011,Bent,2016,23,
8,Colorado,8013,Boulder,2013,690,
8,Colorado,8013,Boulder,2014,727,
8,Colorado,8013,Boulder,2015,659,
8,Colorado,8013,Boulder,2016,621,
8,Colorado,8014,Broomfield,2013,124,
8,Colorado,8014,Broomfield,2014,190,
8,Colorado,8014,Broomfield,2015,134,
8,Colorado,8014,Broomfield,2016,122,
8,Colorado,8015,Chaffee,2013,32,
8,Colorado,8015,Chaffee,2014,53,
8,Colorado,8015,Chaffee,2015,35,
8,Colorado,8015,Chaffee,2016,54,
8,Colorado,8017,Cheyenne,2013,0,
8,Colorado,8017,Cheyenne,2014,Suppressed,
8,Colorado,8017,Cheyenne,2015,0,
8,Colorado,8017,Cheyenne,2016,Suppressed,
8,Colorado,8019,Clear Creek,2013,27,
8,Colorado,8019,Clear Creek,2014,14,
8,Colorado,8019,Clear Creek,2015,8,
8,Colorado,8019,Clear Creek,2016,23,
8,Colorado,8021,Conejos,2013,17,
8,Colorado,8021,Conejos,2014,19,
8,Colorado,8021,Conejos,2015,Suppressed,
8,Colorado,8021,Conejos,2016,27,
8,Colorado,8023,Costilla,2013,9,
8,Colorado,8023,Costilla,2014,17,
8,Colorado,8023,Costilla,2015,Suppressed,
8,Colorado,8023,Costilla,2016,15,
8,Colorado,8025,Crowley,2013,10,
8,Colorado,8025,Crowley,2014,17,
8,Colorado,8025,Crowley,2015,7,
8,Colorado,8025,Crowley,2016,Suppressed,
8,Colorado,8027,Custer,2013,9,
8,Colorado,8027,Custer,2014,8,
8,Colorado,8027,Custer,2015,Suppressed,
8,Colorado,8027,Custer,2016,Suppressed,
8,Colorado,8029,Delta,2013,8,
8,Colorado,8029,Delta,2014,8,
8,Colorado,8029,Delta,2015,61,
8,Colorado,8029,Delta,2016,83,
8,Colorado,8031,Denver,2013,"3,270",
8,Colorado,8031,Denver,2014,"3,743",
8,Colorado,8031,Denver,2015,"3,300",
8,Colorado,8031,Denver,2016,"2,846",
8,Colorado,8033,Dolores,2013,0,
8,Colorado,8033,Dolores,2014,0,
8,Colorado,8033,Dolores,2015,0,
8,Colorado,8033,Dolores,2016,Suppressed,
8,Colorado,8035,Douglas,2013,410,
8,Colorado,8035,Douglas,2014,579,
8,Colorado,8035,Douglas,2015,436,
8,Colorado,8035,Douglas,2016,411,
8,Colorado,8037,Eagle,2013,45,
8,Colorado,8037,Eagle,2014,16,
8,Colorado,8037,Eagle,2015,20,
8,Colorado,8037,Eagle,2016,29,
8,Colorado,8041,El Paso,2013,"1,922",
8,Colorado,8041,El Paso,2014,"2,715",
8,Colorado,8041,El Paso,2015,"2,126",
8,Colorado,8041,El Paso,2016,"2,225",
8,Colorado,8039,Elbert,2013,32,
8,Colorado,8039,Elbert,2014,47,
8,Colorado,8039,Elbert,2015,23,
8,Colorado,8039,Elbert,2016,35,
8,Colorado,8043,Fremont,2013,181,
8,Colorado,8043,Fremont,2014,117,
8,Colorado,8043,Fremont,2015,104,
8,Colorado,8043,Fremont,2016,108,
8,Colorado,8045,Garfield,2013,119,
8,Colorado,8045,Garfield,2014,133,
8,Colorado,8045,Garfield,2015,127,
8,Colorado,8045,Garfield,2016,80,
8,Colorado,8047,Gilpin,2013,9,
8,Colorado,8047,Gilpin,2014,12,
8,Colorado,8047,Gilpin,2015,Suppressed,
8,Colorado,8047,Gilpin,2016,6,
8,Colorado,8049,Grand,2013,45,
8,Colorado,8049,Grand,2014,31,
8,Colorado,8049,Grand,2015,Suppressed,
8,Colorado,8049,Grand,2016,32,
8,Colorado,8051,Gunnison,2013,29,
8,Colorado,8051,Gunnison,2014,23,
8,Colorado,8051,Gunnison,2015,24,
8,Colorado,8051,Gunnison,2016,25,
8,Colorado,8053,Hinsdale,2013,Suppressed,
8,Colorado,8053,Hinsdale,2014,0,
8,Colorado,8053,Hinsdale,2015,0,
8,Colorado,8053,Hinsdale,2016,Suppressed,
8,Colorado,8055,Huerfano,2013,15,
8,Colorado,8055,Huerfano,2014,10,
8,Colorado,8055,Huerfano,2015,7,
8,Colorado,8055,Huerfano,2016,Suppressed,
8,Colorado,8057,Jackson,2013,Suppressed,
8,Colorado,8057,Jackson,2014,Suppressed,
8,Colorado,8057,Jackson,2015,Suppressed,
8,Colorado,8057,Jackson,2016,Suppressed,
