stateFIPS,State,countyFIPS,County,Year,Value,
12,Florida,12001,Alachua,1996,"206,601",
12,Florida,12001,Alachua,1997,"210,096",
12,Florida,12001,Alachua,1998,"212,707",
12,Florida,12001,Alachua,1999,"215,847",
12,Florida,12001,Alachua,2000,"218,611",
12,Florida,12001,Alachua,2001,"221,718",
12,Florida,12001,Alachua,2002,"224,614",
12,Florida,12001,Alachua,2003,"227,022",
12,Florida,12001,Alachua,2004,"229,867",
12,Florida,12001,Alachua,2005,"233,756",
12,Florida,12001,Alachua,2006,"239,506",
12,Florida,12001,Alachua,2007,"242,685",
12,Florida,12001,Alachua,2008,"244,888",
12,Florida,12001,Alachua,2009,"246,657",
12,Florida,12001,Alachua,2010,"247,606",
12,Florida,12001,Alachua,2011,"249,832",
12,Florida,12001,Alachua,2012,"251,654",
12,Florida,12001,Alachua,2013,"252,704",
12,Florida,12001,Alachua,2014,"255,809",
12,Florida,12001,Alachua,2015,"259,525",
12,Florida,12003,Baker,1996,"20,965",
12,Florida,12003,Baker,1997,"21,294",
12,Florida,12003,Baker,1998,"21,232",
12,Florida,12003,Baker,1999,"21,575",
12,Florida,12003,Baker,2000,"22,374",
12,Florida,12003,Baker,2001,"22,620",
12,Florida,12003,Baker,2002,"23,298",
12,Florida,12003,Baker,2003,"23,555",
12,Florida,12003,Baker,2004,"24,142",
12,Florida,12003,Baker,2005,"24,832",
12,Florida,12003,Baker,2006,"25,571",
12,Florida,12003,Baker,2007,"26,212",
12,Florida,12003,Baker,2008,"26,725",
12,Florida,12003,Baker,2009,"27,124",
12,Florida,12003,Baker,2010,"27,062",
12,Florida,12003,Baker,2011,"27,042",
12,Florida,12003,Baker,2012,"27,043",
12,Florida,12003,Baker,2013,"27,000",
12,Florida,12003,Baker,2014,"27,123",
12,Florida,12003,Baker,2015,"27,364",
12,Florida,12005,Bay,1996,"144,826",
12,Florida,12005,Bay,1997,"146,651",
12,Florida,12005,Bay,1998,"147,011",
12,Florida,12005,Bay,1999,"148,149",
12,Florida,12005,Bay,2000,"148,393",
12,Florida,12005,Bay,2001,"150,207",
12,Florida,12005,Bay,2002,"152,741",
12,Florida,12005,Bay,2003,"155,044",
12,Florida,12005,Bay,2004,"158,804",
12,Florida,12005,Bay,2005,"162,917",
12,Florida,12005,Bay,2006,"165,644",
12,Florida,12005,Bay,2007,"165,345",
12,Florida,12005,Bay,2008,"166,267",
12,Florida,12005,Bay,2009,"167,464",
12,Florida,12005,Bay,2010,"169,207",
12,Florida,12005,Bay,2011,"169,521",
12,Florida,12005,Bay,2012,"171,755",
12,Florida,12005,Bay,2013,"174,626",
12,Florida,12005,Bay,2014,"178,221",
12,Florida,12005,Bay,2015,"181,184",
12,Florida,12007,Bradford,1996,"25,042",
12,Florida,12007,Bradford,1997,"25,537",
12,Florida,12007,Bradford,1998,"25,892",
12,Florida,12007,Bradford,1999,"25,887",
12,Florida,12007,Bradford,2000,"26,064",
12,Florida,12007,Bradford,2001,"26,083",
12,Florida,12007,Bradford,2002,"26,306",
12,Florida,12007,Bradford,2003,"27,035",
12,Florida,12007,Bradford,2004,"27,703",
12,Florida,12007,Bradford,2005,"28,098",
12,Florida,12007,Bradford,2006,"28,506",
12,Florida,12007,Bradford,2007,"28,825",
12,Florida,12007,Bradford,2008,"28,961",
12,Florida,12007,Bradford,2009,"28,979",
12,Florida,12007,Bradford,2010,"28,536",
12,Florida,12007,Bradford,2011,"28,432",
12,Florida,12007,Bradford,2012,"27,050",
12,Florida,12007,Bradford,2013,"26,806",
12,Florida,12007,Bradford,2014,"26,559",
12,Florida,12007,Bradford,2015,"26,744",
12,Florida,12009,Brevard,1996,"455,889",
12,Florida,12009,Brevard,1997,"461,686",
12,Florida,12009,Brevard,1998,"467,624",
12,Florida,12009,Brevard,1999,"472,138",
12,Florida,12009,Brevard,2000,"477,819",
12,Florida,12009,Brevard,2001,"486,429",
12,Florida,12009,Brevard,2002,"495,425",
12,Florida,12009,Brevard,2003,"504,847",
12,Florida,12009,Brevard,2004,"518,722",
12,Florida,12009,Brevard,2005,"529,907",
12,Florida,12009,Brevard,2006,"535,138",
12,Florida,12009,Brevard,2007,"539,719",
12,Florida,12009,Brevard,2008,"542,378",
12,Florida,12009,Brevard,2009,"542,109",
12,Florida,12009,Brevard,2010,"543,976",
12,Florida,12009,Brevard,2011,"544,439",
12,Florida,12009,Brevard,2012,"547,293",
12,Florida,12009,Brevard,2013,"550,754",
12,Florida,12009,Brevard,2014,"556,277",
12,Florida,12009,Brevard,2015,"566,822",
12,Florida,12011,Broward,1996,"1,481,333",
12,Florida,12011,Broward,1997,"1,522,179",
12,Florida,12011,Broward,1998,"1,560,649",
12,Florida,12011,Broward,1999,"1,594,130",
12,Florida,12011,Broward,2000,"1,630,600",
12,Florida,12011,Broward,2001,"1,662,848",
12,Florida,12011,Broward,2002,"1,690,118",
12,Florida,12011,Broward,2003,"1,707,543",
12,Florida,12011,Broward,2004,"1,725,461",
12,Florida,12011,Broward,2005,"1,746,896",
12,Florida,12011,Broward,2006,"1,739,348",
12,Florida,12011,Broward,2007,"1,720,825",
12,Florida,12011,Broward,2008,"1,723,633",
12,Florida,12011,Broward,2009,"1,733,310",
12,Florida,12011,Broward,2010,"1,752,907",
12,Florida,12011,Broward,2011,"1,787,691",
12,Florida,12011,Broward,2012,"1,816,837",
12,Florida,12011,Broward,2013,"1,840,561",
12,Florida,12011,Broward,2014,"1,866,837",
12,Florida,12011,Broward,2015,"1,891,684",
12,Florida,12013,Calhoun,1996,"12,650",
12,Florida,12013,Calhoun,1997,"12,582",
12,Florida,12013,Calhoun,1998,"12,564",
12,Florida,12013,Calhoun,1999,"12,795",
12,Florida,12013,Calhoun,2000,"13,040",
12,Florida,12013,Calhoun,2001,"12,847",
12,Florida,12013,Calhoun,2002,"12,947",
12,Florida,12013,Calhoun,2003,"13,293",
12,Florida,12013,Calhoun,2004,"13,445",
12,Florida,12013,Calhoun,2005,"13,850",
12,Florida,12013,Calhoun,2006,"13,997",
12,Florida,12013,Calhoun,2007,"14,222",
12,Florida,12013,Calhoun,2008,"14,351",
12,Florida,12013,Calhoun,2009,"14,692",
12,Florida,12013,Calhoun,2010,"14,646",
12,Florida,12013,Calhoun,2011,"14,714",
12,Florida,12013,Calhoun,2012,"14,663",
12,Florida,12013,Calhoun,2013,"14,578",
12,Florida,12013,Calhoun,2014,"14,452",
12,Florida,12013,Calhoun,2015,"14,414",
12,Florida,12015,Charlotte,1996,"132,587",
12,Florida,12015,Charlotte,1997,"134,959",
12,Florida,12015,Charlotte,1998,"137,598",
12,Florida,12015,Charlotte,1999,"140,240",
12,Florida,12015,Charlotte,2000,"142,266",
12,Florida,12015,Charlotte,2001,"146,311",
12,Florida,12015,Charlotte,2002,"150,123",
12,Florida,12015,Charlotte,2003,"153,235",
12,Florida,12015,Charlotte,2004,"157,755",
12,Florida,12015,Charlotte,2005,"155,262",
12,Florida,12015,Charlotte,2006,"157,099",
12,Florida,12015,Charlotte,2007,"159,742",
12,Florida,12015,Charlotte,2008,"160,467",
12,Florida,12015,Charlotte,2009,"159,629",
12,Florida,12015,Charlotte,2010,"159,869",
12,Florida,12015,Charlotte,2011,"159,881",
12,Florida,12015,Charlotte,2012,"162,833",
12,Florida,12015,Charlotte,2013,"164,830",
12,Florida,12015,Charlotte,2014,"168,336",
12,Florida,12015,Charlotte,2015,"172,824",
12,Florida,12017,Citrus,1996,"109,954",
12,Florida,12017,Citrus,1997,"111,972",
12,Florida,12017,Citrus,1998,"114,344",
12,Florida,12017,Citrus,1999,"116,634",
12,Florida,12017,Citrus,2000,"118,649",
12,Florida,12017,Citrus,2001,"121,197",
12,Florida,12017,Citrus,2002,"123,491",
12,Florida,12017,Citrus,2003,"126,215",
12,Florida,12017,Citrus,2004,"129,840",
12,Florida,12017,Citrus,2005,"133,791",
12,Florida,12017,Citrus,2006,"137,826",
