stateFIPS,State,countyFIPS,County,Year,Value,
19,Iowa,19001,Adair,2003,21,
19,Iowa,19001,Adair,2004,24,
19,Iowa,19001,Adair,2005,25,
19,Iowa,19001,Adair,2006,13,
19,Iowa,19001,Adair,2007,9,
19,Iowa,19001,Adair,2008,23,
19,Iowa,19001,Adair,2009,27,
19,Iowa,19001,Adair,2010,23,
19,Iowa,19001,Adair,2011,17,
19,Iowa,19001,Adair,2012,22,
19,Iowa,19001,Adair,2013,21,
19,Iowa,19001,Adair,2014,18,
19,Iowa,19001,Adair,2015,22,
19,Iowa,19003,Adams,2003,17,
19,Iowa,19003,Adams,2004,17,
19,Iowa,19003,Adams,2005,12,
19,Iowa,19003,Adams,2006,7,
19,Iowa,19003,Adams,2007,Suppressed,
19,Iowa,19003,Adams,2008,8,
19,Iowa,19003,Adams,2009,6,
19,Iowa,19003,Adams,2010,11,
19,Iowa,19003,Adams,2011,10,
19,Iowa,19003,Adams,2012,10,
19,Iowa,19003,Adams,2013,6,
19,Iowa,19003,Adams,2014,13,
19,Iowa,19003,Adams,2015,20,
19,Iowa,19005,Allamakee,2003,22,
19,Iowa,19005,Allamakee,2004,28,
19,Iowa,19005,Allamakee,2005,18,
19,Iowa,19005,Allamakee,2006,20,
19,Iowa,19005,Allamakee,2007,16,
19,Iowa,19005,Allamakee,2008,21,
19,Iowa,19005,Allamakee,2009,29,
19,Iowa,19005,Allamakee,2010,33,
19,Iowa,19005,Allamakee,2011,32,
19,Iowa,19005,Allamakee,2012,36,
19,Iowa,19005,Allamakee,2013,25,
19,Iowa,19005,Allamakee,2014,31,
19,Iowa,19005,Allamakee,2015,28,
19,Iowa,19007,Appanoose,2003,58,
19,Iowa,19007,Appanoose,2004,71,
19,Iowa,19007,Appanoose,2005,64,
19,Iowa,19007,Appanoose,2006,53,
19,Iowa,19007,Appanoose,2007,25,
19,Iowa,19007,Appanoose,2008,71,
19,Iowa,19007,Appanoose,2009,52,
19,Iowa,19007,Appanoose,2010,83,
19,Iowa,19007,Appanoose,2011,54,
19,Iowa,19007,Appanoose,2012,57,
19,Iowa,19007,Appanoose,2013,71,
19,Iowa,19007,Appanoose,2014,121,
19,Iowa,19007,Appanoose,2015,95,
19,Iowa,19009,Audubon,2003,15,
19,Iowa,19009,Audubon,2004,16,
19,Iowa,19009,Audubon,2005,14,
19,Iowa,19009,Audubon,2006,7,
19,Iowa,19009,Audubon,2007,8,
19,Iowa,19009,Audubon,2008,12,
19,Iowa,19009,Audubon,2009,9,
19,Iowa,19009,Audubon,2010,33,
19,Iowa,19009,Audubon,2011,16,
19,Iowa,19009,Audubon,2012,27,
