stateFIPS,State,countyFIPS,County,Year,Value,
20,Kansas,20001,Allen,2009,22,
20,Kansas,20001,Allen,2010,31,
20,Kansas,20001,Allen,2011,42,
20,Kansas,20001,Allen,2012,38,
20,Kansas,20001,Allen,2013,25,
20,Kansas,20001,Allen,2014,14,
20,Kansas,20001,Allen,2015,29,
20,Kansas,20003,Anderson,2009,79,
20,Kansas,20003,Anderson,2010,38,
20,Kansas,20003,Anderson,2011,39,
20,Kansas,20003,Anderson,2012,49,
20,Kansas,20003,Anderson,2013,47,
20,Kansas,20003,Anderson,2014,29,
20,Kansas,20003,Anderson,2015,12,
20,Kansas,20005,Atchison,2009,92,
20,Kansas,20005,Atchison,2010,89,
20,Kansas,20005,Atchison,2011,99,
20,Kansas,20005,Atchison,2012,91,
20,Kansas,20005,Atchison,2013,65,
20,Kansas,20005,Atchison,2014,89,
20,Kansas,20005,Atchison,2015,94,
20,Kansas,20007,Barber,2009,10,
20,Kansas,20007,Barber,2010,11,
20,Kansas,20007,Barber,2011,Suppressed,
20,Kansas,20007,Barber,2012,9,
20,Kansas,20007,Barber,2013,10,
20,Kansas,20007,Barber,2014,15,
20,Kansas,20007,Barber,2015,12,
20,Kansas,20009,Barton,2009,158,
20,Kansas,20009,Barton,2010,128,
20,Kansas,20009,Barton,2011,65,
20,Kansas,20009,Barton,2012,44,
20,Kansas,20009,Barton,2013,36,
20,Kansas,20009,Barton,2014,28,
20,Kansas,20009,Barton,2015,28,
20,Kansas,20011,Bourbon,2009,62,
20,Kansas,20011,Bourbon,2010,56,
20,Kansas,20011,Bourbon,2011,42,
20,Kansas,20011,Bourbon,2012,54,
20,Kansas,20011,Bourbon,2013,42,
20,Kansas,20011,Bourbon,2014,49,
20,Kansas,20011,Bourbon,2015,49,
20,Kansas,20013,Brown,2009,38,
20,Kansas,20013,Brown,2010,22,
20,Kansas,20013,Brown,2011,40,
20,Kansas,20013,Brown,2012,20,
20,Kansas,20013,Brown,2013,26,
20,Kansas,20013,Brown,2014,20,
20,Kansas,20013,Brown,2015,15,
20,Kansas,20015,Butler,2009,47,
20,Kansas,20015,Butler,2010,64,
20,Kansas,20015,Butler,2011,67,
20,Kansas,20015,Butler,2012,54,
20,Kansas,20015,Butler,2013,80,
20,Kansas,20015,Butler,2014,185,
20,Kansas,20015,Butler,2015,150,
20,Kansas,20017,Chase,2009,Suppressed,
