stateFIPS,State,countyFIPS,County,Year,Value,
20,Kansas,20001,Allen,1996,"14,677",
20,Kansas,20001,Allen,1997,"14,500",
20,Kansas,20001,Allen,1998,"14,551",
20,Kansas,20001,Allen,1999,"14,444",
20,Kansas,20001,Allen,2000,"14,393",
20,Kansas,20001,Allen,2001,"14,171",
20,Kansas,20001,Allen,2002,"14,110",
20,Kansas,20001,Allen,2003,"13,940",
20,Kansas,20001,Allen,2004,"13,923",
20,Kansas,20001,Allen,2005,"13,733",
20,Kansas,20001,Allen,2006,"13,639",
20,Kansas,20001,Allen,2007,"13,545",
20,Kansas,20001,Allen,2008,"13,422",
20,Kansas,20001,Allen,2009,"13,407",
20,Kansas,20001,Allen,2010,"13,357",
20,Kansas,20001,Allen,2011,"13,339",
20,Kansas,20001,Allen,2012,"13,294",
20,Kansas,20001,Allen,2013,"13,054",
20,Kansas,20001,Allen,2014,"12,882",
20,Kansas,20001,Allen,2015,"12,657",
20,Kansas,20003,Anderson,1996,"7,985",
20,Kansas,20003,Anderson,1997,"8,047",
20,Kansas,20003,Anderson,1998,"8,040",
20,Kansas,20003,Anderson,1999,"8,144",
20,Kansas,20003,Anderson,2000,"8,091",
20,Kansas,20003,Anderson,2001,"8,195",
20,Kansas,20003,Anderson,2002,"8,143",
20,Kansas,20003,Anderson,2003,"8,190",
20,Kansas,20003,Anderson,2004,"8,101",
20,Kansas,20003,Anderson,2005,"8,087",
20,Kansas,20003,Anderson,2006,"8,023",
20,Kansas,20003,Anderson,2007,"8,040",
20,Kansas,20003,Anderson,2008,"8,158",
20,Kansas,20003,Anderson,2009,"8,101",
20,Kansas,20003,Anderson,2010,"8,103",
20,Kansas,20003,Anderson,2011,"8,059",
20,Kansas,20003,Anderson,2012,"7,918",
20,Kansas,20003,Anderson,2013,"7,854",
20,Kansas,20003,Anderson,2014,"7,882",
20,Kansas,20003,Anderson,2015,"7,817",
20,Kansas,20005,Atchison,1996,"16,786",
20,Kansas,20005,Atchison,1997,"16,774",
20,Kansas,20005,Atchison,1998,"16,797",
20,Kansas,20005,Atchison,1999,"16,823",
20,Kansas,20005,Atchison,2000,"16,796",
20,Kansas,20005,Atchison,2001,"16,868",
20,Kansas,20005,Atchison,2002,"16,823",
20,Kansas,20005,Atchison,2003,"16,875",
20,Kansas,20005,Atchison,2004,"16,937",
20,Kansas,20005,Atchison,2005,"16,865",
20,Kansas,20005,Atchison,2006,"16,902",
20,Kansas,20005,Atchison,2007,"16,864",
20,Kansas,20005,Atchison,2008,"16,820",
20,Kansas,20005,Atchison,2009,"16,965",
20,Kansas,20005,Atchison,2010,"16,858",
20,Kansas,20005,Atchison,2011,"16,754",
20,Kansas,20005,Atchison,2012,"16,774",
20,Kansas,20005,Atchison,2013,"16,688",
20,Kansas,20005,Atchison,2014,"16,524",
20,Kansas,20005,Atchison,2015,"16,414",
20,Kansas,20007,Barber,1996,"5,511",
20,Kansas,20007,Barber,1997,"5,450",
20,Kansas,20007,Barber,1998,"5,407",
20,Kansas,20007,Barber,1999,"5,331",
20,Kansas,20007,Barber,2000,"5,292",
20,Kansas,20007,Barber,2001,"5,158",
20,Kansas,20007,Barber,2002,"5,088",
20,Kansas,20007,Barber,2003,"5,049",
20,Kansas,20007,Barber,2004,"5,004",
20,Kansas,20007,Barber,2005,"4,984",
20,Kansas,20007,Barber,2006,"5,003",
20,Kansas,20007,Barber,2007,"4,927",
20,Kansas,20007,Barber,2008,"4,844",
20,Kansas,20007,Barber,2009,"4,882",
20,Kansas,20007,Barber,2010,"4,856",
20,Kansas,20007,Barber,2011,"4,926",
20,Kansas,20007,Barber,2012,"4,872",
20,Kansas,20007,Barber,2013,"4,914",
20,Kansas,20007,Barber,2014,"4,886",
20,Kansas,20007,Barber,2015,"4,828",
20,Kansas,20009,Barton,1996,"28,915",
20,Kansas,20009,Barton,1997,"28,950",
20,Kansas,20009,Barton,1998,"28,790",
20,Kansas,20009,Barton,1999,"28,501",
20,Kansas,20009,Barton,2000,"28,163",
20,Kansas,20009,Barton,2001,"27,771",
20,Kansas,20009,Barton,2002,"27,684",
20,Kansas,20009,Barton,2003,"27,581",
20,Kansas,20009,Barton,2004,"27,390",
20,Kansas,20009,Barton,2005,"27,536",
20,Kansas,20009,Barton,2006,"27,460",
20,Kansas,20009,Barton,2007,"27,492",
20,Kansas,20009,Barton,2008,"27,314",
20,Kansas,20009,Barton,2009,"27,526",
20,Kansas,20009,Barton,2010,"27,674",
20,Kansas,20009,Barton,2011,"27,703",
20,Kansas,20009,Barton,2012,"27,537",
20,Kansas,20009,Barton,2013,"27,458",
20,Kansas,20009,Barton,2014,"27,329",
20,Kansas,20009,Barton,2015,"27,163",
20,Kansas,20011,Bourbon,1996,"15,380",
20,Kansas,20011,Bourbon,1997,"15,529",
20,Kansas,20011,Bourbon,1998,"15,488",
20,Kansas,20011,Bourbon,1999,"15,316",
20,Kansas,20011,Bourbon,2000,"15,366",
20,Kansas,20011,Bourbon,2001,"15,368",
20,Kansas,20011,Bourbon,2002,"15,200",
20,Kansas,20011,Bourbon,2003,"15,187",
20,Kansas,20011,Bourbon,2004,"15,110",
20,Kansas,20011,Bourbon,2005,"15,002",
20,Kansas,20011,Bourbon,2006,"14,990",
20,Kansas,20011,Bourbon,2007,"15,038",
20,Kansas,20011,Bourbon,2008,"15,127",
20,Kansas,20011,Bourbon,2009,"15,157",
20,Kansas,20011,Bourbon,2010,"15,136",
20,Kansas,20011,Bourbon,2011,"14,941",
20,Kansas,20011,Bourbon,2012,"14,874",
20,Kansas,20011,Bourbon,2013,"14,828",
20,Kansas,20011,Bourbon,2014,"14,794",
20,Kansas,20011,Bourbon,2015,"14,736",
20,Kansas,20013,Brown,1996,"10,901",
20,Kansas,20013,Brown,1997,"10,970",
20,Kansas,20013,Brown,1998,"10,950",
20,Kansas,20013,Brown,1999,"10,802",
20,Kansas,20013,Brown,2000,"10,709",
20,Kansas,20013,Brown,2001,"10,555",
20,Kansas,20013,Brown,2002,"10,373",
20,Kansas,20013,Brown,2003,"10,271",
20,Kansas,20013,Brown,2004,"10,253",
20,Kansas,20013,Brown,2005,"10,087",
20,Kansas,20013,Brown,2006,"10,111",
20,Kansas,20013,Brown,2007,"10,036",
20,Kansas,20013,Brown,2008,"9,988",
