stateFIPS,State,countyFIPS,County,Year,Value,
21,Kentucky,21001,Adair,2008,100,
21,Kentucky,21001,Adair,2009,51,
21,Kentucky,21001,Adair,2010,97,
21,Kentucky,21001,Adair,2011,97,
21,Kentucky,21001,Adair,2012,69,
21,Kentucky,21001,Adair,2013,50,
21,Kentucky,21001,Adair,2014,71,
21,Kentucky,21001,Adair,2015,69,
21,Kentucky,21003,Allen,2008,71,
21,Kentucky,21003,Allen,2009,90,
21,Kentucky,21003,Allen,2010,70,
21,Kentucky,21003,Allen,2011,70,
21,Kentucky,21003,Allen,2012,63,
21,Kentucky,21003,Allen,2013,67,
21,Kentucky,21003,Allen,2014,67,
21,Kentucky,21003,Allen,2015,73,
21,Kentucky,21005,Anderson,2008,123,
21,Kentucky,21005,Anderson,2009,93,
21,Kentucky,21005,Anderson,2010,84,
21,Kentucky,21005,Anderson,2011,74,
21,Kentucky,21005,Anderson,2012,72,
21,Kentucky,21005,Anderson,2013,74,
21,Kentucky,21005,Anderson,2014,104,
21,Kentucky,21005,Anderson,2015,78,
21,Kentucky,21007,Ballard,2008,35,
21,Kentucky,21007,Ballard,2009,32,
21,Kentucky,21007,Ballard,2010,25,
21,Kentucky,21007,Ballard,2011,14,
21,Kentucky,21007,Ballard,2012,23,
21,Kentucky,21007,Ballard,2013,16,
21,Kentucky,21007,Ballard,2014,16,
21,Kentucky,21007,Ballard,2015,16,
21,Kentucky,21009,Barren,2008,140,
21,Kentucky,21009,Barren,2009,172,
21,Kentucky,21009,Barren,2010,155,
21,Kentucky,21009,Barren,2011,145,
21,Kentucky,21009,Barren,2012,148,
21,Kentucky,21009,Barren,2013,145,
21,Kentucky,21009,Barren,2014,144,
21,Kentucky,21009,Barren,2015,144,
21,Kentucky,21011,Bath,2008,40,
21,Kentucky,21011,Bath,2009,65,
21,Kentucky,21011,Bath,2010,43,
21,Kentucky,21011,Bath,2011,48,
21,Kentucky,21011,Bath,2012,50,
21,Kentucky,21011,Bath,2013,33,
21,Kentucky,21011,Bath,2014,53,
21,Kentucky,21011,Bath,2015,55,
21,Kentucky,21013,Bell,2008,363,
21,Kentucky,21013,Bell,2009,510,
21,Kentucky,21013,Bell,2010,357,
21,Kentucky,21013,Bell,2011,311,
21,Kentucky,21013,Bell,2012,248,
21,Kentucky,21013,Bell,2013,200,
21,Kentucky,21013,Bell,2014,231,
21,Kentucky,21013,Bell,2015,180,
21,Kentucky,21015,Boone,2008,394,
21,Kentucky,21015,Boone,2009,119,
21,Kentucky,21015,Boone,2010,380,
