stateFIPS,State,countyFIPS,County,Year,Value,
22,Louisiana,22001,Acadia,2010,316,
22,Louisiana,22001,Acadia,2011,311,
22,Louisiana,22001,Acadia,2012,307,
22,Louisiana,22001,Acadia,2013,278,
22,Louisiana,22001,Acadia,2014,323,
22,Louisiana,22003,Allen,2010,95,
22,Louisiana,22003,Allen,2011,124,
22,Louisiana,22003,Allen,2012,139,
22,Louisiana,22003,Allen,2013,97,
22,Louisiana,22003,Allen,2014,113,
22,Louisiana,22005,Ascension,2010,201,
22,Louisiana,22005,Ascension,2011,197,
22,Louisiana,22005,Ascension,2012,383,
22,Louisiana,22005,Ascension,2013,384,
22,Louisiana,22005,Ascension,2014,359,
22,Louisiana,22007,Assumption,2010,68,
22,Louisiana,22007,Assumption,2011,63,
22,Louisiana,22007,Assumption,2012,149,
22,Louisiana,22007,Assumption,2013,156,
22,Louisiana,22007,Assumption,2014,152,
22,Louisiana,22009,Avoyelles,2010,72,
22,Louisiana,22009,Avoyelles,2011,137,
22,Louisiana,22009,Avoyelles,2012,107,
22,Louisiana,22009,Avoyelles,2013,107,
22,Louisiana,22009,Avoyelles,2014,124,
22,Louisiana,22011,Beauregard,2010,138,
22,Louisiana,22011,Beauregard,2011,128,
22,Louisiana,22011,Beauregard,2012,177,
22,Louisiana,22011,Beauregard,2013,195,
22,Louisiana,22011,Beauregard,2014,223,
22,Louisiana,22013,Bienville,2010,58,
22,Louisiana,22013,Bienville,2011,58,
22,Louisiana,22013,Bienville,2012,39,
22,Louisiana,22013,Bienville,2013,50,
22,Louisiana,22013,Bienville,2014,68,
22,Louisiana,22015,Bossier,2010,761,
22,Louisiana,22015,Bossier,2011,734,
22,Louisiana,22015,Bossier,2012,844,
22,Louisiana,22015,Bossier,2013,708,
22,Louisiana,22015,Bossier,2014,778,
22,Louisiana,22017,Caddo,2010,"2,671",
22,Louisiana,22017,Caddo,2011,"2,957",
22,Louisiana,22017,Caddo,2012,"3,139",
22,Louisiana,22017,Caddo,2013,"2,755",
22,Louisiana,22017,Caddo,2014,"3,414",
22,Louisiana,22019,Calcasieu,2010,616,
22,Louisiana,22019,Calcasieu,2011,945,
22,Louisiana,22019,Calcasieu,2012,"1,231",
22,Louisiana,22019,Calcasieu,2013,"1,244",
22,Louisiana,22019,Calcasieu,2014,"1,311",
22,Louisiana,22021,Caldwell,2010,18,
22,Louisiana,22021,Caldwell,2011,6,
22,Louisiana,22021,Caldwell,2012,12,
22,Louisiana,22021,Caldwell,2013,19,
22,Louisiana,22021,Caldwell,2014,18,
22,Louisiana,22023,Cameron,2010,10,
22,Louisiana,22023,Cameron,2011,21,
22,Louisiana,22023,Cameron,2012,16,
22,Louisiana,22023,Cameron,2013,8,
22,Louisiana,22023,Cameron,2014,11,
22,Louisiana,22025,Catahoula,2010,49,
22,Louisiana,22025,Catahoula,2011,50,
22,Louisiana,22025,Catahoula,2012,53,
22,Louisiana,22025,Catahoula,2013,31,
22,Louisiana,22025,Catahoula,2014,16,
22,Louisiana,22027,Claiborne,2010,12,
22,Louisiana,22027,Claiborne,2011,20,
22,Louisiana,22027,Claiborne,2012,28,
22,Louisiana,22027,Claiborne,2013,22,
22,Louisiana,22027,Claiborne,2014,22,
22,Louisiana,22029,Concordia,2010,11,
22,Louisiana,22029,Concordia,2011,10,
22,Louisiana,22029,Concordia,2012,12,
22,Louisiana,22029,Concordia,2013,14,
22,Louisiana,22029,Concordia,2014,10,
22,Louisiana,22031,De Soto,2010,169,
22,Louisiana,22031,De Soto,2011,193,
22,Louisiana,22031,De Soto,2012,194,
22,Louisiana,22031,De Soto,2013,192,
22,Louisiana,22031,De Soto,2014,268,
22,Louisiana,22033,East Baton Rouge,2010,"2,493",
22,Louisiana,22033,East Baton Rouge,2011,"2,296",
22,Louisiana,22033,East Baton Rouge,2012,"2,863",
22,Louisiana,22033,East Baton Rouge,2013,"2,714",
22,Louisiana,22033,East Baton Rouge,2014,"2,833",
22,Louisiana,22035,East Carroll,2010,Suppressed,
