stateFIPS,State,countyFIPS,County,Year,Value,
22,Louisiana,22001,Acadia,1996,"58,064",
22,Louisiana,22001,Acadia,1997,"58,218",
22,Louisiana,22001,Acadia,1998,"58,501",
22,Louisiana,22001,Acadia,1999,"58,762",
22,Louisiana,22001,Acadia,2000,"58,795",
22,Louisiana,22001,Acadia,2001,"58,844",
22,Louisiana,22001,Acadia,2002,"59,065",
22,Louisiana,22001,Acadia,2003,"59,194",
22,Louisiana,22001,Acadia,2004,"59,223",
22,Louisiana,22001,Acadia,2005,"59,524",
22,Louisiana,22001,Acadia,2006,"60,522",
22,Louisiana,22001,Acadia,2007,"60,762",
22,Louisiana,22001,Acadia,2008,"61,115",
22,Louisiana,22001,Acadia,2009,"61,451",
22,Louisiana,22001,Acadia,2010,"61,859",
22,Louisiana,22001,Acadia,2011,"61,826",
22,Louisiana,22001,Acadia,2012,"61,984",
22,Louisiana,22001,Acadia,2013,"62,284",
22,Louisiana,22001,Acadia,2014,"62,664",
22,Louisiana,22001,Acadia,2015,"62,696",
22,Louisiana,22003,Allen,1996,"24,687",
22,Louisiana,22003,Allen,1997,"24,605",
22,Louisiana,22003,Allen,1998,"25,114",
22,Louisiana,22003,Allen,1999,"25,364",
22,Louisiana,22003,Allen,2000,"25,401",
22,Louisiana,22003,Allen,2001,"25,399",
22,Louisiana,22003,Allen,2002,"25,194",
22,Louisiana,22003,Allen,2003,"25,327",
22,Louisiana,22003,Allen,2004,"25,338",
22,Louisiana,22003,Allen,2005,"25,076",
22,Louisiana,22003,Allen,2006,"25,692",
22,Louisiana,22003,Allen,2007,"25,937",
22,Louisiana,22003,Allen,2008,"25,854",
22,Louisiana,22003,Allen,2009,"25,863",
22,Louisiana,22003,Allen,2010,"25,721",
22,Louisiana,22003,Allen,2011,"25,741",
22,Louisiana,22003,Allen,2012,"25,632",
22,Louisiana,22003,Allen,2013,"25,676",
22,Louisiana,22003,Allen,2014,"25,724",
22,Louisiana,22003,Allen,2015,"25,630",
22,Louisiana,22005,Ascension,1996,"68,093",
