stateFIPS,State,countyFIPS,County,Year,Value,
24,Maryland,24001,Allegany,1996,"75,132",
24,Maryland,24001,Allegany,1997,"75,310",
24,Maryland,24001,Allegany,1998,"75,547",
24,Maryland,24001,Allegany,1999,"75,288",
24,Maryland,24001,Allegany,2000,"74,804",
24,Maryland,24001,Allegany,2001,"74,525",
24,Maryland,24001,Allegany,2002,"74,204",
24,Maryland,24001,Allegany,2003,"74,076",
24,Maryland,24001,Allegany,2004,"74,408",
24,Maryland,24001,Allegany,2005,"73,979",
24,Maryland,24001,Allegany,2006,"73,980",
24,Maryland,24001,Allegany,2007,"74,449",
24,Maryland,24001,Allegany,2008,"74,638",
24,Maryland,24001,Allegany,2009,"75,101",
24,Maryland,24001,Allegany,2010,"74,977",
24,Maryland,24001,Allegany,2011,"74,585",
24,Maryland,24001,Allegany,2012,"73,962",
24,Maryland,24001,Allegany,2013,"73,604",
24,Maryland,24001,Allegany,2014,"73,045",
24,Maryland,24001,Allegany,2015,"72,498",
24,Maryland,24003,Anne Arundel,1996,"467,286",
24,Maryland,24003,Anne Arundel,1997,"472,356",
24,Maryland,24003,Anne Arundel,1998,"477,749",
24,Maryland,24003,Anne Arundel,1999,"484,800",
24,Maryland,24003,Anne Arundel,2000,"491,670",
24,Maryland,24003,Anne Arundel,2001,"498,559",
24,Maryland,24003,Anne Arundel,2002,"504,884",
24,Maryland,24003,Anne Arundel,2003,"507,769",
24,Maryland,24003,Anne Arundel,2004,"513,259",
24,Maryland,24003,Anne Arundel,2005,"516,171",
24,Maryland,24003,Anne Arundel,2006,"517,698",
24,Maryland,24003,Anne Arundel,2007,"520,503",
24,Maryland,24003,Anne Arundel,2008,"525,304",
24,Maryland,24003,Anne Arundel,2009,"532,395",
24,Maryland,24003,Anne Arundel,2010,"539,234",
24,Maryland,24003,Anne Arundel,2011,"544,973",
24,Maryland,24003,Anne Arundel,2012,"550,636",
24,Maryland,24003,Anne Arundel,2013,"556,007",
24,Maryland,24003,Anne Arundel,2014,"560,452",
24,Maryland,24003,Anne Arundel,2015,"564,390",
24,Maryland,24005,Baltimore,1996,"734,981",
24,Maryland,24005,Baltimore,1997,"741,043",
24,Maryland,24005,Baltimore,1998,"745,458",
24,Maryland,24005,Baltimore,1999,"749,425",
24,Maryland,24005,Baltimore,2000,"755,598",
24,Maryland,24005,Baltimore,2001,"762,925",
24,Maryland,24005,Baltimore,2002,"770,147",
24,Maryland,24005,Baltimore,2003,"777,756",
24,Maryland,24005,Baltimore,2004,"784,371",
24,Maryland,24005,Baltimore,2005,"789,110",
24,Maryland,24005,Baltimore,2006,"793,733",
24,Maryland,24005,Baltimore,2007,"796,073",
24,Maryland,24005,Baltimore,2008,"798,651",
24,Maryland,24005,Baltimore,2009,"801,808",
24,Maryland,24005,Baltimore,2010,"806,405",
24,Maryland,24005,Baltimore,2011,"813,280",
24,Maryland,24005,Baltimore,2012,"818,583",
24,Maryland,24005,Baltimore,2013,"823,364",
24,Maryland,24005,Baltimore,2014,"826,545",
24,Maryland,24005,Baltimore,2015,"829,379",
24,Maryland,24510,Baltimore City,1996,"688,542",
24,Maryland,24510,Baltimore City,1997,"677,342",
24,Maryland,24510,Baltimore City,1998,"667,479",
24,Maryland,24510,Baltimore City,1999,"657,441",
24,Maryland,24510,Baltimore City,2000,"649,086",
24,Maryland,24510,Baltimore City,2001,"640,733",
24,Maryland,24510,Baltimore City,2002,"634,115",
24,Maryland,24510,Baltimore City,2003,"629,033",
24,Maryland,24510,Baltimore City,2004,"624,222",
24,Maryland,24510,Baltimore City,2005,"621,560",
24,Maryland,24510,Baltimore City,2006,"621,109",
24,Maryland,24510,Baltimore City,2007,"620,306",
24,Maryland,24510,Baltimore City,2008,"620,184",
24,Maryland,24510,Baltimore City,2009,"620,509",
24,Maryland,24510,Baltimore City,2010,"621,026",
24,Maryland,24510,Baltimore City,2011,"620,839",
24,Maryland,24510,Baltimore City,2012,"623,387",
24,Maryland,24510,Baltimore City,2013,"623,280",
24,Maryland,24510,Baltimore City,2014,"624,062",
24,Maryland,24510,Baltimore City,2015,"623,031",
24,Maryland,24009,Calvert,1996,"66,189",
24,Maryland,24009,Calvert,1997,"68,641",
24,Maryland,24009,Calvert,1998,"71,019",
24,Maryland,24009,Calvert,1999,"72,858",
24,Maryland,24009,Calvert,2000,"75,118",
24,Maryland,24009,Calvert,2001,"77,218",
24,Maryland,24009,Calvert,2002,"80,153",
24,Maryland,24009,Calvert,2003,"83,007",
24,Maryland,24009,Calvert,2004,"84,928",
24,Maryland,24009,Calvert,2005,"86,294",
