stateFIPS,State,countyFIPS,County,Year,Value,
23,Maine,23001,Androscoggin,2001,947,
23,Maine,23001,Androscoggin,2002,848,
23,Maine,23001,Androscoggin,2003,950,
23,Maine,23001,Androscoggin,2004,934,
23,Maine,23001,Androscoggin,2005,"1,018",
23,Maine,23001,Androscoggin,2006,"1,022",
23,Maine,23001,Androscoggin,2007,868,
23,Maine,23001,Androscoggin,2008,816,
23,Maine,23001,Androscoggin,2009,835,
23,Maine,23001,Androscoggin,2010,761,
23,Maine,23001,Androscoggin,2011,843,
23,Maine,23001,Androscoggin,2012,881,
23,Maine,23001,Androscoggin,2013,740,
23,Maine,23001,Androscoggin,2014,775,
23,Maine,23001,Androscoggin,2015,673,
23,Maine,23003,Aroostook,2001,693,
23,Maine,23003,Aroostook,2002,697,
23,Maine,23003,Aroostook,2003,719,
23,Maine,23003,Aroostook,2004,699,
23,Maine,23003,Aroostook,2005,871,
23,Maine,23003,Aroostook,2006,718,
23,Maine,23003,Aroostook,2007,632,
23,Maine,23003,Aroostook,2008,753,
23,Maine,23003,Aroostook,2009,749,
23,Maine,23003,Aroostook,2010,756,
23,Maine,23003,Aroostook,2011,762,
23,Maine,23003,Aroostook,2012,727,
23,Maine,23003,Aroostook,2013,633,
23,Maine,23003,Aroostook,2014,476,
23,Maine,23003,Aroostook,2015,421,
23,Maine,23005,Cumberland,2001,"1,588",
23,Maine,23005,Cumberland,2002,"1,644",
23,Maine,23005,Cumberland,2003,"1,546",
23,Maine,23005,Cumberland,2004,"1,381",
23,Maine,23005,Cumberland,2005,"1,347",
23,Maine,23005,Cumberland,2006,"1,371",
23,Maine,23005,Cumberland,2007,"1,353",
23,Maine,23005,Cumberland,2008,"1,529",
23,Maine,23005,Cumberland,2009,"1,517",
23,Maine,23005,Cumberland,2010,"1,412",
23,Maine,23005,Cumberland,2011,"1,454",
23,Maine,23005,Cumberland,2012,"1,452",
23,Maine,23005,Cumberland,2013,"1,167",
23,Maine,23005,Cumberland,2014,"1,125",
23,Maine,23005,Cumberland,2015,"1,129",
23,Maine,23007,Franklin,2001,119,
23,Maine,23007,Franklin,2002,165,
23,Maine,23007,Franklin,2003,137,
23,Maine,23007,Franklin,2004,125,
23,Maine,23007,Franklin,2005,157,
23,Maine,23007,Franklin,2006,136,
23,Maine,23007,Franklin,2007,137,
23,Maine,23007,Franklin,2008,133,
23,Maine,23007,Franklin,2009,134,
23,Maine,23007,Franklin,2010,165,
23,Maine,23007,Franklin,2011,196,
23,Maine,23007,Franklin,2012,140,
23,Maine,23007,Franklin,2013,106,
23,Maine,23007,Franklin,2014,145,
23,Maine,23007,Franklin,2015,120,
23,Maine,23009,Hancock,2001,352,
23,Maine,23009,Hancock,2002,330,
23,Maine,23009,Hancock,2003,411,
23,Maine,23009,Hancock,2004,343,
23,Maine,23009,Hancock,2005,322,
23,Maine,23009,Hancock,2006,272,
23,Maine,23009,Hancock,2007,276,
23,Maine,23009,Hancock,2008,327,
23,Maine,23009,Hancock,2009,266,
23,Maine,23009,Hancock,2010,307,
23,Maine,23009,Hancock,2011,320,
23,Maine,23009,Hancock,2012,304,
23,Maine,23009,Hancock,2013,188,
23,Maine,23009,Hancock,2014,224,
23,Maine,23009,Hancock,2015,219,
23,Maine,23011,Kennebec,2001,"1,082",
23,Maine,23011,Kennebec,2002,954,
23,Maine,23011,Kennebec,2003,997,
23,Maine,23011,Kennebec,2004,960,
23,Maine,23011,Kennebec,2005,"1,083",
23,Maine,23011,Kennebec,2006,945,
23,Maine,23011,Kennebec,2007,875,
23,Maine,23011,Kennebec,2008,811,
23,Maine,23011,Kennebec,2009,806,
23,Maine,23011,Kennebec,2010,750,
23,Maine,23011,Kennebec,2011,722,
23,Maine,23011,Kennebec,2012,634,
23,Maine,23011,Kennebec,2013,508,
23,Maine,23011,Kennebec,2014,540,
23,Maine,23011,Kennebec,2015,629,
23,Maine,23013,Knox,2001,214,
23,Maine,23013,Knox,2002,217,
23,Maine,23013,Knox,2003,220,
