stateFIPS,State,countyFIPS,County,Year,Value,
23,Maine,23001,Androscoggin,1996,"102,966",
23,Maine,23001,Androscoggin,1997,"102,518",
23,Maine,23001,Androscoggin,1998,"103,120",
23,Maine,23001,Androscoggin,1999,"103,403",
23,Maine,23001,Androscoggin,2000,"103,852",
23,Maine,23001,Androscoggin,2001,"104,260",
23,Maine,23001,Androscoggin,2002,"105,063",
23,Maine,23001,Androscoggin,2003,"106,140",
23,Maine,23001,Androscoggin,2004,"106,867",
23,Maine,23001,Androscoggin,2005,"107,352",
23,Maine,23001,Androscoggin,2006,"107,932",
23,Maine,23001,Androscoggin,2007,"107,739",
23,Maine,23001,Androscoggin,2008,"108,284",
23,Maine,23001,Androscoggin,2009,"107,830",
23,Maine,23001,Androscoggin,2010,"107,690",
23,Maine,23001,Androscoggin,2011,"107,395",
23,Maine,23001,Androscoggin,2012,"107,495",
23,Maine,23001,Androscoggin,2013,"107,271",
23,Maine,23001,Androscoggin,2014,"107,290",
23,Maine,23001,Androscoggin,2015,"107,104",
23,Maine,23003,Aroostook,1996,"76,910",
23,Maine,23003,Aroostook,1997,"76,332",
23,Maine,23003,Aroostook,1998,"75,054",
23,Maine,23003,Aroostook,1999,"74,227",
23,Maine,23003,Aroostook,2000,"73,872",
23,Maine,23003,Aroostook,2001,"72,962",
23,Maine,23003,Aroostook,2002,"72,942",
23,Maine,23003,Aroostook,2003,"72,944",
23,Maine,23003,Aroostook,2004,"72,959",
23,Maine,23003,Aroostook,2005,"72,881",
23,Maine,23003,Aroostook,2006,"72,827",
23,Maine,23003,Aroostook,2007,"72,711",
23,Maine,23003,Aroostook,2008,"72,542",
23,Maine,23003,Aroostook,2009,"72,258",
23,Maine,23003,Aroostook,2010,"71,697",
23,Maine,23003,Aroostook,2011,"71,373",
23,Maine,23003,Aroostook,2012,"70,771",
23,Maine,23003,Aroostook,2013,"70,094",
23,Maine,23003,Aroostook,2014,"69,513",
23,Maine,23003,Aroostook,2015,"68,824",
23,Maine,23005,Cumberland,1996,"254,894",
23,Maine,23005,Cumberland,1997,"257,765",
23,Maine,23005,Cumberland,1998,"260,965",
23,Maine,23005,Cumberland,1999,"263,931",
23,Maine,23005,Cumberland,2000,"266,109",
23,Maine,23005,Cumberland,2001,"268,391",
23,Maine,23005,Cumberland,2002,"270,533",
23,Maine,23005,Cumberland,2003,"273,041",
23,Maine,23005,Cumberland,2004,"274,920",
23,Maine,23005,Cumberland,2005,"276,275",
23,Maine,23005,Cumberland,2006,"277,084",
23,Maine,23005,Cumberland,2007,"278,781",
23,Maine,23005,Cumberland,2008,"280,681",
23,Maine,23005,Cumberland,2009,"281,969",
23,Maine,23005,Cumberland,2010,"281,435",
23,Maine,23005,Cumberland,2011,"282,599",
