stateFIPS,State,countyFIPS,County,Year,Value,
25,Massachusetts,25001,Barnstable,2002,"1,756",
25,Massachusetts,25001,Barnstable,2003,"1,814",
25,Massachusetts,25001,Barnstable,2004,"1,654",
25,Massachusetts,25001,Barnstable,2005,"1,776",
25,Massachusetts,25001,Barnstable,2006,"1,972",
25,Massachusetts,25001,Barnstable,2007,"1,956",
25,Massachusetts,25001,Barnstable,2008,"1,628",
25,Massachusetts,25001,Barnstable,2009,"1,362",
25,Massachusetts,25001,Barnstable,2010,"1,344",
25,Massachusetts,25001,Barnstable,2011,"1,333",
25,Massachusetts,25001,Barnstable,2012,"1,361",
25,Massachusetts,25001,Barnstable,2013,"1,272",
25,Massachusetts,25001,Barnstable,2014,"1,193",
25,Massachusetts,25001,Barnstable,2015,"1,122",
25,Massachusetts,25003,Berkshire,2002,"1,123",
25,Massachusetts,25003,Berkshire,2003,"1,188",
25,Massachusetts,25003,Berkshire,2004,979,
25,Massachusetts,25003,Berkshire,2005,"1,148",
25,Massachusetts,25003,Berkshire,2006,"1,115",
25,Massachusetts,25003,Berkshire,2007,"1,163",
25,Massachusetts,25003,Berkshire,2008,"1,096",
25,Massachusetts,25003,Berkshire,2009,"1,123",
25,Massachusetts,25003,Berkshire,2010,"1,062",
25,Massachusetts,25003,Berkshire,2011,909,
25,Massachusetts,25003,Berkshire,2012,962,
25,Massachusetts,25003,Berkshire,2013,869,
25,Massachusetts,25003,Berkshire,2014,854,
25,Massachusetts,25003,Berkshire,2015,832,
25,Massachusetts,25005,Bristol,2002,"4,933",
25,Massachusetts,25005,Bristol,2003,"5,329",
25,Massachusetts,25005,Bristol,2004,"4,691",
25,Massachusetts,25005,Bristol,2005,"4,685",
25,Massachusetts,25005,Bristol,2006,"4,724",
25,Massachusetts,25005,Bristol,2007,"4,365",
25,Massachusetts,25005,Bristol,2008,"4,473",
25,Massachusetts,25005,Bristol,2009,"4,622",
25,Massachusetts,25005,Bristol,2010,"4,111",
25,Massachusetts,25005,Bristol,2011,"4,396",
25,Massachusetts,25005,Bristol,2012,"4,723",
25,Massachusetts,25005,Bristol,2013,"4,654",
25,Massachusetts,25005,Bristol,2014,"4,781",
25,Massachusetts,25005,Bristol,2015,"4,434",
25,Massachusetts,25007,Dukes,2002,145,
25,Massachusetts,25007,Dukes,2003,220,
25,Massachusetts,25007,Dukes,2004,189,
25,Massachusetts,25007,Dukes,2005,211,
25,Massachusetts,25007,Dukes,2006,171,
25,Massachusetts,25007,Dukes,2007,181,
25,Massachusetts,25007,Dukes,2008,155,
25,Massachusetts,25007,Dukes,2009,161,
25,Massachusetts,25007,Dukes,2010,150,
25,Massachusetts,25007,Dukes,2011,180,
25,Massachusetts,25007,Dukes,2012,122,
25,Massachusetts,25007,Dukes,2013,119,
25,Massachusetts,25007,Dukes,2014,96,
25,Massachusetts,25007,Dukes,2015,97,
25,Massachusetts,25009,Essex,2002,"5,581",
25,Massachusetts,25009,Essex,2003,"5,650",
25,Massachusetts,25009,Essex,2004,"4,951",
25,Massachusetts,25009,Essex,2005,"4,811",
25,Massachusetts,25009,Essex,2006,"5,093",
25,Massachusetts,25009,Essex,2007,"5,134",
25,Massachusetts,25009,Essex,2008,"5,807",
25,Massachusetts,25009,Essex,2009,"5,691",
25,Massachusetts,25009,Essex,2010,"5,338",
25,Massachusetts,25009,Essex,2011,"5,565",
25,Massachusetts,25009,Essex,2012,"5,501",
25,Massachusetts,25009,Essex,2013,"5,200",
25,Massachusetts,25009,Essex,2014,"5,528",
25,Massachusetts,25009,Essex,2015,"5,151",
25,Massachusetts,25011,Franklin,2002,430,
25,Massachusetts,25011,Franklin,2003,504,
25,Massachusetts,25011,Franklin,2004,430,
25,Massachusetts,25011,Franklin,2005,493,
25,Massachusetts,25011,Franklin,2006,438,
25,Massachusetts,25011,Franklin,2007,445,
25,Massachusetts,25011,Franklin,2008,413,
25,Massachusetts,25011,Franklin,2009,467,
25,Massachusetts,25011,Franklin,2010,455,
25,Massachusetts,25011,Franklin,2011,424,
25,Massachusetts,25011,Franklin,2012,437,
25,Massachusetts,25011,Franklin,2013,400,
25,Massachusetts,25011,Franklin,2014,440,
25,Massachusetts,25011,Franklin,2015,459,
25,Massachusetts,25013,Hampden,2002,"4,730",
25,Massachusetts,25013,Hampden,2003,"5,318",
25,Massachusetts,25013,Hampden,2004,"4,556",
25,Massachusetts,25013,Hampden,2005,"4,856",
25,Massachusetts,25013,Hampden,2006,"5,402",
25,Massachusetts,25013,Hampden,2007,"5,313",
25,Massachusetts,25013,Hampden,2008,"6,014",
25,Massachusetts,25013,Hampden,2009,"6,007",
25,Massachusetts,25013,Hampden,2010,"5,254",
25,Massachusetts,25013,Hampden,2011,"5,519",
25,Massachusetts,25013,Hampden,2012,"5,650",
25,Massachusetts,25013,Hampden,2013,"5,094",
25,Massachusetts,25013,Hampden,2014,"5,404",
25,Massachusetts,25013,Hampden,2015,"5,537",
25,Massachusetts,25015,Hampshire,2002,690,
25,Massachusetts,25015,Hampshire,2003,726,
25,Massachusetts,25015,Hampshire,2004,596,
25,Massachusetts,25015,Hampshire,2005,661,
25,Massachusetts,25015,Hampshire,2006,778,
25,Massachusetts,25015,Hampshire,2007,700,
25,Massachusetts,25015,Hampshire,2008,764,
25,Massachusetts,25015,Hampshire,2009,777,
25,Massachusetts,25015,Hampshire,2010,608,
25,Massachusetts,25015,Hampshire,2011,583,
25,Massachusetts,25015,Hampshire,2012,589,
25,Massachusetts,25015,Hampshire,2013,564,
25,Massachusetts,25015,Hampshire,2014,552,
25,Massachusetts,25015,Hampshire,2015,571,
25,Massachusetts,25017,Middlesex,2002,"7,465",
25,Massachusetts,25017,Middlesex,2003,"8,001",
25,Massachusetts,25017,Middlesex,2004,"6,948",
25,Massachusetts,25017,Middlesex,2005,"7,153",
25,Massachusetts,25017,Middlesex,2006,"7,062",
25,Massachusetts,25017,Middlesex,2007,"6,709",
25,Massachusetts,25017,Middlesex,2008,"7,309",
25,Massachusetts,25017,Middlesex,2009,"6,948",
25,Massachusetts,25017,Middlesex,2010,"6,671",
25,Massachusetts,25017,Middlesex,2011,"7,211",
25,Massachusetts,25017,Middlesex,2012,"7,433",
25,Massachusetts,25017,Middlesex,2013,"6,993",
25,Massachusetts,25017,Middlesex,2014,"7,203",
25,Massachusetts,25017,Middlesex,2015,"6,474",
25,Massachusetts,25019,Nantucket,2002,136,
25,Massachusetts,25019,Nantucket,2003,135,
25,Massachusetts,25019,Nantucket,2004,89,
25,Massachusetts,25019,Nantucket,2005,111,
25,Massachusetts,25019,Nantucket,2006,136,
25,Massachusetts,25019,Nantucket,2007,113,
25,Massachusetts,25019,Nantucket,2008,122,
25,Massachusetts,25019,Nantucket,2009,100,
25,Massachusetts,25019,Nantucket,2010,113,
25,Massachusetts,25019,Nantucket,2011,125,
25,Massachusetts,25019,Nantucket,2012,138,
25,Massachusetts,25019,Nantucket,2013,149,
25,Massachusetts,25019,Nantucket,2014,129,
25,Massachusetts,25019,Nantucket,2015,125,
25,Massachusetts,25021,Norfolk,2002,"3,044",
25,Massachusetts,25021,Norfolk,2003,"3,389",
25,Massachusetts,25021,Norfolk,2004,"3,108",
25,Massachusetts,25021,Norfolk,2005,"3,225",
25,Massachusetts,25021,Norfolk,2006,"3,101",
25,Massachusetts,25021,Norfolk,2007,"2,961",
25,Massachusetts,25021,Norfolk,2008,"3,231",
