stateFIPS,State,countyFIPS,County,Year,Value,
25,Massachusetts,25001,Barnstable,1996,"206,852",
25,Massachusetts,25001,Barnstable,1997,"210,380",
25,Massachusetts,25001,Barnstable,1998,"214,497",
25,Massachusetts,25001,Barnstable,1999,"218,960",
25,Massachusetts,25001,Barnstable,2000,"223,031",
25,Massachusetts,25001,Barnstable,2001,"224,087",
25,Massachusetts,25001,Barnstable,2002,"225,421",
25,Massachusetts,25001,Barnstable,2003,"226,011",
25,Massachusetts,25001,Barnstable,2004,"224,264",
25,Massachusetts,25001,Barnstable,2005,"221,995",
25,Massachusetts,25001,Barnstable,2006,"220,037",
25,Massachusetts,25001,Barnstable,2007,"218,380",
25,Massachusetts,25001,Barnstable,2008,"217,066",
25,Massachusetts,25001,Barnstable,2009,"215,994",
25,Massachusetts,25001,Barnstable,2010,"215,877",
25,Massachusetts,25001,Barnstable,2011,"215,340",
25,Massachusetts,25001,Barnstable,2012,"214,787",
25,Massachusetts,25001,Barnstable,2013,"214,566",
25,Massachusetts,25001,Barnstable,2014,"214,279",
25,Massachusetts,25001,Barnstable,2015,"213,773",
25,Massachusetts,25003,Berkshire,1996,"136,657",
25,Massachusetts,25003,Berkshire,1997,"136,602",
25,Massachusetts,25003,Berkshire,1998,"135,763",
25,Massachusetts,25003,Berkshire,1999,"135,227",
25,Massachusetts,25003,Berkshire,2000,"134,769",
25,Massachusetts,25003,Berkshire,2001,"133,928",
25,Massachusetts,25003,Berkshire,2002,"133,529",
25,Massachusetts,25003,Berkshire,2003,"133,423",
25,Massachusetts,25003,Berkshire,2004,"133,076",
25,Massachusetts,25003,Berkshire,2005,"132,563",
25,Massachusetts,25003,Berkshire,2006,"131,977",
25,Massachusetts,25003,Berkshire,2007,"131,883",
25,Massachusetts,25003,Berkshire,2008,"131,372",
25,Massachusetts,25003,Berkshire,2009,"131,264",
25,Massachusetts,25003,Berkshire,2010,"131,294",
25,Massachusetts,25003,Berkshire,2011,"130,488",
25,Massachusetts,25003,Berkshire,2012,"130,154",
25,Massachusetts,25003,Berkshire,2013,"129,313",
25,Massachusetts,25003,Berkshire,2014,"128,645",
25,Massachusetts,25003,Berkshire,2015,"127,628",
25,Massachusetts,25005,Bristol,1996,"520,809",
25,Massachusetts,25005,Bristol,1997,"523,544",
25,Massachusetts,25005,Bristol,1998,"527,195",
25,Massachusetts,25005,Bristol,1999,"531,208",
