stateFIPS,State,countyFIPS,County,Year,Value,
27,Minnesota,27001,Aitkin,2005,87,
27,Minnesota,27001,Aitkin,2006,48,
27,Minnesota,27001,Aitkin,2007,49,
27,Minnesota,27001,Aitkin,2008,58,
27,Minnesota,27001,Aitkin,2009,72,
27,Minnesota,27001,Aitkin,2010,66,
27,Minnesota,27001,Aitkin,2011,43,
27,Minnesota,27001,Aitkin,2012,60,
27,Minnesota,27001,Aitkin,2013,63,
27,Minnesota,27001,Aitkin,2014,44,
27,Minnesota,27001,Aitkin,2015,38,
27,Minnesota,27003,Anoka,2005,"1,178",
27,Minnesota,27003,Anoka,2006,"1,070",
27,Minnesota,27003,Anoka,2007,"1,098",
27,Minnesota,27003,Anoka,2008,"1,111",
27,Minnesota,27003,Anoka,2009,"1,200",
27,Minnesota,27003,Anoka,2010,"1,124",
27,Minnesota,27003,Anoka,2011,"1,185",
27,Minnesota,27003,Anoka,2012,"1,278",
27,Minnesota,27003,Anoka,2013,"1,162",
27,Minnesota,27003,Anoka,2014,"1,161",
27,Minnesota,27003,Anoka,2015,"1,059",
27,Minnesota,27005,Becker,2005,101,
27,Minnesota,27005,Becker,2006,84,
27,Minnesota,27005,Becker,2007,97,
27,Minnesota,27005,Becker,2008,76,
27,Minnesota,27005,Becker,2009,93,
27,Minnesota,27005,Becker,2010,102,
27,Minnesota,27005,Becker,2011,81,
27,Minnesota,27005,Becker,2012,89,
27,Minnesota,27005,Becker,2013,91,
27,Minnesota,27005,Becker,2014,87,
27,Minnesota,27005,Becker,2015,69,
27,Minnesota,27007,Beltrami,2005,114,
27,Minnesota,27007,Beltrami,2006,109,
27,Minnesota,27007,Beltrami,2007,135,
27,Minnesota,27007,Beltrami,2008,151,
27,Minnesota,27007,Beltrami,2009,161,
27,Minnesota,27007,Beltrami,2010,140,
27,Minnesota,27007,Beltrami,2011,165,
27,Minnesota,27007,Beltrami,2012,162,
27,Minnesota,27007,Beltrami,2013,126,
27,Minnesota,27007,Beltrami,2014,166,
27,Minnesota,27007,Beltrami,2015,168,
27,Minnesota,27009,Benton,2005,105,
27,Minnesota,27009,Benton,2006,131,
27,Minnesota,27009,Benton,2007,146,
27,Minnesota,27009,Benton,2008,159,
27,Minnesota,27009,Benton,2009,163,
27,Minnesota,27009,Benton,2010,160,
27,Minnesota,27009,Benton,2011,142,
27,Minnesota,27009,Benton,2012,153,
27,Minnesota,27009,Benton,2013,149,
27,Minnesota,27009,Benton,2014,166,
27,Minnesota,27009,Benton,2015,154,
27,Minnesota,27011,Big Stone,2005,18,
27,Minnesota,27011,Big Stone,2006,6,
27,Minnesota,27011,Big Stone,2007,18,
27,Minnesota,27011,Big Stone,2008,7,
27,Minnesota,27011,Big Stone,2009,7,
27,Minnesota,27011,Big Stone,2010,9,
27,Minnesota,27011,Big Stone,2011,9,
27,Minnesota,27011,Big Stone,2012,13,
27,Minnesota,27011,Big Stone,2013,Suppressed,
27,Minnesota,27011,Big Stone,2014,7,
27,Minnesota,27011,Big Stone,2015,Suppressed,
27,Minnesota,27013,Blue Earth,2005,119,
27,Minnesota,27013,Blue Earth,2006,108,
27,Minnesota,27013,Blue Earth,2007,142,
27,Minnesota,27013,Blue Earth,2008,150,
27,Minnesota,27013,Blue Earth,2009,164,
27,Minnesota,27013,Blue Earth,2010,166,
27,Minnesota,27013,Blue Earth,2011,127,
27,Minnesota,27013,Blue Earth,2012,186,
27,Minnesota,27013,Blue Earth,2013,156,
27,Minnesota,27013,Blue Earth,2014,161,
27,Minnesota,27013,Blue Earth,2015,179,
27,Minnesota,27015,Brown,2005,100,
27,Minnesota,27015,Brown,2006,107,
27,Minnesota,27015,Brown,2007,72,
27,Minnesota,27015,Brown,2008,82,
27,Minnesota,27015,Brown,2009,80,
27,Minnesota,27015,Brown,2010,67,
27,Minnesota,27015,Brown,2011,53,
27,Minnesota,27015,Brown,2012,73,
27,Minnesota,27015,Brown,2013,68,
27,Minnesota,27015,Brown,2014,50,
27,Minnesota,27015,Brown,2015,54,
27,Minnesota,27017,Carlton,2005,152,
27,Minnesota,27017,Carlton,2006,148,
27,Minnesota,27017,Carlton,2007,129,
27,Minnesota,27017,Carlton,2008,169,
27,Minnesota,27017,Carlton,2009,209,
27,Minnesota,27017,Carlton,2010,170,
27,Minnesota,27017,Carlton,2011,165,
27,Minnesota,27017,Carlton,2012,172,
27,Minnesota,27017,Carlton,2013,124,
27,Minnesota,27017,Carlton,2014,172,
27,Minnesota,27017,Carlton,2015,145,
27,Minnesota,27019,Carver,2005,235,
27,Minnesota,27019,Carver,2006,201,
27,Minnesota,27019,Carver,2007,216,
27,Minnesota,27019,Carver,2008,195,
27,Minnesota,27019,Carver,2009,169,
27,Minnesota,27019,Carver,2010,162,
27,Minnesota,27019,Carver,2011,182,
27,Minnesota,27019,Carver,2012,160,
27,Minnesota,27019,Carver,2013,132,
27,Minnesota,27019,Carver,2014,148,
27,Minnesota,27019,Carver,2015,131,
27,Minnesota,27021,Cass,2005,83,
27,Minnesota,27021,Cass,2006,91,
27,Minnesota,27021,Cass,2007,99,
27,Minnesota,27021,Cass,2008,115,
27,Minnesota,27021,Cass,2009,97,
27,Minnesota,27021,Cass,2010,89,
27,Minnesota,27021,Cass,2011,101,
27,Minnesota,27021,Cass,2012,86,
27,Minnesota,27021,Cass,2013,108,
27,Minnesota,27021,Cass,2014,96,
27,Minnesota,27021,Cass,2015,118,
27,Minnesota,27023,Chippewa,2005,32,
27,Minnesota,27023,Chippewa,2006,20,
27,Minnesota,27023,Chippewa,2007,44,
27,Minnesota,27023,Chippewa,2008,38,
