stateFIPS,State,countyFIPS,County,Year,Value,
27,Minnesota,27001,Aitkin,1996,"14,181",
27,Minnesota,27001,Aitkin,1997,"14,403",
27,Minnesota,27001,Aitkin,1998,"14,840",
27,Minnesota,27001,Aitkin,1999,"15,062",
27,Minnesota,27001,Aitkin,2000,"15,282",
27,Minnesota,27001,Aitkin,2001,"15,334",
27,Minnesota,27001,Aitkin,2002,"15,616",
27,Minnesota,27001,Aitkin,2003,"15,795",
27,Minnesota,27001,Aitkin,2004,"16,028",
27,Minnesota,27001,Aitkin,2005,"16,162",
27,Minnesota,27001,Aitkin,2006,"16,357",
27,Minnesota,27001,Aitkin,2007,"16,481",
27,Minnesota,27001,Aitkin,2008,"16,422",
27,Minnesota,27001,Aitkin,2009,"16,168",
27,Minnesota,27001,Aitkin,2010,"16,220",
27,Minnesota,27001,Aitkin,2011,"16,177",
27,Minnesota,27001,Aitkin,2012,"16,044",
27,Minnesota,27001,Aitkin,2013,"15,881",
27,Minnesota,27001,Aitkin,2014,"15,856",
27,Minnesota,27001,Aitkin,2015,"15,862",
27,Minnesota,27003,Anoka,1996,"278,260",
27,Minnesota,27003,Anoka,1997,"282,976",
27,Minnesota,27003,Anoka,1998,"288,089",
27,Minnesota,27003,Anoka,1999,"293,599",
27,Minnesota,27003,Anoka,2000,"299,780",
27,Minnesota,27003,Anoka,2001,"304,823",
27,Minnesota,27003,Anoka,2002,"308,702",
27,Minnesota,27003,Anoka,2003,"311,863",
27,Minnesota,27003,Anoka,2004,"316,643",
27,Minnesota,27003,Anoka,2005,"319,830",
27,Minnesota,27003,Anoka,2006,"323,590",
27,Minnesota,27003,Anoka,2007,"325,767",
27,Minnesota,27003,Anoka,2008,"327,427",
27,Minnesota,27003,Anoka,2009,"329,635",
27,Minnesota,27003,Anoka,2010,"331,422",
27,Minnesota,27003,Anoka,2011,"332,873",
27,Minnesota,27003,Anoka,2012,"336,135",
27,Minnesota,27003,Anoka,2013,"339,235",
27,Minnesota,27003,Anoka,2014,"342,088",
27,Minnesota,27003,Anoka,2015,"344,514",
27,Minnesota,27005,Becker,1996,"29,036",
27,Minnesota,27005,Becker,1997,"29,250",
27,Minnesota,27005,Becker,1998,"29,410",
27,Minnesota,27005,Becker,1999,"29,703",
27,Minnesota,27005,Becker,2000,"30,188",
27,Minnesota,27005,Becker,2001,"30,392",
27,Minnesota,27005,Becker,2002,"30,777",
27,Minnesota,27005,Becker,2003,"31,244",
27,Minnesota,27005,Becker,2004,"31,625",
27,Minnesota,27005,Becker,2005,"31,753",
27,Minnesota,27005,Becker,2006,"32,057",
27,Minnesota,27005,Becker,2007,"32,142",
27,Minnesota,27005,Becker,2008,"32,244",
27,Minnesota,27005,Becker,2009,"32,407",
27,Minnesota,27005,Becker,2010,"32,548",
27,Minnesota,27005,Becker,2011,"32,760",
27,Minnesota,27005,Becker,2012,"32,986",
27,Minnesota,27005,Becker,2013,"33,182",
27,Minnesota,27005,Becker,2014,"33,261",
27,Minnesota,27005,Becker,2015,"33,456",
27,Minnesota,27007,Beltrami,1996,"38,149",
27,Minnesota,27007,Beltrami,1997,"38,683",
27,Minnesota,27007,Beltrami,1998,"38,679",
27,Minnesota,27007,Beltrami,1999,"39,247",
27,Minnesota,27007,Beltrami,2000,"39,789",
27,Minnesota,27007,Beltrami,2001,"40,406",
27,Minnesota,27007,Beltrami,2002,"41,049",
27,Minnesota,27007,Beltrami,2003,"41,659",
27,Minnesota,27007,Beltrami,2004,"42,100",
27,Minnesota,27007,Beltrami,2005,"42,700",
27,Minnesota,27007,Beltrami,2006,"43,066",
27,Minnesota,27007,Beltrami,2007,"43,281",
27,Minnesota,27007,Beltrami,2008,"43,815",
27,Minnesota,27007,Beltrami,2009,"44,226",
27,Minnesota,27007,Beltrami,2010,"44,570",
27,Minnesota,27007,Beltrami,2011,"45,037",
27,Minnesota,27007,Beltrami,2012,"45,133",
27,Minnesota,27007,Beltrami,2013,"45,481",
27,Minnesota,27007,Beltrami,2014,"45,629",
27,Minnesota,27007,Beltrami,2015,"45,600",
27,Minnesota,27009,Benton,1996,"32,454",
27,Minnesota,27009,Benton,1997,"32,807",
27,Minnesota,27009,Benton,1998,"33,100",
27,Minnesota,27009,Benton,1999,"33,653",
27,Minnesota,27009,Benton,2000,"34,470",
27,Minnesota,27009,Benton,2001,"35,346",
27,Minnesota,27009,Benton,2002,"36,117",
27,Minnesota,27009,Benton,2003,"36,760",
27,Minnesota,27009,Benton,2004,"37,072",
27,Minnesota,27009,Benton,2005,"37,409",
27,Minnesota,27009,Benton,2006,"37,617",
27,Minnesota,27009,Benton,2007,"38,007",
27,Minnesota,27009,Benton,2008,"38,200",
27,Minnesota,27009,Benton,2009,"38,418",
27,Minnesota,27009,Benton,2010,"38,464",
27,Minnesota,27009,Benton,2011,"38,730",
27,Minnesota,27009,Benton,2012,"38,672",
27,Minnesota,27009,Benton,2013,"38,980",
27,Minnesota,27009,Benton,2014,"39,100",
