stateFIPS,State,countyFIPS,County,Year,Value,
29,Missouri,29001,Adair,2000,105,
29,Missouri,29001,Adair,2001,115,
29,Missouri,29001,Adair,2002,111,
29,Missouri,29001,Adair,2003,100,
29,Missouri,29001,Adair,2004,71,
29,Missouri,29001,Adair,2005,90,
29,Missouri,29001,Adair,2006,84,
29,Missouri,29001,Adair,2007,57,
29,Missouri,29001,Adair,2008,59,
29,Missouri,29001,Adair,2009,44,
29,Missouri,29001,Adair,2010,52,
29,Missouri,29001,Adair,2011,35,
29,Missouri,29001,Adair,2012,68,
29,Missouri,29001,Adair,2013,43,
29,Missouri,29001,Adair,2014,70,
29,Missouri,29001,Adair,2015,64,
29,Missouri,29003,Andrew,2000,26,
29,Missouri,29003,Andrew,2001,31,
29,Missouri,29003,Andrew,2002,35,
29,Missouri,29003,Andrew,2003,63,
29,Missouri,29003,Andrew,2004,52,
29,Missouri,29003,Andrew,2005,38,
29,Missouri,29003,Andrew,2006,51,
29,Missouri,29003,Andrew,2007,34,
29,Missouri,29003,Andrew,2008,29,
29,Missouri,29003,Andrew,2009,38,
29,Missouri,29003,Andrew,2010,38,
29,Missouri,29003,Andrew,2011,32,
29,Missouri,29003,Andrew,2012,32,
29,Missouri,29003,Andrew,2013,24,
29,Missouri,29003,Andrew,2014,26,
29,Missouri,29003,Andrew,2015,43,
29,Missouri,29005,Atchison,2000,35,
29,Missouri,29005,Atchison,2001,50,
29,Missouri,29005,Atchison,2002,31,
29,Missouri,29005,Atchison,2003,26,
29,Missouri,29005,Atchison,2004,30,
29,Missouri,29005,Atchison,2005,30,
29,Missouri,29005,Atchison,2006,36,
29,Missouri,29005,Atchison,2007,26,
29,Missouri,29005,Atchison,2008,20,
29,Missouri,29005,Atchison,2009,22,
29,Missouri,29005,Atchison,2010,28,
29,Missouri,29005,Atchison,2011,36,
29,Missouri,29005,Atchison,2012,38,
29,Missouri,29005,Atchison,2013,20,
29,Missouri,29005,Atchison,2014,50,
29,Missouri,29005,Atchison,2015,21,
29,Missouri,29007,Audrain,2000,184,
29,Missouri,29007,Audrain,2001,197,
29,Missouri,29007,Audrain,2002,187,
29,Missouri,29007,Audrain,2003,161,
29,Missouri,29007,Audrain,2004,158,
29,Missouri,29007,Audrain,2005,188,
29,Missouri,29007,Audrain,2006,170,
29,Missouri,29007,Audrain,2007,165,
29,Missouri,29007,Audrain,2008,142,
29,Missouri,29007,Audrain,2009,131,
29,Missouri,29007,Audrain,2010,148,
29,Missouri,29007,Audrain,2011,154,
29,Missouri,29007,Audrain,2012,149,
29,Missouri,29007,Audrain,2013,127,
29,Missouri,29007,Audrain,2014,144,
29,Missouri,29007,Audrain,2015,143,
29,Missouri,29009,Barry,2000,216,
29,Missouri,29009,Barry,2001,178,
29,Missouri,29009,Barry,2002,198,
29,Missouri,29009,Barry,2003,178,
29,Missouri,29009,Barry,2004,167,
29,Missouri,29009,Barry,2005,196,
29,Missouri,29009,Barry,2006,132,
29,Missouri,29009,Barry,2007,187,
29,Missouri,29009,Barry,2008,185,
29,Missouri,29009,Barry,2009,215,
29,Missouri,29009,Barry,2010,188,
29,Missouri,29009,Barry,2011,191,
29,Missouri,29009,Barry,2012,198,
29,Missouri,29009,Barry,2013,199,
29,Missouri,29009,Barry,2014,194,
29,Missouri,29009,Barry,2015,154,
29,Missouri,29011,Barton,2000,104,
29,Missouri,29011,Barton,2001,132,
29,Missouri,29011,Barton,2002,82,
29,Missouri,29011,Barton,2003,87,
29,Missouri,29011,Barton,2004,67,
29,Missouri,29011,Barton,2005,81,
29,Missouri,29011,Barton,2006,72,
29,Missouri,29011,Barton,2007,73,
29,Missouri,29011,Barton,2008,69,
29,Missouri,29011,Barton,2009,84,
29,Missouri,29011,Barton,2010,71,
29,Missouri,29011,Barton,2011,86,
29,Missouri,29011,Barton,2012,120,
29,Missouri,29011,Barton,2013,45,
29,Missouri,29011,Barton,2014,61,
29,Missouri,29011,Barton,2015,50,
29,Missouri,29013,Bates,2000,78,
29,Missouri,29013,Bates,2001,74,
29,Missouri,29013,Bates,2002,56,
29,Missouri,29013,Bates,2003,112,
29,Missouri,29013,Bates,2004,92,
29,Missouri,29013,Bates,2005,87,
29,Missouri,29013,Bates,2006,80,
29,Missouri,29013,Bates,2007,62,
29,Missouri,29013,Bates,2008,64,
29,Missouri,29013,Bates,2009,97,
29,Missouri,29013,Bates,2010,83,
29,Missouri,29013,Bates,2011,88,
29,Missouri,29013,Bates,2012,87,
29,Missouri,29013,Bates,2013,80,
29,Missouri,29013,Bates,2014,107,
29,Missouri,29013,Bates,2015,69,
29,Missouri,29015,Benton,2000,39,
29,Missouri,29015,Benton,2001,43,
