stateFIPS,State,countyFIPS,County,Year,Value,
29,Missouri,29001,Adair,1996,"24,883",
29,Missouri,29001,Adair,1997,"24,871",
29,Missouri,29001,Adair,1998,"24,887",
29,Missouri,29001,Adair,1999,"24,961",
29,Missouri,29001,Adair,2000,"24,956",
29,Missouri,29001,Adair,2001,"24,967",
29,Missouri,29001,Adair,2002,"25,072",
29,Missouri,29001,Adair,2003,"24,958",
29,Missouri,29001,Adair,2004,"24,988",
29,Missouri,29001,Adair,2005,"24,849",
29,Missouri,29001,Adair,2006,"25,007",
29,Missouri,29001,Adair,2007,"24,983",
29,Missouri,29001,Adair,2008,"25,399",
29,Missouri,29001,Adair,2009,"25,577",
29,Missouri,29001,Adair,2010,"25,625",
29,Missouri,29001,Adair,2011,"25,635",
29,Missouri,29001,Adair,2012,"25,668",
29,Missouri,29001,Adair,2013,"25,709",
29,Missouri,29001,Adair,2014,"25,537",
29,Missouri,29001,Adair,2015,"25,339",
29,Missouri,29003,Andrew,1996,"15,727",
29,Missouri,29003,Andrew,1997,"15,948",
29,Missouri,29003,Andrew,1998,"16,212",
29,Missouri,29003,Andrew,1999,"16,308",
29,Missouri,29003,Andrew,2000,"16,522",
29,Missouri,29003,Andrew,2001,"16,580",
29,Missouri,29003,Andrew,2002,"16,501",
29,Missouri,29003,Andrew,2003,"16,608",
29,Missouri,29003,Andrew,2004,"16,580",
29,Missouri,29003,Andrew,2005,"16,511",
29,Missouri,29003,Andrew,2006,"16,861",
29,Missouri,29003,Andrew,2007,"16,834",
29,Missouri,29003,Andrew,2008,"16,924",
29,Missouri,29003,Andrew,2009,"17,036",
29,Missouri,29003,Andrew,2010,"17,342",
29,Missouri,29003,Andrew,2011,"17,195",
29,Missouri,29003,Andrew,2012,"17,307",
29,Missouri,29003,Andrew,2013,"17,303",
29,Missouri,29003,Andrew,2014,"17,281",
29,Missouri,29003,Andrew,2015,"17,311",
29,Missouri,29005,Atchison,1996,"6,952",
29,Missouri,29005,Atchison,1997,"6,733",
29,Missouri,29005,Atchison,1998,"6,629",
29,Missouri,29005,Atchison,1999,"6,548",
29,Missouri,29005,Atchison,2000,"6,389",
29,Missouri,29005,Atchison,2001,"6,344",
29,Missouri,29005,Atchison,2002,"6,189",
29,Missouri,29005,Atchison,2003,"6,193",
29,Missouri,29005,Atchison,2004,"6,153",
29,Missouri,29005,Atchison,2005,"6,053",
29,Missouri,29005,Atchison,2006,"5,908",
29,Missouri,29005,Atchison,2007,"5,909",
29,Missouri,29005,Atchison,2008,"5,798",
29,Missouri,29005,Atchison,2009,"5,781",
29,Missouri,29005,Atchison,2010,"5,658",
29,Missouri,29005,Atchison,2011,"5,573",
29,Missouri,29005,Atchison,2012,"5,514",
29,Missouri,29005,Atchison,2013,"5,423",
29,Missouri,29005,Atchison,2014,"5,362",
29,Missouri,29005,Atchison,2015,"5,304",
29,Missouri,29007,Audrain,1996,"24,993",
29,Missouri,29007,Audrain,1997,"25,233",
29,Missouri,29007,Audrain,1998,"25,650",
29,Missouri,29007,Audrain,1999,"25,810",
29,Missouri,29007,Audrain,2000,"25,862",
29,Missouri,29007,Audrain,2001,"25,784",
29,Missouri,29007,Audrain,2002,"25,800",
29,Missouri,29007,Audrain,2003,"25,728",
29,Missouri,29007,Audrain,2004,"25,555",
29,Missouri,29007,Audrain,2005,"25,725",
29,Missouri,29007,Audrain,2006,"25,869",
29,Missouri,29007,Audrain,2007,"25,658",
29,Missouri,29007,Audrain,2008,"25,774",
29,Missouri,29007,Audrain,2009,"25,628",
29,Missouri,29007,Audrain,2010,"25,451",
29,Missouri,29007,Audrain,2011,"25,527",
29,Missouri,29007,Audrain,2012,"25,527",
29,Missouri,29007,Audrain,2013,"25,544",
29,Missouri,29007,Audrain,2014,"25,815",
29,Missouri,29007,Audrain,2015,"25,941",
29,Missouri,29009,Barry,1996,"32,695",
29,Missouri,29009,Barry,1997,"33,175",
29,Missouri,29009,Barry,1998,"33,679",
29,Missouri,29009,Barry,1999,"33,769",
29,Missouri,29009,Barry,2000,"33,971",
29,Missouri,29009,Barry,2001,"33,981",
29,Missouri,29009,Barry,2002,"34,111",
29,Missouri,29009,Barry,2003,"34,555",
29,Missouri,29009,Barry,2004,"34,849",
29,Missouri,29009,Barry,2005,"35,241",
29,Missouri,29009,Barry,2006,"35,756",
29,Missouri,29009,Barry,2007,"35,844",
29,Missouri,29009,Barry,2008,"35,935",
29,Missouri,29009,Barry,2009,"35,640",
29,Missouri,29009,Barry,2010,"35,551",
29,Missouri,29009,Barry,2011,"35,326",
29,Missouri,29009,Barry,2012,"35,321",
29,Missouri,29009,Barry,2013,"35,330",
29,Missouri,29009,Barry,2014,"35,330",
29,Missouri,29009,Barry,2015,"35,325",
29,Missouri,29011,Barton,1996,"12,131",
29,Missouri,29011,Barton,1997,"12,198",
29,Missouri,29011,Barton,1998,"12,391",
29,Missouri,29011,Barton,1999,"12,494",
29,Missouri,29011,Barton,2000,"12,542",
29,Missouri,29011,Barton,2001,"12,684",
29,Missouri,29011,Barton,2002,"12,780",
29,Missouri,29011,Barton,2003,"12,924",
29,Missouri,29011,Barton,2004,"12,941",
29,Missouri,29011,Barton,2005,"12,976",
29,Missouri,29011,Barton,2006,"12,972",
29,Missouri,29011,Barton,2007,"12,769",
29,Missouri,29011,Barton,2008,"12,589",
29,Missouri,29011,Barton,2009,"12,454",
29,Missouri,29011,Barton,2010,"12,388",
29,Missouri,29011,Barton,2011,"12,344",
29,Missouri,29011,Barton,2012,"12,296",
29,Missouri,29011,Barton,2013,"12,177",
29,Missouri,29011,Barton,2014,"11,987",
29,Missouri,29011,Barton,2015,"11,835",
29,Missouri,29013,Bates,1996,"15,927",
29,Missouri,29013,Bates,1997,"16,013",
29,Missouri,29013,Bates,1998,"16,130",
29,Missouri,29013,Bates,1999,"16,407",
29,Missouri,29013,Bates,2000,"16,700",
29,Missouri,29013,Bates,2001,"16,801",
29,Missouri,29013,Bates,2002,"17,009",
29,Missouri,29013,Bates,2003,"17,109",
29,Missouri,29013,Bates,2004,"17,088",
29,Missouri,29013,Bates,2005,"17,117",
29,Missouri,29013,Bates,2006,"17,193",
29,Missouri,29013,Bates,2007,"17,189",
29,Missouri,29013,Bates,2008,"17,194",
29,Missouri,29013,Bates,2009,"17,044",
29,Missouri,29013,Bates,2010,"17,034",
29,Missouri,29013,Bates,2011,"16,967",
29,Missouri,29013,Bates,2012,"16,619",
29,Missouri,29013,Bates,2013,"16,432",
29,Missouri,29013,Bates,2014,"16,520",
29,Missouri,29013,Bates,2015,"16,367",
29,Missouri,29015,Benton,1996,"15,916",
29,Missouri,29015,Benton,1997,"16,271",
29,Missouri,29015,Benton,1998,"16,571",
29,Missouri,29015,Benton,1999,"16,949",
29,Missouri,29015,Benton,2000,"17,202",
29,Missouri,29015,Benton,2001,"17,399",
29,Missouri,29015,Benton,2002,"17,588",
29,Missouri,29015,Benton,2003,"17,996",
29,Missouri,29015,Benton,2004,"18,336",
29,Missouri,29015,Benton,2005,"18,688",
29,Missouri,29015,Benton,2006,"18,749",
29,Missouri,29015,Benton,2007,"19,025",
29,Missouri,29015,Benton,2008,"19,046",
29,Missouri,29015,Benton,2009,"18,996",
29,Missouri,29015,Benton,2010,"19,095",
29,Missouri,29015,Benton,2011,"19,028",
