stateFIPS,State,countyFIPS,County,Year,Value,
37,North Carolina,37001,Alamance,2008,692,
37,North Carolina,37001,Alamance,2009,759,
37,North Carolina,37001,Alamance,2010,719,
37,North Carolina,37001,Alamance,2011,748,
37,North Carolina,37001,Alamance,2012,740,
37,North Carolina,37001,Alamance,2013,750,
37,North Carolina,37003,Alexander,2008,174,
37,North Carolina,37003,Alexander,2009,149,
37,North Carolina,37003,Alexander,2010,125,
37,North Carolina,37003,Alexander,2011,82,
37,North Carolina,37003,Alexander,2012,129,
37,North Carolina,37003,Alexander,2013,112,
37,North Carolina,37005,Alleghany,2008,18,
37,North Carolina,37005,Alleghany,2009,19,
37,North Carolina,37005,Alleghany,2010,16,
37,North Carolina,37005,Alleghany,2011,18,
37,North Carolina,37005,Alleghany,2012,47,
37,North Carolina,37005,Alleghany,2013,38,
37,North Carolina,37007,Anson,2008,269,
37,North Carolina,37007,Anson,2009,279,
37,North Carolina,37007,Anson,2010,255,
37,North Carolina,37007,Anson,2011,212,
37,North Carolina,37007,Anson,2012,231,
37,North Carolina,37007,Anson,2013,134,
37,North Carolina,37009,Ashe,2008,68,
37,North Carolina,37009,Ashe,2009,97,
37,North Carolina,37009,Ashe,2010,74,
37,North Carolina,37009,Ashe,2011,86,
37,North Carolina,37009,Ashe,2012,66,
37,North Carolina,37009,Ashe,2013,75,
37,North Carolina,37011,Avery,2008,21,
37,North Carolina,37011,Avery,2009,66,
37,North Carolina,37011,Avery,2010,60,
37,North Carolina,37011,Avery,2011,72,
37,North Carolina,37011,Avery,2012,79,
37,North Carolina,37011,Avery,2013,94,
37,North Carolina,37013,Beaufort,2008,264,
37,North Carolina,37013,Beaufort,2009,189,
37,North Carolina,37013,Beaufort,2010,206,
37,North Carolina,37013,Beaufort,2011,199,
37,North Carolina,37013,Beaufort,2012,261,
37,North Carolina,37013,Beaufort,2013,294,
37,North Carolina,37015,Bertie,2008,174,
37,North Carolina,37015,Bertie,2009,121,
37,North Carolina,37015,Bertie,2010,167,
37,North Carolina,37015,Bertie,2011,168,
37,North Carolina,37015,Bertie,2012,184,
37,North Carolina,37015,Bertie,2013,178,
37,North Carolina,37017,Bladen,2008,198,
37,North Carolina,37017,Bladen,2009,185,
37,North Carolina,37017,Bladen,2010,320,
37,North Carolina,37017,Bladen,2011,295,
37,North Carolina,37017,Bladen,2012,334,
37,North Carolina,37017,Bladen,2013,171,
37,North Carolina,37019,Brunswick,2008,396,
37,North Carolina,37019,Brunswick,2009,415,
37,North Carolina,37019,Brunswick,2010,361,
37,North Carolina,37019,Brunswick,2011,474,
37,North Carolina,37019,Brunswick,2012,502,
37,North Carolina,37019,Brunswick,2013,547,
37,North Carolina,37021,Buncombe,2008,"1,836",
37,North Carolina,37021,Buncombe,2009,"2,220",
37,North Carolina,37021,Buncombe,2010,"1,584",
37,North Carolina,37021,Buncombe,2011,"1,279",
37,North Carolina,37021,Buncombe,2012,"1,393",
37,North Carolina,37021,Buncombe,2013,822,
37,North Carolina,37023,Burke,2008,538,
37,North Carolina,37023,Burke,2009,540,
37,North Carolina,37023,Burke,2010,494,
37,North Carolina,37023,Burke,2011,560,
37,North Carolina,37023,Burke,2012,600,
37,North Carolina,37023,Burke,2013,368,
37,North Carolina,37025,Cabarrus,2008,937,
37,North Carolina,37025,Cabarrus,2009,911,
37,North Carolina,37025,Cabarrus,2010,974,
37,North Carolina,37025,Cabarrus,2011,924,
37,North Carolina,37025,Cabarrus,2012,"1,095",
37,North Carolina,37025,Cabarrus,2013,614,
37,North Carolina,37027,Caldwell,2008,420,
37,North Carolina,37027,Caldwell,2009,456,
37,North Carolina,37027,Caldwell,2010,507,
37,North Carolina,37027,Caldwell,2011,394,
37,North Carolina,37027,Caldwell,2012,378,
37,North Carolina,37027,Caldwell,2013,267,
37,North Carolina,37029,Camden,2008,46,
37,North Carolina,37029,Camden,2009,62,
37,North Carolina,37029,Camden,2010,51,
37,North Carolina,37029,Camden,2011,80,
37,North Carolina,37029,Camden,2012,111,
37,North Carolina,37029,Camden,2013,101,
37,North Carolina,37031,Carteret,2008,114,
37,North Carolina,37031,Carteret,2009,101,
37,North Carolina,37031,Carteret,2010,94,
37,North Carolina,37031,Carteret,2011,72,
37,North Carolina,37031,Carteret,2012,91,
37,North Carolina,37031,Carteret,2013,124,
37,North Carolina,37033,Caswell,2008,51,
37,North Carolina,37033,Caswell,2009,133,
37,North Carolina,37033,Caswell,2010,66,
37,North Carolina,37033,Caswell,2011,63,
37,North Carolina,37033,Caswell,2012,69,
37,North Carolina,37033,Caswell,2013,69,
37,North Carolina,37035,Catawba,2008,647,
37,North Carolina,37035,Catawba,2009,663,
37,North Carolina,37035,Catawba,2010,612,
37,North Carolina,37035,Catawba,2011,561,
37,North Carolina,37035,Catawba,2012,591,
37,North Carolina,37035,Catawba,2013,604,
37,North Carolina,37037,Chatham,2008,144,
37,North Carolina,37037,Chatham,2009,148,
37,North Carolina,37037,Chatham,2010,125,
37,North Carolina,37037,Chatham,2011,79,
37,North Carolina,37037,Chatham,2012,82,
37,North Carolina,37037,Chatham,2013,95,
37,North Carolina,37039,Cherokee,2008,116,
37,North Carolina,37039,Cherokee,2009,107,
37,North Carolina,37039,Cherokee,2010,91,
37,North Carolina,37039,Cherokee,2011,110,
37,North Carolina,37039,Cherokee,2012,131,
37,North Carolina,37039,Cherokee,2013,53,
37,North Carolina,37041,Chowan,2008,131,
37,North Carolina,37041,Chowan,2009,81,
37,North Carolina,37041,Chowan,2010,103,
37,North Carolina,37041,Chowan,2011,95,
37,North Carolina,37041,Chowan,2012,96,
37,North Carolina,37041,Chowan,2013,114,
37,North Carolina,37043,Clay,2008,9,
37,North Carolina,37043,Clay,2009,21,
37,North Carolina,37043,Clay,2010,26,
37,North Carolina,37043,Clay,2011,21,
37,North Carolina,37043,Clay,2012,36,
37,North Carolina,37043,Clay,2013,17,
37,North Carolina,37045,Cleveland,2008,762,
37,North Carolina,37045,Cleveland,2009,977,
37,North Carolina,37045,Cleveland,2010,919,
37,North Carolina,37045,Cleveland,2011,"1,226",
37,North Carolina,37045,Cleveland,2012,993,
37,North Carolina,37045,Cleveland,2013,957,
37,North Carolina,37047,Columbus,2008,233,
37,North Carolina,37047,Columbus,2009,221,
37,North Carolina,37047,Columbus,2010,194,
37,North Carolina,37047,Columbus,2011,226,
37,North Carolina,37047,Columbus,2012,171,
37,North Carolina,37047,Columbus,2013,196,
37,North Carolina,37049,Craven,2008,720,
37,North Carolina,37049,Craven,2009,904,
37,North Carolina,37049,Craven,2010,992,
37,North Carolina,37049,Craven,2011,940,
37,North Carolina,37049,Craven,2012,867,
37,North Carolina,37049,Craven,2013,708,
37,North Carolina,37051,Cumberland,2008,"3,016",
37,North Carolina,37051,Cumberland,2009,"3,067",
37,North Carolina,37051,Cumberland,2010,"3,008",
37,North Carolina,37051,Cumberland,2011,"3,034",
37,North Carolina,37051,Cumberland,2012,"2,120",
37,North Carolina,37051,Cumberland,2013,"2,470",
37,North Carolina,37053,Currituck,2008,93,
37,North Carolina,37053,Currituck,2009,66,
37,North Carolina,37053,Currituck,2010,77,
37,North Carolina,37053,Currituck,2011,88,
37,North Carolina,37053,Currituck,2012,89,
37,North Carolina,37053,Currituck,2013,97,
37,North Carolina,37055,Dare,2008,145,
37,North Carolina,37055,Dare,2009,75,
37,North Carolina,37055,Dare,2010,99,
37,North Carolina,37055,Dare,2011,146,
37,North Carolina,37055,Dare,2012,168,
37,North Carolina,37055,Dare,2013,148,
37,North Carolina,37057,Davidson,2008,635,
37,North Carolina,37057,Davidson,2009,652,
37,North Carolina,37057,Davidson,2010,489,
37,North Carolina,37057,Davidson,2011,472,
37,North Carolina,37057,Davidson,2012,563,
37,North Carolina,37057,Davidson,2013,601,
37,North Carolina,37059,Davie,2008,77,
37,North Carolina,37059,Davie,2009,81,
37,North Carolina,37059,Davie,2010,92,
37,North Carolina,37059,Davie,2011,75,
37,North Carolina,37059,Davie,2012,82,
37,North Carolina,37059,Davie,2013,78,
37,North Carolina,37061,Duplin,2008,94,
37,North Carolina,37061,Duplin,2009,73,
37,North Carolina,37061,Duplin,2010,90,
37,North Carolina,37061,Duplin,2011,94,
37,North Carolina,37061,Duplin,2012,209,
37,North Carolina,37061,Duplin,2013,366,
37,North Carolina,37063,Durham,2008,"1,095",
37,North Carolina,37063,Durham,2009,"1,221",
37,North Carolina,37063,Durham,2010,"1,480",
37,North Carolina,37063,Durham,2011,"1,667",
37,North Carolina,37063,Durham,2012,"1,728",
37,North Carolina,37063,Durham,2013,"1,378",
37,North Carolina,37065,Edgecombe,2008,465,
37,North Carolina,37065,Edgecombe,2009,357,
37,North Carolina,37065,Edgecombe,2010,376,
37,North Carolina,37065,Edgecombe,2011,315,
37,North Carolina,37065,Edgecombe,2012,318,
37,North Carolina,37065,Edgecombe,2013,282,
37,North Carolina,37067,Forsyth,2008,"1,959",
37,North Carolina,37067,Forsyth,2009,"1,849",
37,North Carolina,37067,Forsyth,2010,"1,810",
37,North Carolina,37067,Forsyth,2011,"1,591",
37,North Carolina,37067,Forsyth,2012,"1,939",
37,North Carolina,37067,Forsyth,2013,"1,966",
37,North Carolina,37069,Franklin,2008,214,
37,North Carolina,37069,Franklin,2009,244,
37,North Carolina,37069,Franklin,2010,261,
37,North Carolina,37069,Franklin,2011,301,
37,North Carolina,37069,Franklin,2012,396,
37,North Carolina,37069,Franklin,2013,306,
37,North Carolina,37071,Gaston,2008,951,
37,North Carolina,37071,Gaston,2009,961,
37,North Carolina,37071,Gaston,2010,"1,030",
37,North Carolina,37071,Gaston,2011,"1,148",
37,North Carolina,37071,Gaston,2012,"1,137",
37,North Carolina,37071,Gaston,2013,643,
37,North Carolina,37073,Gates,2008,32,
37,North Carolina,37073,Gates,2009,41,
37,North Carolina,37073,Gates,2010,30,
37,North Carolina,37073,Gates,2011,33,
37,North Carolina,37073,Gates,2012,34,
37,North Carolina,37073,Gates,2013,38,
37,North Carolina,37075,Graham,2008,35,
37,North Carolina,37075,Graham,2009,43,
37,North Carolina,37075,Graham,2010,33,
37,North Carolina,37075,Graham,2011,17,
37,North Carolina,37075,Graham,2012,29,
37,North Carolina,37075,Graham,2013,12,
37,North Carolina,37077,Granville,2008,202,
37,North Carolina,37077,Granville,2009,229,
37,North Carolina,37077,Granville,2010,236,
37,North Carolina,37077,Granville,2011,234,
37,North Carolina,37077,Granville,2012,199,
37,North Carolina,37077,Granville,2013,151,
37,North Carolina,37079,Greene,2008,73,
37,North Carolina,37079,Greene,2009,54,
37,North Carolina,37079,Greene,2010,79,
37,North Carolina,37079,Greene,2011,66,
37,North Carolina,37079,Greene,2012,78,
37,North Carolina,37079,Greene,2013,92,
37,North Carolina,37081,Guilford,2008,"3,125",
37,North Carolina,37081,Guilford,2009,"2,918",
37,North Carolina,37081,Guilford,2010,"2,822",
37,North Carolina,37081,Guilford,2011,"2,846",
37,North Carolina,37081,Guilford,2012,"3,550",
37,North Carolina,37081,Guilford,2013,"3,139",
37,North Carolina,37083,Halifax,2008,581,
37,North Carolina,37083,Halifax,2009,646,
37,North Carolina,37083,Halifax,2010,617,
37,North Carolina,37083,Halifax,2011,585,
37,North Carolina,37083,Halifax,2012,602,
37,North Carolina,37083,Halifax,2013,458,
37,North Carolina,37085,Harnett,2008,478,
37,North Carolina,37085,Harnett,2009,401,
