stateFIPS,State,countyFIPS,County,Year,Value,
37,North Carolina,37001,Alamance,1996,"121,263",
37,North Carolina,37001,Alamance,1997,"123,877",
37,North Carolina,37001,Alamance,1998,"126,232",
37,North Carolina,37001,Alamance,1999,"128,743",
37,North Carolina,37001,Alamance,2000,"131,423",
37,North Carolina,37001,Alamance,2001,"133,346",
37,North Carolina,37001,Alamance,2002,"135,239",
37,North Carolina,37001,Alamance,2003,"136,009",
37,North Carolina,37001,Alamance,2004,"137,619",
37,North Carolina,37001,Alamance,2005,"139,311",
37,North Carolina,37001,Alamance,2006,"141,462",
37,North Carolina,37001,Alamance,2007,"144,712",
37,North Carolina,37001,Alamance,2008,"147,704",
37,North Carolina,37001,Alamance,2009,"149,954",
37,North Carolina,37001,Alamance,2010,"151,490",
37,North Carolina,37001,Alamance,2011,"152,857",
37,North Carolina,37001,Alamance,2012,"153,471",
37,North Carolina,37001,Alamance,2013,"154,417",
37,North Carolina,37001,Alamance,2014,"155,698",
37,North Carolina,37001,Alamance,2015,"157,389",
37,North Carolina,37003,Alexander,1996,"30,967",
37,North Carolina,37003,Alexander,1997,"31,668",
37,North Carolina,37003,Alexander,1998,"32,492",
37,North Carolina,37003,Alexander,1999,"33,274",
37,North Carolina,37003,Alexander,2000,"33,774",
37,North Carolina,37003,Alexander,2001,"34,187",
37,North Carolina,37003,Alexander,2002,"34,665",
37,North Carolina,37003,Alexander,2003,"34,998",
37,North Carolina,37003,Alexander,2004,"35,343",
37,North Carolina,37003,Alexander,2005,"35,786",
37,North Carolina,37003,Alexander,2006,"36,243",
37,North Carolina,37003,Alexander,2007,"36,609",
37,North Carolina,37003,Alexander,2008,"36,840",
37,North Carolina,37003,Alexander,2009,"37,053",
37,North Carolina,37003,Alexander,2010,"37,241",
37,North Carolina,37003,Alexander,2011,"37,039",
37,North Carolina,37003,Alexander,2012,"36,940",
37,North Carolina,37003,Alexander,2013,"37,091",
37,North Carolina,37003,Alexander,2014,"37,092",
37,North Carolina,37003,Alexander,2015,"37,058",
37,North Carolina,37005,Alleghany,1996,"10,241",
37,North Carolina,37005,Alleghany,1997,"10,287",
37,North Carolina,37005,Alleghany,1998,"10,437",
37,North Carolina,37005,Alleghany,1999,"10,567",
37,North Carolina,37005,Alleghany,2000,"10,673",
37,North Carolina,37005,Alleghany,2001,"10,740",
37,North Carolina,37005,Alleghany,2002,"10,740",
37,North Carolina,37005,Alleghany,2003,"10,776",
37,North Carolina,37005,Alleghany,2004,"10,790",
37,North Carolina,37005,Alleghany,2005,"10,788",
37,North Carolina,37005,Alleghany,2006,"10,940",
37,North Carolina,37005,Alleghany,2007,"11,061",
37,North Carolina,37005,Alleghany,2008,"11,131",
37,North Carolina,37005,Alleghany,2009,"11,125",
37,North Carolina,37005,Alleghany,2010,"11,141",
37,North Carolina,37005,Alleghany,2011,"11,025",
37,North Carolina,37005,Alleghany,2012,"10,956",
37,North Carolina,37005,Alleghany,2013,"10,920",
37,North Carolina,37005,Alleghany,2014,"10,911",
37,North Carolina,37005,Alleghany,2015,"10,869",
37,North Carolina,37007,Anson,1996,"24,977",
37,North Carolina,37007,Anson,1997,"25,134",
37,North Carolina,37007,Anson,1998,"25,340",
37,North Carolina,37007,Anson,1999,"25,288",
37,North Carolina,37007,Anson,2000,"25,342",
37,North Carolina,37007,Anson,2001,"25,553",
37,North Carolina,37007,Anson,2002,"25,723",
37,North Carolina,37007,Anson,2003,"25,749",
37,North Carolina,37007,Anson,2004,"26,386",
37,North Carolina,37007,Anson,2005,"26,585",
37,North Carolina,37007,Anson,2006,"26,599",
37,North Carolina,37007,Anson,2007,"26,664",
37,North Carolina,37007,Anson,2008,"26,837",
37,North Carolina,37007,Anson,2009,"26,917",
37,North Carolina,37007,Anson,2010,"26,851",
37,North Carolina,37007,Anson,2011,"26,517",
37,North Carolina,37007,Anson,2012,"26,322",
37,North Carolina,37007,Anson,2013,"25,975",
37,North Carolina,37007,Anson,2014,"25,978",
37,North Carolina,37007,Anson,2015,"25,594",
37,North Carolina,37009,Ashe,1996,"23,691",
37,North Carolina,37009,Ashe,1997,"23,865",
37,North Carolina,37009,Ashe,1998,"23,989",
37,North Carolina,37009,Ashe,1999,"24,181",
37,North Carolina,37009,Ashe,2000,"24,480",
37,North Carolina,37009,Ashe,2001,"24,750",
37,North Carolina,37009,Ashe,2002,"25,029",
37,North Carolina,37009,Ashe,2003,"25,288",
37,North Carolina,37009,Ashe,2004,"25,684",
37,North Carolina,37009,Ashe,2005,"25,838",
37,North Carolina,37009,Ashe,2006,"26,134",
37,North Carolina,37009,Ashe,2007,"26,506",
37,North Carolina,37009,Ashe,2008,"26,858",
37,North Carolina,37009,Ashe,2009,"27,144",
37,North Carolina,37009,Ashe,2010,"27,231",
37,North Carolina,37009,Ashe,2011,"27,008",
37,North Carolina,37009,Ashe,2012,"26,957",
37,North Carolina,37009,Ashe,2013,"26,889",
37,North Carolina,37009,Ashe,2014,"26,838",
37,North Carolina,37009,Ashe,2015,"26,727",
37,North Carolina,37011,Avery,1996,"15,931",
37,North Carolina,37011,Avery,1997,"16,123",
37,North Carolina,37011,Avery,1998,"16,255",
37,North Carolina,37011,Avery,1999,"17,040",
37,North Carolina,37011,Avery,2000,"17,318",
37,North Carolina,37011,Avery,2001,"17,706",
