stateFIPS,State,countyFIPS,County,Year,Value,
34,New Jersey,34001,Atlantic,2004,"2,220",
34,New Jersey,34001,Atlantic,2005,"2,246",
34,New Jersey,34001,Atlantic,2006,"2,471",
34,New Jersey,34001,Atlantic,2007,"2,320",
34,New Jersey,34001,Atlantic,2008,"2,791",
34,New Jersey,34001,Atlantic,2009,"3,033",
34,New Jersey,34001,Atlantic,2010,"2,925",
34,New Jersey,34001,Atlantic,2011,"2,949",
34,New Jersey,34001,Atlantic,2012,"2,367",
34,New Jersey,34001,Atlantic,2013,"2,295",
34,New Jersey,34001,Atlantic,2014,"2,144",
34,New Jersey,34001,Atlantic,2015,"1,972",
34,New Jersey,34003,Bergen,2004,"3,856",
34,New Jersey,34003,Bergen,2005,"3,748",
34,New Jersey,34003,Bergen,2006,"4,145",
34,New Jersey,34003,Bergen,2007,"3,832",
34,New Jersey,34003,Bergen,2008,"3,732",
34,New Jersey,34003,Bergen,2009,"4,173",
34,New Jersey,34003,Bergen,2010,"4,014",
34,New Jersey,34003,Bergen,2011,"4,217",
34,New Jersey,34003,Bergen,2012,"3,384",
34,New Jersey,34003,Bergen,2013,"3,128",
34,New Jersey,34003,Bergen,2014,"3,318",
34,New Jersey,34003,Bergen,2015,"3,091",
34,New Jersey,34005,Burlington,2004,"2,212",
34,New Jersey,34005,Burlington,2005,"2,321",
34,New Jersey,34005,Burlington,2006,"2,461",
34,New Jersey,34005,Burlington,2007,"2,440",
34,New Jersey,34005,Burlington,2008,"2,660",
34,New Jersey,34005,Burlington,2009,"3,067",
34,New Jersey,34005,Burlington,2010,"2,658",
34,New Jersey,34005,Burlington,2011,"2,641",
34,New Jersey,34005,Burlington,2012,"2,427",
34,New Jersey,34005,Burlington,2013,"2,188",
34,New Jersey,34005,Burlington,2014,"2,485",
34,New Jersey,34005,Burlington,2015,"2,416",
34,New Jersey,34007,Camden,2004,"4,838",
34,New Jersey,34007,Camden,2005,"5,167",
34,New Jersey,34007,Camden,2006,"5,368",
34,New Jersey,34007,Camden,2007,"5,540",
34,New Jersey,34007,Camden,2008,"5,703",
34,New Jersey,34007,Camden,2009,"6,125",
34,New Jersey,34007,Camden,2010,"5,770",
34,New Jersey,34007,Camden,2011,"5,964",
34,New Jersey,34007,Camden,2012,"5,156",
34,New Jersey,34007,Camden,2013,"5,120",
34,New Jersey,34007,Camden,2014,"5,255",
34,New Jersey,34007,Camden,2015,"5,259",
34,New Jersey,34009,Cape May,2004,479,
34,New Jersey,34009,Cape May,2005,522,
34,New Jersey,34009,Cape May,2006,557,
34,New Jersey,34009,Cape May,2007,589,
34,New Jersey,34009,Cape May,2008,602,
34,New Jersey,34009,Cape May,2009,550,
34,New Jersey,34009,Cape May,2010,544,
34,New Jersey,34009,Cape May,2011,504,
34,New Jersey,34009,Cape May,2012,442,
34,New Jersey,34009,Cape May,2013,410,
34,New Jersey,34009,Cape May,2014,422,
34,New Jersey,34009,Cape May,2015,370,
34,New Jersey,34011,Cumberland,2004,"1,414",
