stateFIPS,State,countyFIPS,County,Year,Value,
36,New York,36001,Albany,2005,"2,106",
36,New York,36001,Albany,2006,"2,165",
36,New York,36001,Albany,2007,"2,113",
36,New York,36001,Albany,2008,"2,114",
36,New York,36001,Albany,2009,"2,377",
36,New York,36001,Albany,2010,"2,106",
36,New York,36001,Albany,2011,"2,037",
36,New York,36001,Albany,2012,"2,155",
36,New York,36001,Albany,2013,"1,956",
36,New York,36001,Albany,2014,"1,996",
36,New York,36001,Albany,2015,"1,956",
36,New York,36003,Allegany,2005,176,
36,New York,36003,Allegany,2006,135,
36,New York,36003,Allegany,2007,183,
36,New York,36003,Allegany,2008,171,
36,New York,36003,Allegany,2009,168,
36,New York,36003,Allegany,2010,151,
36,New York,36003,Allegany,2011,231,
36,New York,36003,Allegany,2012,221,
36,New York,36003,Allegany,2013,211,
36,New York,36003,Allegany,2014,190,
36,New York,36003,Allegany,2015,178,
36,New York,36005,Bronx,2005,"32,705",
36,New York,36005,Bronx,2006,"36,760",
36,New York,36005,Bronx,2007,"36,862",
36,New York,36005,Bronx,2008,"36,395",
36,New York,36005,Bronx,2009,"35,007",
36,New York,36005,Bronx,2010,"34,302",
36,New York,36005,Bronx,2011,"34,603",
36,New York,36005,Bronx,2012,"39,805",
36,New York,36005,Bronx,2013,"42,454",
36,New York,36005,Bronx,2014,"42,114",
36,New York,36005,Bronx,2015,"40,382",
36,New York,36007,Broome,2005,"1,059",
36,New York,36007,Broome,2006,"1,059",
36,New York,36007,Broome,2007,"1,004",
36,New York,36007,Broome,2008,"1,099",
36,New York,36007,Broome,2009,"1,000",
36,New York,36007,Broome,2010,958,
36,New York,36007,Broome,2011,"1,155",
36,New York,36007,Broome,2012,"1,187",
36,New York,36007,Broome,2013,"1,075",
36,New York,36007,Broome,2014,"1,201",
36,New York,36007,Broome,2015,"1,201",
36,New York,36009,Cattaraugus,2005,376,
36,New York,36009,Cattaraugus,2006,374,
36,New York,36009,Cattaraugus,2007,454,
36,New York,36009,Cattaraugus,2008,449,
36,New York,36009,Cattaraugus,2009,510,
36,New York,36009,Cattaraugus,2010,501,
36,New York,36009,Cattaraugus,2011,515,
36,New York,36009,Cattaraugus,2012,429,
36,New York,36009,Cattaraugus,2013,471,
36,New York,36009,Cattaraugus,2014,453,
36,New York,36009,Cattaraugus,2015,400,
36,New York,36011,Cayuga,2005,374,
36,New York,36011,Cayuga,2006,339,
36,New York,36011,Cayuga,2007,325,
36,New York,36011,Cayuga,2008,381,
36,New York,36011,Cayuga,2009,404,
36,New York,36011,Cayuga,2010,301,
36,New York,36011,Cayuga,2011,252,
36,New York,36011,Cayuga,2012,353,
36,New York,36011,Cayuga,2013,325,
36,New York,36011,Cayuga,2014,292,
36,New York,36011,Cayuga,2015,284,
36,New York,36013,Chautauqua,2005,"1,048",
36,New York,36013,Chautauqua,2006,914,
36,New York,36013,Chautauqua,2007,830,
36,New York,36013,Chautauqua,2008,759,
36,New York,36013,Chautauqua,2009,922,
36,New York,36013,Chautauqua,2010,909,
36,New York,36013,Chautauqua,2011,882,
36,New York,36013,Chautauqua,2012,741,
36,New York,36013,Chautauqua,2013,680,
36,New York,36013,Chautauqua,2014,775,
