stateFIPS,State,countyFIPS,County,Year,Value,
33,New Hampshire,33001,Belknap,2000,360,
33,New Hampshire,33001,Belknap,2001,390,
33,New Hampshire,33001,Belknap,2002,415,
33,New Hampshire,33001,Belknap,2003,434,
33,New Hampshire,33001,Belknap,2004,418,
33,New Hampshire,33001,Belknap,2005,405,
33,New Hampshire,33001,Belknap,2006,361,
33,New Hampshire,33001,Belknap,2007,306,
33,New Hampshire,33001,Belknap,2008,343,
33,New Hampshire,33001,Belknap,2009,300,
33,New Hampshire,33001,Belknap,2010,309,
33,New Hampshire,33001,Belknap,2012,297,
33,New Hampshire,33001,Belknap,2013,257,
33,New Hampshire,33001,Belknap,2014,249,
33,New Hampshire,33001,Belknap,2015,303,
33,New Hampshire,33003,Carroll,2000,276,
33,New Hampshire,33003,Carroll,2001,330,
33,New Hampshire,33003,Carroll,2002,273,
33,New Hampshire,33003,Carroll,2003,274,
33,New Hampshire,33003,Carroll,2004,240,
33,New Hampshire,33003,Carroll,2005,317,
33,New Hampshire,33003,Carroll,2006,262,
33,New Hampshire,33003,Carroll,2007,259,
33,New Hampshire,33003,Carroll,2008,292,
33,New Hampshire,33003,Carroll,2009,269,
33,New Hampshire,33003,Carroll,2010,258,
33,New Hampshire,33003,Carroll,2012,288,
33,New Hampshire,33003,Carroll,2013,195,
33,New Hampshire,33003,Carroll,2014,165,
33,New Hampshire,33003,Carroll,2015,190,
33,New Hampshire,33005,Cheshire,2000,365,
33,New Hampshire,33005,Cheshire,2001,340,
33,New Hampshire,33005,Cheshire,2002,295,
33,New Hampshire,33005,Cheshire,2003,340,
33,New Hampshire,33005,Cheshire,2004,308,
33,New Hampshire,33005,Cheshire,2005,371,
33,New Hampshire,33005,Cheshire,2006,300,
33,New Hampshire,33005,Cheshire,2007,377,
33,New Hampshire,33005,Cheshire,2008,361,
33,New Hampshire,33005,Cheshire,2009,372,
33,New Hampshire,33005,Cheshire,2010,39,
33,New Hampshire,33005,Cheshire,2012,204,
33,New Hampshire,33005,Cheshire,2013,240,
33,New Hampshire,33005,Cheshire,2014,191,
33,New Hampshire,33005,Cheshire,2015,213,
33,New Hampshire,33007,Coos,2000,187,
33,New Hampshire,33007,Coos,2001,180,
33,New Hampshire,33007,Coos,2002,233,
33,New Hampshire,33007,Coos,2003,244,
33,New Hampshire,33007,Coos,2004,259,
33,New Hampshire,33007,Coos,2005,282,
33,New Hampshire,33007,Coos,2006,222,
33,New Hampshire,33007,Coos,2007,226,
33,New Hampshire,33007,Coos,2008,212,
33,New Hampshire,33007,Coos,2009,178,
33,New Hampshire,33007,Coos,2010,159,
33,New Hampshire,33007,Coos,2012,169,
33,New Hampshire,33007,Coos,2013,154,
33,New Hampshire,33007,Coos,2014,190,
33,New Hampshire,33007,Coos,2015,158,
33,New Hampshire,33009,Grafton,2000,452,
33,New Hampshire,33009,Grafton,2001,472,
33,New Hampshire,33009,Grafton,2002,466,
33,New Hampshire,33009,Grafton,2003,499,
33,New Hampshire,33009,Grafton,2004,475,
33,New Hampshire,33009,Grafton,2005,548,
33,New Hampshire,33009,Grafton,2006,497,
33,New Hampshire,33009,Grafton,2007,491,
33,New Hampshire,33009,Grafton,2008,491,
33,New Hampshire,33009,Grafton,2009,420,
33,New Hampshire,33009,Grafton,2010,251,
33,New Hampshire,33009,Grafton,2012,368,
33,New Hampshire,33009,Grafton,2013,338,
33,New Hampshire,33009,Grafton,2014,373,
33,New Hampshire,33009,Grafton,2015,311,
33,New Hampshire,33011,Hillsborough,2000,"2,510",
33,New Hampshire,33011,Hillsborough,2001,"2,261",
33,New Hampshire,33011,Hillsborough,2002,"2,224",
33,New Hampshire,33011,Hillsborough,2003,"2,415",
33,New Hampshire,33011,Hillsborough,2004,"2,168",
33,New Hampshire,33011,Hillsborough,2005,"2,075",
33,New Hampshire,33011,Hillsborough,2006,"2,213",
33,New Hampshire,33011,Hillsborough,2007,"2,130",
33,New Hampshire,33011,Hillsborough,2008,"2,186",
33,New Hampshire,33011,Hillsborough,2009,"1,954",
33,New Hampshire,33011,Hillsborough,2010,"1,193",
33,New Hampshire,33011,Hillsborough,2012,"1,814",
33,New Hampshire,33011,Hillsborough,2013,"1,693",
33,New Hampshire,33011,Hillsborough,2014,"1,642",
