stateFIPS,State,countyFIPS,County,Year,Value,
33,New Hampshire,33001,Belknap,1996,"53,020",
33,New Hampshire,33001,Belknap,1997,"53,391",
33,New Hampshire,33001,Belknap,1998,"54,459",
33,New Hampshire,33001,Belknap,1999,"55,517",
33,New Hampshire,33001,Belknap,2000,"56,473",
33,New Hampshire,33001,Belknap,2001,"57,597",
33,New Hampshire,33001,Belknap,2002,"58,609",
33,New Hampshire,33001,Belknap,2003,"59,497",
33,New Hampshire,33001,Belknap,2004,"60,170",
33,New Hampshire,33001,Belknap,2005,"60,287",
33,New Hampshire,33001,Belknap,2006,"60,105",
33,New Hampshire,33001,Belknap,2007,"60,109",
33,New Hampshire,33001,Belknap,2008,"60,239",
33,New Hampshire,33001,Belknap,2009,"60,171",
33,New Hampshire,33001,Belknap,2010,"60,094",
33,New Hampshire,33001,Belknap,2011,"60,265",
33,New Hampshire,33001,Belknap,2012,"60,327",
33,New Hampshire,33001,Belknap,2013,"60,106",
33,New Hampshire,33001,Belknap,2014,"60,172",
33,New Hampshire,33001,Belknap,2015,"60,248",
33,New Hampshire,33003,Carroll,1996,"39,908",
33,New Hampshire,33003,Carroll,1997,"40,781",
33,New Hampshire,33003,Carroll,1998,"41,724",
33,New Hampshire,33003,Carroll,1999,"42,815",
33,New Hampshire,33003,Carroll,2000,"43,907",
33,New Hampshire,33003,Carroll,2001,"44,200",
33,New Hampshire,33003,Carroll,2002,"45,074",
33,New Hampshire,33003,Carroll,2003,"45,697",
33,New Hampshire,33003,Carroll,2004,"46,496",
33,New Hampshire,33003,Carroll,2005,"46,652",
33,New Hampshire,33003,Carroll,2006,"47,421",
33,New Hampshire,33003,Carroll,2007,"47,829",
33,New Hampshire,33003,Carroll,2008,"48,013",
33,New Hampshire,33003,Carroll,2009,"47,763",
33,New Hampshire,33003,Carroll,2010,"47,833",
33,New Hampshire,33003,Carroll,2011,"47,668",
33,New Hampshire,33003,Carroll,2012,"47,657",
33,New Hampshire,33003,Carroll,2013,"47,470",
33,New Hampshire,33003,Carroll,2014,"47,369",
33,New Hampshire,33003,Carroll,2015,"47,320",
33,New Hampshire,33005,Cheshire,1996,"72,203",
33,New Hampshire,33005,Cheshire,1997,"72,805",
33,New Hampshire,33005,Cheshire,1998,"73,144",
33,New Hampshire,33005,Cheshire,1999,"73,447",
33,New Hampshire,33005,Cheshire,2000,"73,953",
33,New Hampshire,33005,Cheshire,2001,"74,372",
33,New Hampshire,33005,Cheshire,2002,"75,047",
33,New Hampshire,33005,Cheshire,2003,"76,135",
33,New Hampshire,33005,Cheshire,2004,"76,709",
33,New Hampshire,33005,Cheshire,2005,"77,061",
33,New Hampshire,33005,Cheshire,2006,"77,658",
33,New Hampshire,33005,Cheshire,2007,"77,745",
33,New Hampshire,33005,Cheshire,2008,"77,472",
33,New Hampshire,33005,Cheshire,2009,"77,302",
33,New Hampshire,33005,Cheshire,2010,"77,050",
33,New Hampshire,33005,Cheshire,2011,"76,874",
33,New Hampshire,33005,Cheshire,2012,"76,802",
