stateFIPS,State,countyFIPS,County,Year,Value,
35,New Mexico,35001,Bernalillo,2010,"1,929",
35,New Mexico,35001,Bernalillo,2011,"1,978",
35,New Mexico,35001,Bernalillo,2012,"2,021",
35,New Mexico,35001,Bernalillo,2013,"2,076",
35,New Mexico,35001,Bernalillo,2014,"2,365",
35,New Mexico,35001,Bernalillo,2015,"2,260",
35,New Mexico,35003,Catron,2010,Suppressed,
35,New Mexico,35003,Catron,2011,6,
35,New Mexico,35003,Catron,2012,Suppressed,
35,New Mexico,35003,Catron,2013,10,
35,New Mexico,35003,Catron,2014,Suppressed,
35,New Mexico,35003,Catron,2015,Suppressed,
35,New Mexico,35005,Chaves,2010,407,
35,New Mexico,35005,Chaves,2011,366,
35,New Mexico,35005,Chaves,2012,444,
35,New Mexico,35005,Chaves,2013,491,
35,New Mexico,35005,Chaves,2014,506,
35,New Mexico,35005,Chaves,2015,531,
35,New Mexico,35006,Cibola,2010,63,
35,New Mexico,35006,Cibola,2011,131,
35,New Mexico,35006,Cibola,2012,119,
35,New Mexico,35006,Cibola,2013,122,
35,New Mexico,35006,Cibola,2014,124,
35,New Mexico,35006,Cibola,2015,164,
35,New Mexico,35007,Colfax,2010,59,
35,New Mexico,35007,Colfax,2011,6,
35,New Mexico,35007,Colfax,2012,46,
35,New Mexico,35007,Colfax,2013,60,
35,New Mexico,35007,Colfax,2014,45,
35,New Mexico,35007,Colfax,2015,67,
35,New Mexico,35009,Curry,2010,325,
35,New Mexico,35009,Curry,2011,298,
35,New Mexico,35009,Curry,2012,346,
35,New Mexico,35009,Curry,2013,434,
35,New Mexico,35009,Curry,2014,458,
35,New Mexico,35009,Curry,2015,417,
35,New Mexico,35011,De Baca,2010,Suppressed,
35,New Mexico,35011,De Baca,2011,0,
35,New Mexico,35011,De Baca,2012,Suppressed,
35,New Mexico,35011,De Baca,2013,7,
35,New Mexico,35011,De Baca,2014,8,
35,New Mexico,35011,De Baca,2015,8,
35,New Mexico,35013,Dona Ana,2010,476,
35,New Mexico,35013,Dona Ana,2011,577,
35,New Mexico,35013,Dona Ana,2012,578,
35,New Mexico,35013,Dona Ana,2013,648,
35,New Mexico,35013,Dona Ana,2014,744,
35,New Mexico,35013,Dona Ana,2015,670,
35,New Mexico,35015,Eddy,2010,437,
35,New Mexico,35015,Eddy,2011,309,
35,New Mexico,35015,Eddy,2012,450,
35,New Mexico,35015,Eddy,2013,442,
35,New Mexico,35015,Eddy,2014,605,
35,New Mexico,35015,Eddy,2015,491,
35,New Mexico,35017,Grant,2010,148,
35,New Mexico,35017,Grant,2011,166,
35,New Mexico,35017,Grant,2012,156,
35,New Mexico,35017,Grant,2013,156,
35,New Mexico,35017,Grant,2014,153,
35,New Mexico,35017,Grant,2015,148,
35,New Mexico,35019,Guadalupe,2010,Suppressed,
35,New Mexico,35019,Guadalupe,2011,16,
35,New Mexico,35019,Guadalupe,2012,15,
35,New Mexico,35019,Guadalupe,2013,12,
35,New Mexico,35019,Guadalupe,2014,16,
35,New Mexico,35019,Guadalupe,2015,12,
35,New Mexico,35021,Harding,2010,0,
35,New Mexico,35021,Harding,2011,0,
35,New Mexico,35021,Harding,2012,Suppressed,
35,New Mexico,35021,Harding,2013,Suppressed,
35,New Mexico,35021,Harding,2014,Suppressed,
35,New Mexico,35021,Harding,2015,Suppressed,
35,New Mexico,35023,Hidalgo,2010,10,
35,New Mexico,35023,Hidalgo,2011,8,
35,New Mexico,35023,Hidalgo,2012,8,
35,New Mexico,35023,Hidalgo,2013,8,
35,New Mexico,35023,Hidalgo,2014,13,
35,New Mexico,35023,Hidalgo,2015,11,
35,New Mexico,35025,Lea,2010,398,
35,New Mexico,35025,Lea,2011,363,
35,New Mexico,35025,Lea,2012,478,
35,New Mexico,35025,Lea,2013,418,
35,New Mexico,35025,Lea,2014,471,
35,New Mexico,35025,Lea,2015,486,
35,New Mexico,35027,Lincoln,2010,67,
35,New Mexico,35027,Lincoln,2011,53,
35,New Mexico,35027,Lincoln,2012,93,
35,New Mexico,35027,Lincoln,2013,91,
35,New Mexico,35027,Lincoln,2014,71,
35,New Mexico,35027,Lincoln,2015,79,
35,New Mexico,35028,Los Alamos,2010,15,
35,New Mexico,35028,Los Alamos,2011,47,
35,New Mexico,35028,Los Alamos,2012,41,
35,New Mexico,35028,Los Alamos,2013,43,
35,New Mexico,35028,Los Alamos,2014,38,
35,New Mexico,35028,Los Alamos,2015,45,
