stateFIPS,State,countyFIPS,County,Year,Value,
35,New Mexico,35001,Bernalillo,1996,"544,201",
35,New Mexico,35001,Bernalillo,1997,"547,997",
35,New Mexico,35001,Bernalillo,1998,"551,298",
35,New Mexico,35001,Bernalillo,1999,"553,002",
35,New Mexico,35001,Bernalillo,2000,"557,601",
35,New Mexico,35001,Bernalillo,2001,"564,241",
35,New Mexico,35001,Bernalillo,2002,"576,532",
35,New Mexico,35001,Bernalillo,2003,"587,049",
35,New Mexico,35001,Bernalillo,2004,"600,449",
35,New Mexico,35001,Bernalillo,2005,"615,320",
35,New Mexico,35001,Bernalillo,2006,"628,632",
35,New Mexico,35001,Bernalillo,2007,"638,978",
35,New Mexico,35001,Bernalillo,2008,"646,879",
35,New Mexico,35001,Bernalillo,2009,"655,279",
35,New Mexico,35001,Bernalillo,2010,"663,999",
35,New Mexico,35001,Bernalillo,2011,"669,336",
35,New Mexico,35001,Bernalillo,2012,"672,335",
35,New Mexico,35001,Bernalillo,2013,"673,914",
35,New Mexico,35001,Bernalillo,2014,"673,902",
35,New Mexico,35001,Bernalillo,2015,"674,100",
35,New Mexico,35003,Catron,1996,"2,987",
35,New Mexico,35003,Catron,1997,"3,186",
35,New Mexico,35003,Catron,1998,"3,274",
35,New Mexico,35003,Catron,1999,"3,413",
35,New Mexico,35003,Catron,2000,"3,567",
35,New Mexico,35003,Catron,2001,"3,488",
35,New Mexico,35003,Catron,2002,"3,501",
35,New Mexico,35003,Catron,2003,"3,456",
35,New Mexico,35003,Catron,2004,"3,468",
35,New Mexico,35003,Catron,2005,"3,425",
35,New Mexico,35003,Catron,2006,"3,573",
35,New Mexico,35003,Catron,2007,"3,638",
35,New Mexico,35003,Catron,2008,"3,631",
35,New Mexico,35003,Catron,2009,"3,689",
35,New Mexico,35003,Catron,2010,"3,750",
35,New Mexico,35003,Catron,2011,"3,718",
35,New Mexico,35003,Catron,2012,"3,637",
35,New Mexico,35003,Catron,2013,"3,587",
35,New Mexico,35003,Catron,2014,"3,549",
35,New Mexico,35003,Catron,2015,"3,480",
35,New Mexico,35005,Chaves,1996,"62,088",
35,New Mexico,35005,Chaves,1997,"62,338",
35,New Mexico,35005,Chaves,1998,"62,395",
35,New Mexico,35005,Chaves,1999,"62,052",
35,New Mexico,35005,Chaves,2000,"61,317",
35,New Mexico,35005,Chaves,2001,"60,928",
35,New Mexico,35005,Chaves,2002,"60,768",
35,New Mexico,35005,Chaves,2003,"61,248",
35,New Mexico,35005,Chaves,2004,"61,478",
35,New Mexico,35005,Chaves,2005,"62,172",
35,New Mexico,35005,Chaves,2006,"62,486",
35,New Mexico,35005,Chaves,2007,"63,587",
35,New Mexico,35005,Chaves,2008,"64,378",
35,New Mexico,35005,Chaves,2009,"65,110",
35,New Mexico,35005,Chaves,2010,"65,729",
35,New Mexico,35005,Chaves,2011,"65,667",
35,New Mexico,35005,Chaves,2012,"65,688",
35,New Mexico,35005,Chaves,2013,"65,836",
35,New Mexico,35005,Chaves,2014,"65,642",
35,New Mexico,35005,Chaves,2015,"65,554",
35,New Mexico,35006,Cibola,1996,"24,843",
35,New Mexico,35006,Cibola,1997,"25,248",
35,New Mexico,35006,Cibola,1998,"25,467",
35,New Mexico,35006,Cibola,1999,"25,512",
35,New Mexico,35006,Cibola,2000,"25,633",
35,New Mexico,35006,Cibola,2001,"26,488",
35,New Mexico,35006,Cibola,2002,"26,592",
35,New Mexico,35006,Cibola,2003,"26,940",
35,New Mexico,35006,Cibola,2004,"27,167",
35,New Mexico,35006,Cibola,2005,"27,204",
35,New Mexico,35006,Cibola,2006,"27,032",
35,New Mexico,35006,Cibola,2007,"27,258",
35,New Mexico,35006,Cibola,2008,"27,259",
35,New Mexico,35006,Cibola,2009,"27,097",
35,New Mexico,35006,Cibola,2010,"27,318",
35,New Mexico,35006,Cibola,2011,"27,470",
35,New Mexico,35006,Cibola,2012,"27,379",
35,New Mexico,35006,Cibola,2013,"27,341",
35,New Mexico,35006,Cibola,2014,"27,080",
35,New Mexico,35006,Cibola,2015,"26,976",
35,New Mexico,35007,Colfax,1996,"14,139",
35,New Mexico,35007,Colfax,1997,"13,993",
35,New Mexico,35007,Colfax,1998,"13,873",
35,New Mexico,35007,Colfax,1999,"14,024",
35,New Mexico,35007,Colfax,2000,"14,202",
35,New Mexico,35007,Colfax,2001,"14,140",
35,New Mexico,35007,Colfax,2002,"14,215",
35,New Mexico,35007,Colfax,2003,"14,088",
35,New Mexico,35007,Colfax,2004,"14,093",
35,New Mexico,35007,Colfax,2005,"14,031",
35,New Mexico,35007,Colfax,2006,"13,982",
35,New Mexico,35007,Colfax,2007,"13,933",
35,New Mexico,35007,Colfax,2008,"13,764",
35,New Mexico,35007,Colfax,2009,"13,731",
35,New Mexico,35007,Colfax,2010,"13,733",
35,New Mexico,35007,Colfax,2011,"13,611",
35,New Mexico,35007,Colfax,2012,"13,239",
35,New Mexico,35007,Colfax,2013,"13,055",
35,New Mexico,35007,Colfax,2014,"12,693",
35,New Mexico,35007,Colfax,2015,"12,425",
35,New Mexico,35009,Curry,1996,"49,021",
35,New Mexico,35009,Curry,1997,"47,968",
35,New Mexico,35009,Curry,1998,"46,348",
35,New Mexico,35009,Curry,1999,"45,153",
35,New Mexico,35009,Curry,2000,"44,991",
35,New Mexico,35009,Curry,2001,"44,964",
35,New Mexico,35009,Curry,2002,"45,133",
35,New Mexico,35009,Curry,2003,"45,385",
35,New Mexico,35009,Curry,2004,"46,640",
35,New Mexico,35009,Curry,2005,"46,981",
35,New Mexico,35009,Curry,2006,"47,018",
35,New Mexico,35009,Curry,2007,"46,588",
35,New Mexico,35009,Curry,2008,"45,512",
35,New Mexico,35009,Curry,2009,"46,555",
35,New Mexico,35009,Curry,2010,"48,964",
35,New Mexico,35009,Curry,2011,"49,710",
35,New Mexico,35009,Curry,2012,"50,652",
35,New Mexico,35009,Curry,2013,"50,494",
35,New Mexico,35009,Curry,2014,"50,874",
35,New Mexico,35009,Curry,2015,"50,068",
35,New Mexico,35011,De Baca,1996,"2,283",
35,New Mexico,35011,De Baca,1997,"2,280",
35,New Mexico,35011,De Baca,1998,"2,285",
35,New Mexico,35011,De Baca,1999,"2,296",
35,New Mexico,35011,De Baca,2000,"2,218",
35,New Mexico,35011,De Baca,2001,"2,174",
35,New Mexico,35011,De Baca,2002,"2,158",
35,New Mexico,35011,De Baca,2003,"2,132",
35,New Mexico,35011,De Baca,2004,"2,062",
35,New Mexico,35011,De Baca,2005,"2,098",
35,New Mexico,35011,De Baca,2006,"1,994",
35,New Mexico,35011,De Baca,2007,"1,995",
35,New Mexico,35011,De Baca,2008,"2,000",
35,New Mexico,35011,De Baca,2009,"2,002",
35,New Mexico,35011,De Baca,2010,"2,029",
35,New Mexico,35011,De Baca,2011,"1,996",
35,New Mexico,35011,De Baca,2012,"1,953",
35,New Mexico,35011,De Baca,2013,"1,921",
35,New Mexico,35011,De Baca,2014,"1,853",
35,New Mexico,35011,De Baca,2015,"1,868",
35,New Mexico,35013,Dona Ana,1996,"165,618",
35,New Mexico,35013,Dona Ana,1997,"169,081",
35,New Mexico,35013,Dona Ana,1998,"172,057",
35,New Mexico,35013,Dona Ana,1999,"173,889",
35,New Mexico,35013,Dona Ana,2000,"175,098",
35,New Mexico,35013,Dona Ana,2001,"176,496",
35,New Mexico,35013,Dona Ana,2002,"178,464",
35,New Mexico,35013,Dona Ana,2003,"182,045",
35,New Mexico,35013,Dona Ana,2004,"184,939",
35,New Mexico,35013,Dona Ana,2005,"189,199",
35,New Mexico,35013,Dona Ana,2006,"193,701",
35,New Mexico,35013,Dona Ana,2007,"197,853",
35,New Mexico,35013,Dona Ana,2008,"200,855",
35,New Mexico,35013,Dona Ana,2009,"205,401",
35,New Mexico,35013,Dona Ana,2010,"210,114",
35,New Mexico,35013,Dona Ana,2011,"212,860",
35,New Mexico,35013,Dona Ana,2012,"214,050",
35,New Mexico,35013,Dona Ana,2013,"213,425",
35,New Mexico,35013,Dona Ana,2014,"213,200",
35,New Mexico,35013,Dona Ana,2015,"213,165",
35,New Mexico,35015,Eddy,1996,"52,374",
35,New Mexico,35015,Eddy,1997,"52,323",
35,New Mexico,35015,Eddy,1998,"52,569",
35,New Mexico,35015,Eddy,1999,"52,192",
35,New Mexico,35015,Eddy,2000,"51,399",
35,New Mexico,35015,Eddy,2001,"50,765",
35,New Mexico,35015,Eddy,2002,"51,002",
35,New Mexico,35015,Eddy,2003,"51,036",
35,New Mexico,35015,Eddy,2004,"51,242",
