stateFIPS,State,countyFIPS,County,Year,Value,
44,Rhode Island,44001,Bristol,1996,"49,868",
44,Rhode Island,44001,Bristol,1997,"50,028",
44,Rhode Island,44001,Bristol,1998,"50,328",
44,Rhode Island,44001,Bristol,1999,"50,466",
44,Rhode Island,44001,Bristol,2000,"50,697",
44,Rhode Island,44001,Bristol,2001,"50,942",
44,Rhode Island,44001,Bristol,2002,"51,850",
44,Rhode Island,44001,Bristol,2003,"51,658",
44,Rhode Island,44001,Bristol,2004,"52,213",
44,Rhode Island,44001,Bristol,2005,"51,667",
44,Rhode Island,44001,Bristol,2006,"50,996",
44,Rhode Island,44001,Bristol,2007,"50,914",
44,Rhode Island,44001,Bristol,2008,"50,668",
44,Rhode Island,44001,Bristol,2009,"50,075",
44,Rhode Island,44001,Bristol,2010,"49,808",
44,Rhode Island,44001,Bristol,2011,"49,212",
44,Rhode Island,44001,Bristol,2012,"49,214",
44,Rhode Island,44001,Bristol,2013,"49,207",
44,Rhode Island,44001,Bristol,2014,"49,047",
44,Rhode Island,44001,Bristol,2015,"49,096",
44,Rhode Island,44003,Kent,1996,"164,373",
44,Rhode Island,44003,Kent,1997,"164,505",
44,Rhode Island,44003,Kent,1998,"164,932",
44,Rhode Island,44003,Kent,1999,"166,044",
44,Rhode Island,44003,Kent,2000,"167,516",
44,Rhode Island,44003,Kent,2001,"168,516",
44,Rhode Island,44003,Kent,2002,"169,478",
44,Rhode Island,44003,Kent,2003,"170,641",
44,Rhode Island,44003,Kent,2004,"170,539",
44,Rhode Island,44003,Kent,2005,"169,815",
44,Rhode Island,44003,Kent,2006,"168,522",
44,Rhode Island,44003,Kent,2007,"167,515",
44,Rhode Island,44003,Kent,2008,"167,269",
44,Rhode Island,44003,Kent,2009,"166,766",
44,Rhode Island,44003,Kent,2010,"166,023",
44,Rhode Island,44003,Kent,2011,"165,230",
44,Rhode Island,44003,Kent,2012,"164,608",
44,Rhode Island,44003,Kent,2013,"164,356",
44,Rhode Island,44003,Kent,2014,"164,513",
44,Rhode Island,44003,Kent,2015,"163,740",
44,Rhode Island,44005,Newport,1996,"84,226",
44,Rhode Island,44005,Newport,1997,"84,649",
44,Rhode Island,44005,Newport,1998,"84,438",
44,Rhode Island,44005,Newport,1999,"84,840",
44,Rhode Island,44005,Newport,2000,"85,734",
44,Rhode Island,44005,Newport,2001,"85,754",
44,Rhode Island,44005,Newport,2002,"85,953",
44,Rhode Island,44005,Newport,2003,"85,646",
44,Rhode Island,44005,Newport,2004,"85,509",
44,Rhode Island,44005,Newport,2005,"83,962",
44,Rhode Island,44005,Newport,2006,"85,130",
44,Rhode Island,44005,Newport,2007,"82,881",
44,Rhode Island,44005,Newport,2008,"82,505",
44,Rhode Island,44005,Newport,2009,"82,896",
44,Rhode Island,44005,Newport,2010,"83,132",
44,Rhode Island,44005,Newport,2011,"83,152",
44,Rhode Island,44005,Newport,2012,"83,119",
44,Rhode Island,44005,Newport,2013,"82,824",
44,Rhode Island,44005,Newport,2014,"82,822",
44,Rhode Island,44005,Newport,2015,"83,419",
44,Rhode Island,44007,Providence,1996,"605,077",
44,Rhode Island,44007,Providence,1997,"607,458",
44,Rhode Island,44007,Providence,1998,"611,251",
44,Rhode Island,44007,Providence,1999,"616,607",
44,Rhode Island,44007,Providence,2000,"622,378",
44,Rhode Island,44007,Providence,2001,"626,935",
44,Rhode Island,44007,Providence,2002,"632,252",
44,Rhode Island,44007,Providence,2003,"636,149",
44,Rhode Island,44007,Providence,2004,"638,358",
44,Rhode Island,44007,Providence,2005,"635,060",
44,Rhode Island,44007,Providence,2006,"631,691",
44,Rhode Island,44007,Providence,2007,"629,110",
44,Rhode Island,44007,Providence,2008,"627,889",
44,Rhode Island,44007,Providence,2009,"626,304",
44,Rhode Island,44007,Providence,2010,"627,131",
44,Rhode Island,44007,Providence,2011,"628,089",
44,Rhode Island,44007,Providence,2012,"629,597",
44,Rhode Island,44007,Providence,2013,"630,033",
44,Rhode Island,44007,Providence,2014,"632,087",
44,Rhode Island,44007,Providence,2015,"633,519",
44,Rhode Island,44009,Washington,1996,"117,349",
44,Rhode Island,44009,Washington,1997,"118,713",
44,Rhode Island,44009,Washington,1998,"120,206",
44,Rhode Island,44009,Washington,1999,"122,445",
44,Rhode Island,44009,Washington,2000,"123,943",
44,Rhode Island,44009,Washington,2001,"124,995",
44,Rhode Island,44009,Washington,2002,"126,462",
44,Rhode Island,44009,Washington,2003,"127,248",
44,Rhode Island,44009,Washington,2004,"127,960",
44,Rhode Island,44009,Washington,2005,"127,412",
44,Rhode Island,44009,Washington,2006,"126,757",
44,Rhode Island,44009,Washington,2007,"126,895",
44,Rhode Island,44009,Washington,2008,"126,672",
44,Rhode Island,44009,Washington,2009,"127,605",
44,Rhode Island,44009,Washington,2010,"127,075",
44,Rhode Island,44009,Washington,2011,"126,471",
44,Rhode Island,44009,Washington,2012,"126,223",
44,Rhode Island,44009,Washington,2013,"126,364",
44,Rhode Island,44009,Washington,2014,"126,313",
44,Rhode Island,44009,Washington,2015,"126,142",
