stateFIPS,State,countyFIPS,County,Year,Value,
45,South Carolina,45001,Abbeville,2000,134,
45,South Carolina,45001,Abbeville,2001,183,
45,South Carolina,45001,Abbeville,2002,180,
45,South Carolina,45001,Abbeville,2003,146,
45,South Carolina,45001,Abbeville,2004,149,
45,South Carolina,45001,Abbeville,2005,189,
45,South Carolina,45001,Abbeville,2006,127,
45,South Carolina,45001,Abbeville,2007,190,
45,South Carolina,45001,Abbeville,2008,198,
45,South Carolina,45001,Abbeville,2009,241,
45,South Carolina,45001,Abbeville,2010,188,
45,South Carolina,45001,Abbeville,2011,198,
45,South Carolina,45001,Abbeville,2012,199,
45,South Carolina,45001,Abbeville,2013,174,
45,South Carolina,45001,Abbeville,2014,203,
45,South Carolina,45003,Aiken,2000,490,
45,South Carolina,45003,Aiken,2001,583,
45,South Carolina,45003,Aiken,2002,502,
45,South Carolina,45003,Aiken,2003,427,
45,South Carolina,45003,Aiken,2004,374,
45,South Carolina,45003,Aiken,2005,442,
45,South Carolina,45003,Aiken,2006,506,
45,South Carolina,45003,Aiken,2007,537,
45,South Carolina,45003,Aiken,2008,558,
45,South Carolina,45003,Aiken,2009,656,
45,South Carolina,45003,Aiken,2010,667,
45,South Carolina,45003,Aiken,2011,774,
45,South Carolina,45003,Aiken,2012,697,
45,South Carolina,45003,Aiken,2013,583,
45,South Carolina,45003,Aiken,2014,563,
45,South Carolina,45005,Allendale,2000,113,
45,South Carolina,45005,Allendale,2001,141,
45,South Carolina,45005,Allendale,2002,140,
45,South Carolina,45005,Allendale,2003,113,
45,South Carolina,45005,Allendale,2004,97,
45,South Carolina,45005,Allendale,2005,157,
45,South Carolina,45005,Allendale,2006,107,
45,South Carolina,45005,Allendale,2007,131,
45,South Carolina,45005,Allendale,2008,69,
45,South Carolina,45005,Allendale,2009,90,
45,South Carolina,45005,Allendale,2010,77,
45,South Carolina,45005,Allendale,2011,80,
45,South Carolina,45005,Allendale,2012,116,
45,South Carolina,45005,Allendale,2013,110,
45,South Carolina,45005,Allendale,2014,114,
45,South Carolina,45007,Anderson,2000,819,
45,South Carolina,45007,Anderson,2001,811,
45,South Carolina,45007,Anderson,2002,781,
45,South Carolina,45007,Anderson,2003,900,
45,South Carolina,45007,Anderson,2004,844,
45,South Carolina,45007,Anderson,2005,961,
45,South Carolina,45007,Anderson,2006,908,
45,South Carolina,45007,Anderson,2007,905,
45,South Carolina,45007,Anderson,2008,707,
45,South Carolina,45007,Anderson,2009,690,
45,South Carolina,45007,Anderson,2010,814,
45,South Carolina,45007,Anderson,2011,818,
45,South Carolina,45007,Anderson,2012,457,
45,South Carolina,45007,Anderson,2013,513,
45,South Carolina,45007,Anderson,2014,826,
45,South Carolina,45009,Bamberg,2000,119,
45,South Carolina,45009,Bamberg,2001,95,
45,South Carolina,45009,Bamberg,2002,116,
45,South Carolina,45009,Bamberg,2003,112,
45,South Carolina,45009,Bamberg,2004,111,
45,South Carolina,45009,Bamberg,2005,92,
45,South Carolina,45009,Bamberg,2006,89,
45,South Carolina,45009,Bamberg,2007,128,
45,South Carolina,45009,Bamberg,2008,114,
45,South Carolina,45009,Bamberg,2009,108,
45,South Carolina,45009,Bamberg,2010,107,
45,South Carolina,45009,Bamberg,2011,103,
45,South Carolina,45009,Bamberg,2012,113,
45,South Carolina,45009,Bamberg,2013,91,
45,South Carolina,45009,Bamberg,2014,70,
45,South Carolina,45011,Barnwell,2000,169,
45,South Carolina,45011,Barnwell,2001,86,
45,South Carolina,45011,Barnwell,2002,160,
45,South Carolina,45011,Barnwell,2003,207,
45,South Carolina,45011,Barnwell,2004,174,
45,South Carolina,45011,Barnwell,2005,170,
45,South Carolina,45011,Barnwell,2006,190,
45,South Carolina,45011,Barnwell,2007,205,
45,South Carolina,45011,Barnwell,2008,184,
45,South Carolina,45011,Barnwell,2009,109,
45,South Carolina,45011,Barnwell,2010,170,
45,South Carolina,45011,Barnwell,2011,169,
45,South Carolina,45011,Barnwell,2012,193,
45,South Carolina,45011,Barnwell,2013,174,
45,South Carolina,45011,Barnwell,2014,127,
45,South Carolina,45013,Beaufort,2000,652,
45,South Carolina,45013,Beaufort,2001,671,
45,South Carolina,45013,Beaufort,2002,746,
45,South Carolina,45013,Beaufort,2003,738,
45,South Carolina,45013,Beaufort,2004,677,
45,South Carolina,45013,Beaufort,2005,691,
45,South Carolina,45013,Beaufort,2006,720,
45,South Carolina,45013,Beaufort,2007,701,
45,South Carolina,45013,Beaufort,2008,705,
45,South Carolina,45013,Beaufort,2009,787,
45,South Carolina,45013,Beaufort,2010,847,
45,South Carolina,45013,Beaufort,2011,755,
45,South Carolina,45013,Beaufort,2012,869,
45,South Carolina,45013,Beaufort,2013,898,
45,South Carolina,45013,Beaufort,2014,"1,022",
45,South Carolina,45015,Berkeley,2000,625,
45,South Carolina,45015,Berkeley,2001,813,
45,South Carolina,45015,Berkeley,2002,785,
45,South Carolina,45015,Berkeley,2003,814,
45,South Carolina,45015,Berkeley,2004,801,
45,South Carolina,45015,Berkeley,2005,843,
45,South Carolina,45015,Berkeley,2006,776,
45,South Carolina,45015,Berkeley,2007,775,
45,South Carolina,45015,Berkeley,2008,813,
45,South Carolina,45015,Berkeley,2009,938,
45,South Carolina,45015,Berkeley,2010,928,
45,South Carolina,45015,Berkeley,2011,890,
45,South Carolina,45015,Berkeley,2012,955,
45,South Carolina,45015,Berkeley,2013,944,
45,South Carolina,45015,Berkeley,2014,"1,040",
45,South Carolina,45017,Calhoun,2000,93,
45,South Carolina,45017,Calhoun,2001,117,
45,South Carolina,45017,Calhoun,2002,111,
45,South Carolina,45017,Calhoun,2003,143,
45,South Carolina,45017,Calhoun,2004,116,
45,South Carolina,45017,Calhoun,2005,121,
45,South Carolina,45017,Calhoun,2006,84,
45,South Carolina,45017,Calhoun,2007,106,
45,South Carolina,45017,Calhoun,2008,103,
45,South Carolina,45017,Calhoun,2009,107,
45,South Carolina,45017,Calhoun,2010,116,
45,South Carolina,45017,Calhoun,2011,104,
45,South Carolina,45017,Calhoun,2012,121,
45,South Carolina,45017,Calhoun,2013,130,
45,South Carolina,45017,Calhoun,2014,125,
45,South Carolina,45019,Charleston,2000,"2,302",
45,South Carolina,45019,Charleston,2001,"2,194",
45,South Carolina,45019,Charleston,2002,"2,231",
45,South Carolina,45019,Charleston,2003,"2,239",
45,South Carolina,45019,Charleston,2004,"1,985",
45,South Carolina,45019,Charleston,2005,"1,905",
45,South Carolina,45019,Charleston,2006,"1,863",
45,South Carolina,45019,Charleston,2007,"2,146",
45,South Carolina,45019,Charleston,2008,"2,085",
45,South Carolina,45019,Charleston,2009,"2,273",
45,South Carolina,45019,Charleston,2010,"2,444",
45,South Carolina,45019,Charleston,2011,"2,382",
45,South Carolina,45019,Charleston,2012,"2,590",
45,South Carolina,45019,Charleston,2013,"2,557",
45,South Carolina,45019,Charleston,2014,"2,518",
45,South Carolina,45021,Cherokee,2000,185,
45,South Carolina,45021,Cherokee,2001,216,
45,South Carolina,45021,Cherokee,2002,200,
45,South Carolina,45021,Cherokee,2003,219,
45,South Carolina,45021,Cherokee,2004,236,
45,South Carolina,45021,Cherokee,2005,245,
45,South Carolina,45021,Cherokee,2006,274,
45,South Carolina,45021,Cherokee,2007,254,
45,South Carolina,45021,Cherokee,2008,268,
45,South Carolina,45021,Cherokee,2009,290,
45,South Carolina,45021,Cherokee,2010,283,
45,South Carolina,45021,Cherokee,2011,320,
45,South Carolina,45021,Cherokee,2012,302,
45,South Carolina,45021,Cherokee,2013,305,
45,South Carolina,45021,Cherokee,2014,298,
45,South Carolina,45023,Chester,2000,176,
45,South Carolina,45023,Chester,2001,174,
45,South Carolina,45023,Chester,2002,156,
45,South Carolina,45023,Chester,2003,166,
45,South Carolina,45023,Chester,2004,152,
45,South Carolina,45023,Chester,2005,260,
45,South Carolina,45023,Chester,2006,220,
45,South Carolina,45023,Chester,2007,240,
45,South Carolina,45023,Chester,2008,254,
45,South Carolina,45023,Chester,2009,316,
45,South Carolina,45023,Chester,2010,288,
45,South Carolina,45023,Chester,2011,237,
45,South Carolina,45023,Chester,2012,281,
45,South Carolina,45023,Chester,2013,264,
45,South Carolina,45023,Chester,2014,253,
45,South Carolina,45025,Chesterfield,2000,235,
45,South Carolina,45025,Chesterfield,2001,262,
45,South Carolina,45025,Chesterfield,2002,285,
45,South Carolina,45025,Chesterfield,2003,238,
45,South Carolina,45025,Chesterfield,2004,142,
45,South Carolina,45025,Chesterfield,2005,234,
45,South Carolina,45025,Chesterfield,2006,199,
45,South Carolina,45025,Chesterfield,2007,190,
45,South Carolina,45025,Chesterfield,2008,162,
45,South Carolina,45025,Chesterfield,2009,165,
45,South Carolina,45025,Chesterfield,2010,139,
45,South Carolina,45025,Chesterfield,2011,157,
45,South Carolina,45025,Chesterfield,2012,204,
45,South Carolina,45025,Chesterfield,2013,175,
45,South Carolina,45025,Chesterfield,2014,200,
45,South Carolina,45027,Clarendon,2000,191,
45,South Carolina,45027,Clarendon,2001,227,
45,South Carolina,45027,Clarendon,2002,265,
45,South Carolina,45027,Clarendon,2003,344,
45,South Carolina,45027,Clarendon,2004,379,
45,South Carolina,45027,Clarendon,2005,379,
45,South Carolina,45027,Clarendon,2006,339,
45,South Carolina,45027,Clarendon,2007,427,
45,South Carolina,45027,Clarendon,2008,389,
45,South Carolina,45027,Clarendon,2009,352,
45,South Carolina,45027,Clarendon,2010,220,
45,South Carolina,45027,Clarendon,2011,159,
45,South Carolina,45027,Clarendon,2012,312,
45,South Carolina,45027,Clarendon,2013,354,
45,South Carolina,45027,Clarendon,2014,387,
45,South Carolina,45029,Colleton,2000,332,
45,South Carolina,45029,Colleton,2001,365,
45,South Carolina,45029,Colleton,2002,427,
45,South Carolina,45029,Colleton,2003,406,
45,South Carolina,45029,Colleton,2004,357,
45,South Carolina,45029,Colleton,2005,370,
45,South Carolina,45029,Colleton,2006,282,
45,South Carolina,45029,Colleton,2007,362,
45,South Carolina,45029,Colleton,2008,350,
45,South Carolina,45029,Colleton,2009,350,
45,South Carolina,45029,Colleton,2010,307,
45,South Carolina,45029,Colleton,2011,265,
45,South Carolina,45029,Colleton,2012,300,
45,South Carolina,45029,Colleton,2013,303,
45,South Carolina,45029,Colleton,2014,369,
45,South Carolina,45031,Darlington,2000,506,
45,South Carolina,45031,Darlington,2001,549,
45,South Carolina,45031,Darlington,2002,621,
45,South Carolina,45031,Darlington,2003,621,
45,South Carolina,45031,Darlington,2004,543,
45,South Carolina,45031,Darlington,2005,501,
45,South Carolina,45031,Darlington,2006,485,
45,South Carolina,45031,Darlington,2007,492,
45,South Carolina,45031,Darlington,2008,469,
45,South Carolina,45031,Darlington,2009,510,
45,South Carolina,45031,Darlington,2010,419,
45,South Carolina,45031,Darlington,2011,408,
45,South Carolina,45031,Darlington,2012,473,
45,South Carolina,45031,Darlington,2013,483,
45,South Carolina,45031,Darlington,2014,480,
45,South Carolina,45033,Dillon,2000,334,
45,South Carolina,45033,Dillon,2001,350,
45,South Carolina,45033,Dillon,2002,381,
45,South Carolina,45033,Dillon,2003,369,
45,South Carolina,45033,Dillon,2004,322,
45,South Carolina,45033,Dillon,2005,346,
45,South Carolina,45033,Dillon,2006,383,
45,South Carolina,45033,Dillon,2007,329,
45,South Carolina,45033,Dillon,2008,305,
45,South Carolina,45033,Dillon,2009,282,
45,South Carolina,45033,Dillon,2010,295,
45,South Carolina,45033,Dillon,2011,343,
45,South Carolina,45033,Dillon,2012,511,
45,South Carolina,45033,Dillon,2013,596,
45,South Carolina,45033,Dillon,2014,534,
45,South Carolina,45035,Dorchester,2000,502,
45,South Carolina,45035,Dorchester,2001,460,
45,South Carolina,45035,Dorchester,2002,507,
45,South Carolina,45035,Dorchester,2003,634,
45,South Carolina,45035,Dorchester,2004,577,
45,South Carolina,45035,Dorchester,2005,582,
45,South Carolina,45035,Dorchester,2006,609,
45,South Carolina,45035,Dorchester,2007,667,
45,South Carolina,45035,Dorchester,2008,669,
45,South Carolina,45035,Dorchester,2009,730,
45,South Carolina,45035,Dorchester,2010,716,
45,South Carolina,45035,Dorchester,2011,744,
45,South Carolina,45035,Dorchester,2012,712,
45,South Carolina,45035,Dorchester,2013,775,
45,South Carolina,45035,Dorchester,2014,810,
45,South Carolina,45037,Edgefield,2000,148,
45,South Carolina,45037,Edgefield,2001,132,
45,South Carolina,45037,Edgefield,2002,166,
45,South Carolina,45037,Edgefield,2003,153,
45,South Carolina,45037,Edgefield,2004,118,
45,South Carolina,45037,Edgefield,2005,132,
45,South Carolina,45037,Edgefield,2006,116,
45,South Carolina,45037,Edgefield,2007,120,
45,South Carolina,45037,Edgefield,2008,116,
45,South Carolina,45037,Edgefield,2009,151,
45,South Carolina,45037,Edgefield,2010,124,
45,South Carolina,45037,Edgefield,2011,156,
45,South Carolina,45037,Edgefield,2012,151,
45,South Carolina,45037,Edgefield,2013,156,
45,South Carolina,45037,Edgefield,2014,169,
45,South Carolina,45039,Fairfield,2000,271,
45,South Carolina,45039,Fairfield,2001,258,
45,South Carolina,45039,Fairfield,2002,228,
45,South Carolina,45039,Fairfield,2003,230,
45,South Carolina,45039,Fairfield,2004,184,
45,South Carolina,45039,Fairfield,2005,254,
45,South Carolina,45039,Fairfield,2006,207,
45,South Carolina,45039,Fairfield,2007,252,
45,South Carolina,45039,Fairfield,2008,198,
45,South Carolina,45039,Fairfield,2009,244,
45,South Carolina,45039,Fairfield,2010,307,
45,South Carolina,45039,Fairfield,2011,304,
45,South Carolina,45039,Fairfield,2012,280,
45,South Carolina,45039,Fairfield,2013,309,
45,South Carolina,45039,Fairfield,2014,222,
45,South Carolina,45041,Florence,2000,"1,104",
45,South Carolina,45041,Florence,2001,"1,107",
45,South Carolina,45041,Florence,2002,"1,173",
45,South Carolina,45041,Florence,2003,"1,389",
45,South Carolina,45041,Florence,2004,"1,266",
45,South Carolina,45041,Florence,2005,"1,294",
45,South Carolina,45041,Florence,2006,"1,230",
45,South Carolina,45041,Florence,2007,"1,108",
45,South Carolina,45041,Florence,2008,"1,059",
45,South Carolina,45041,Florence,2009,"1,090",
45,South Carolina,45041,Florence,2010,"1,017",
45,South Carolina,45041,Florence,2011,"1,061",
45,South Carolina,45041,Florence,2012,"1,373",
45,South Carolina,45041,Florence,2013,"1,341",
45,South Carolina,45041,Florence,2014,"1,429",
45,South Carolina,45043,Georgetown,2000,403,
45,South Carolina,45043,Georgetown,2001,376,
45,South Carolina,45043,Georgetown,2002,439,
45,South Carolina,45043,Georgetown,2003,391,
45,South Carolina,45043,Georgetown,2004,343,
45,South Carolina,45043,Georgetown,2005,429,
45,South Carolina,45043,Georgetown,2006,482,
45,South Carolina,45043,Georgetown,2007,420,
45,South Carolina,45043,Georgetown,2008,364,
45,South Carolina,45043,Georgetown,2009,373,
45,South Carolina,45043,Georgetown,2010,422,
45,South Carolina,45043,Georgetown,2011,410,
45,South Carolina,45043,Georgetown,2012,472,
45,South Carolina,45043,Georgetown,2013,430,
45,South Carolina,45043,Georgetown,2014,460,
45,South Carolina,45045,Greenville,2000,"2,525",
45,South Carolina,45045,Greenville,2001,"2,529",
45,South Carolina,45045,Greenville,2002,"2,622",
45,South Carolina,45045,Greenville,2003,"2,749",
45,South Carolina,45045,Greenville,2004,"2,355",
45,South Carolina,45045,Greenville,2005,"2,293",
45,South Carolina,45045,Greenville,2006,"2,201",
45,South Carolina,45045,Greenville,2007,"2,465",
45,South Carolina,45045,Greenville,2008,"2,200",
45,South Carolina,45045,Greenville,2009,"2,376",
45,South Carolina,45045,Greenville,2010,"2,383",
45,South Carolina,45045,Greenville,2011,"2,250",
45,South Carolina,45045,Greenville,2012,"2,520",
45,South Carolina,45045,Greenville,2013,"2,457",
45,South Carolina,45045,Greenville,2014,"2,335",
45,South Carolina,45047,Greenwood,2000,323,
45,South Carolina,45047,Greenwood,2001,337,
45,South Carolina,45047,Greenwood,2002,358,
45,South Carolina,45047,Greenwood,2003,395,
45,South Carolina,45047,Greenwood,2004,398,
45,South Carolina,45047,Greenwood,2005,387,
45,South Carolina,45047,Greenwood,2006,309,
45,South Carolina,45047,Greenwood,2007,428,
