stateFIPS,State,countyFIPS,County,Year,Value,
45,South Carolina,45001,Abbeville,1996,"25,074",
45,South Carolina,45001,Abbeville,1997,"25,308",
45,South Carolina,45001,Abbeville,1998,"25,670",
45,South Carolina,45001,Abbeville,1999,"25,921",
45,South Carolina,45001,Abbeville,2000,"26,229",
45,South Carolina,45001,Abbeville,2001,"26,330",
45,South Carolina,45001,Abbeville,2002,"26,311",
45,South Carolina,45001,Abbeville,2003,"26,306",
45,South Carolina,45001,Abbeville,2004,"26,235",
45,South Carolina,45001,Abbeville,2005,"25,995",
45,South Carolina,45001,Abbeville,2006,"25,821",
45,South Carolina,45001,Abbeville,2007,"25,745",
45,South Carolina,45001,Abbeville,2008,"25,699",
45,South Carolina,45001,Abbeville,2009,"25,614",
45,South Carolina,45001,Abbeville,2010,"25,328",
45,South Carolina,45001,Abbeville,2011,"25,082",
45,South Carolina,45001,Abbeville,2012,"25,019",
45,South Carolina,45001,Abbeville,2013,"24,901",
45,South Carolina,45001,Abbeville,2014,"24,800",
45,South Carolina,45001,Abbeville,2015,"24,802",
45,South Carolina,45003,Aiken,1996,"136,477",
45,South Carolina,45003,Aiken,1997,"138,080",
45,South Carolina,45003,Aiken,1998,"139,358",
45,South Carolina,45003,Aiken,1999,"141,379",
45,South Carolina,45003,Aiken,2000,"142,742",
45,South Carolina,45003,Aiken,2001,"143,676",
45,South Carolina,45003,Aiken,2002,"145,226",
45,South Carolina,45003,Aiken,2003,"146,793",
45,South Carolina,45003,Aiken,2004,"148,746",
45,South Carolina,45003,Aiken,2005,"150,152",
45,South Carolina,45003,Aiken,2006,"152,577",
45,South Carolina,45003,Aiken,2007,"154,814",
45,South Carolina,45003,Aiken,2008,"156,896",
45,South Carolina,45003,Aiken,2009,"158,499",
45,South Carolina,45003,Aiken,2010,"160,527",
45,South Carolina,45003,Aiken,2011,"161,591",
45,South Carolina,45003,Aiken,2012,"162,938",
45,South Carolina,45003,Aiken,2013,"163,708",
45,South Carolina,45003,Aiken,2014,"164,176",
45,South Carolina,45003,Aiken,2015,"165,550",
45,South Carolina,45005,Allendale,1996,"11,675",
45,South Carolina,45005,Allendale,1997,"11,488",
45,South Carolina,45005,Allendale,1998,"11,389",
45,South Carolina,45005,Allendale,1999,"11,316",
45,South Carolina,45005,Allendale,2000,"11,193",
45,South Carolina,45005,Allendale,2001,"11,022",
45,South Carolina,45005,Allendale,2002,"11,114",
45,South Carolina,45005,Allendale,2003,"11,092",
45,South Carolina,45005,Allendale,2004,"11,049",
45,South Carolina,45005,Allendale,2005,"11,021",
45,South Carolina,45005,Allendale,2006,"10,882",
45,South Carolina,45005,Allendale,2007,"10,787",
45,South Carolina,45005,Allendale,2008,"10,803",
45,South Carolina,45005,Allendale,2009,"10,619",
45,South Carolina,45005,Allendale,2010,"10,354",
45,South Carolina,45005,Allendale,2011,"10,234",
45,South Carolina,45005,Allendale,2012,"9,984",
45,South Carolina,45005,Allendale,2013,"9,826",
