stateFIPS,State,countyFIPS,County,Year,Value,
47,Tennessee,47001,Anderson,2000,270,
47,Tennessee,47001,Anderson,2001,349,
47,Tennessee,47001,Anderson,2002,328,
47,Tennessee,47001,Anderson,2003,322,
47,Tennessee,47001,Anderson,2004,283,
47,Tennessee,47001,Anderson,2005,278,
47,Tennessee,47001,Anderson,2006,279,
47,Tennessee,47001,Anderson,2007,272,
47,Tennessee,47001,Anderson,2008,307,
47,Tennessee,47001,Anderson,2009,349,
47,Tennessee,47001,Anderson,2010,311,
47,Tennessee,47001,Anderson,2011,321,
47,Tennessee,47003,Bedford,2000,137,
47,Tennessee,47003,Bedford,2001,234,
47,Tennessee,47003,Bedford,2002,254,
47,Tennessee,47003,Bedford,2003,254,
47,Tennessee,47003,Bedford,2004,228,
47,Tennessee,47003,Bedford,2005,248,
47,Tennessee,47003,Bedford,2006,226,
47,Tennessee,47003,Bedford,2007,211,
47,Tennessee,47003,Bedford,2008,207,
47,Tennessee,47003,Bedford,2009,227,
47,Tennessee,47003,Bedford,2010,222,
47,Tennessee,47003,Bedford,2011,248,
47,Tennessee,47005,Benton,2000,121,
47,Tennessee,47005,Benton,2001,115,
47,Tennessee,47005,Benton,2002,101,
47,Tennessee,47005,Benton,2003,87,
47,Tennessee,47005,Benton,2004,64,
47,Tennessee,47005,Benton,2005,58,
47,Tennessee,47005,Benton,2006,62,
47,Tennessee,47005,Benton,2007,86,
47,Tennessee,47005,Benton,2008,91,
47,Tennessee,47005,Benton,2009,89,
47,Tennessee,47005,Benton,2010,78,
47,Tennessee,47005,Benton,2011,72,
47,Tennessee,47007,Bledsoe,2000,55,
47,Tennessee,47007,Bledsoe,2001,72,
47,Tennessee,47007,Bledsoe,2002,75,
47,Tennessee,47007,Bledsoe,2003,90,
47,Tennessee,47007,Bledsoe,2004,64,
47,Tennessee,47007,Bledsoe,2005,49,
47,Tennessee,47007,Bledsoe,2006,71,
47,Tennessee,47007,Bledsoe,2007,52,
47,Tennessee,47007,Bledsoe,2008,63,
47,Tennessee,47007,Bledsoe,2009,64,
47,Tennessee,47007,Bledsoe,2010,69,
47,Tennessee,47007,Bledsoe,2011,57,
47,Tennessee,47009,Blount,2000,496,
47,Tennessee,47009,Blount,2001,541,
47,Tennessee,47009,Blount,2002,493,
47,Tennessee,47009,Blount,2003,432,
47,Tennessee,47009,Blount,2004,386,
47,Tennessee,47009,Blount,2005,406,
47,Tennessee,47009,Blount,2006,440,
47,Tennessee,47009,Blount,2007,459,
47,Tennessee,47009,Blount,2008,446,
47,Tennessee,47009,Blount,2009,419,
47,Tennessee,47009,Blount,2010,419,
47,Tennessee,47009,Blount,2011,385,
47,Tennessee,47011,Bradley,2000,429,
47,Tennessee,47011,Bradley,2001,558,
47,Tennessee,47011,Bradley,2002,519,
47,Tennessee,47011,Bradley,2003,539,
47,Tennessee,47011,Bradley,2004,485,
47,Tennessee,47011,Bradley,2005,518,
47,Tennessee,47011,Bradley,2006,523,
47,Tennessee,47011,Bradley,2007,473,
