stateFIPS,State,countyFIPS,County,Year,Value,
47,Tennessee,47001,Anderson,1996,"71,797",
47,Tennessee,47001,Anderson,1997,"71,736",
47,Tennessee,47001,Anderson,1998,"71,321",
47,Tennessee,47001,Anderson,1999,"71,454",
47,Tennessee,47001,Anderson,2000,"71,357",
47,Tennessee,47001,Anderson,2001,"71,461",
47,Tennessee,47001,Anderson,2002,"71,515",
47,Tennessee,47001,Anderson,2003,"71,608",
47,Tennessee,47001,Anderson,2004,"71,587",
47,Tennessee,47001,Anderson,2005,"72,040",
47,Tennessee,47001,Anderson,2006,"73,117",
47,Tennessee,47001,Anderson,2007,"73,580",
47,Tennessee,47001,Anderson,2008,"74,397",
47,Tennessee,47001,Anderson,2009,"75,031",
47,Tennessee,47001,Anderson,2010,"75,112",
47,Tennessee,47001,Anderson,2011,"75,173",
47,Tennessee,47001,Anderson,2012,"75,196",
47,Tennessee,47001,Anderson,2013,"75,258",
47,Tennessee,47001,Anderson,2014,"75,131",
47,Tennessee,47001,Anderson,2015,"75,459",
47,Tennessee,47003,Bedford,1996,"35,154",
47,Tennessee,47003,Bedford,1997,"35,710",
47,Tennessee,47003,Bedford,1998,"36,275",
47,Tennessee,47003,Bedford,1999,"36,931",
47,Tennessee,47003,Bedford,2000,"37,806",
47,Tennessee,47003,Bedford,2001,"38,414",
47,Tennessee,47003,Bedford,2002,"38,960",
47,Tennessee,47003,Bedford,2003,"39,697",
47,Tennessee,47003,Bedford,2004,"40,558",
47,Tennessee,47003,Bedford,2005,"41,616",
47,Tennessee,47003,Bedford,2006,"42,780",
47,Tennessee,47003,Bedford,2007,"43,678",
47,Tennessee,47003,Bedford,2008,"44,395",
47,Tennessee,47003,Bedford,2009,"44,845",
47,Tennessee,47003,Bedford,2010,"45,086",
47,Tennessee,47003,Bedford,2011,"45,227",
47,Tennessee,47003,Bedford,2012,"45,262",
47,Tennessee,47003,Bedford,2013,"45,584",
47,Tennessee,47003,Bedford,2014,"46,259",
47,Tennessee,47003,Bedford,2015,"46,892",
47,Tennessee,47005,Benton,1996,"16,094",
47,Tennessee,47005,Benton,1997,"16,299",
47,Tennessee,47005,Benton,1998,"16,353",
47,Tennessee,47005,Benton,1999,"16,519",
47,Tennessee,47005,Benton,2000,"16,537",
47,Tennessee,47005,Benton,2001,"16,673",
47,Tennessee,47005,Benton,2002,"16,572",
47,Tennessee,47005,Benton,2003,"16,531",
47,Tennessee,47005,Benton,2004,"16,517",
47,Tennessee,47005,Benton,2005,"16,515",
47,Tennessee,47005,Benton,2006,"16,435",
47,Tennessee,47005,Benton,2007,"16,490",
47,Tennessee,47005,Benton,2008,"16,431",
47,Tennessee,47005,Benton,2009,"16,424",
47,Tennessee,47005,Benton,2010,"16,511",
47,Tennessee,47005,Benton,2011,"16,488",
