stateFIPS,State,countyFIPS,County,Year,Value,
49,Utah,49001,Beaver,2000,37,
49,Utah,49001,Beaver,2001,27,
49,Utah,49001,Beaver,2002,31,
49,Utah,49001,Beaver,2003,18,
49,Utah,49001,Beaver,2004,9,
49,Utah,49001,Beaver,2005,24,
49,Utah,49001,Beaver,2006,9,
49,Utah,49001,Beaver,2007,18,
49,Utah,49001,Beaver,2008,19,
49,Utah,49001,Beaver,2009,19,
49,Utah,49001,Beaver,2010,13,
49,Utah,49001,Beaver,2011,13,
49,Utah,49001,Beaver,2012,10,
49,Utah,49001,Beaver,2013,8,
49,Utah,49001,Beaver,2014,9,
49,Utah,49001,Beaver,2015,14,
49,Utah,49003,Box Elder,2000,107,
49,Utah,49003,Box Elder,2001,121,
49,Utah,49003,Box Elder,2002,139,
49,Utah,49003,Box Elder,2003,106,
49,Utah,49003,Box Elder,2004,135,
49,Utah,49003,Box Elder,2005,111,
49,Utah,49003,Box Elder,2006,101,
49,Utah,49003,Box Elder,2007,145,
49,Utah,49003,Box Elder,2008,127,
49,Utah,49003,Box Elder,2009,133,
49,Utah,49003,Box Elder,2010,102,
49,Utah,49003,Box Elder,2011,109,
49,Utah,49003,Box Elder,2012,116,
49,Utah,49003,Box Elder,2013,89,
49,Utah,49003,Box Elder,2014,133,
49,Utah,49003,Box Elder,2015,89,
49,Utah,49005,Cache,2000,253,
49,Utah,49005,Cache,2001,218,
49,Utah,49005,Cache,2002,302,
49,Utah,49005,Cache,2003,212,
49,Utah,49005,Cache,2004,185,
49,Utah,49005,Cache,2005,179,
49,Utah,49005,Cache,2006,154,
49,Utah,49005,Cache,2007,165,
49,Utah,49005,Cache,2008,178,
49,Utah,49005,Cache,2009,134,
49,Utah,49005,Cache,2010,150,
49,Utah,49005,Cache,2011,187,
49,Utah,49005,Cache,2012,157,
49,Utah,49005,Cache,2013,155,
49,Utah,49005,Cache,2014,149,
49,Utah,49005,Cache,2015,143,
49,Utah,49007,Carbon,2000,83,
49,Utah,49007,Carbon,2001,75,
49,Utah,49007,Carbon,2002,98,
49,Utah,49007,Carbon,2003,86,
49,Utah,49007,Carbon,2004,97,
49,Utah,49007,Carbon,2005,86,
49,Utah,49007,Carbon,2006,77,
49,Utah,49007,Carbon,2007,93,
49,Utah,49007,Carbon,2008,105,
49,Utah,49007,Carbon,2009,78,
49,Utah,49007,Carbon,2010,91,
49,Utah,49007,Carbon,2011,87,
49,Utah,49007,Carbon,2012,88,
49,Utah,49007,Carbon,2013,82,
49,Utah,49007,Carbon,2014,92,
49,Utah,49007,Carbon,2015,54,
49,Utah,49009,Daggett,2000,Suppressed,
49,Utah,49009,Daggett,2001,Suppressed,
49,Utah,49009,Daggett,2002,Suppressed,
49,Utah,49009,Daggett,2003,Suppressed,
49,Utah,49009,Daggett,2004,0,
49,Utah,49009,Daggett,2005,Suppressed,
49,Utah,49009,Daggett,2006,0,
49,Utah,49009,Daggett,2007,Suppressed,
49,Utah,49009,Daggett,2008,0,
49,Utah,49009,Daggett,2009,0,
49,Utah,49009,Daggett,2010,Suppressed,
49,Utah,49009,Daggett,2011,Suppressed,
49,Utah,49009,Daggett,2012,0,
49,Utah,49009,Daggett,2013,Suppressed,
49,Utah,49009,Daggett,2014,Suppressed,
49,Utah,49009,Daggett,2015,Suppressed,
49,Utah,49011,Davis,2000,535,
49,Utah,49011,Davis,2001,509,
49,Utah,49011,Davis,2002,502,
49,Utah,49011,Davis,2003,603,
49,Utah,49011,Davis,2004,579,
49,Utah,49011,Davis,2005,631,
49,Utah,49011,Davis,2006,522,
49,Utah,49011,Davis,2007,504,
49,Utah,49011,Davis,2008,570,
49,Utah,49011,Davis,2009,623,
49,Utah,49011,Davis,2010,523,
49,Utah,49011,Davis,2011,524,
49,Utah,49011,Davis,2012,526,
49,Utah,49011,Davis,2013,560,
49,Utah,49011,Davis,2014,673,
49,Utah,49011,Davis,2015,545,
49,Utah,49013,Duchesne,2000,79,
49,Utah,49013,Duchesne,2001,83,
49,Utah,49013,Duchesne,2002,72,
49,Utah,49013,Duchesne,2003,73,
49,Utah,49013,Duchesne,2004,80,
49,Utah,49013,Duchesne,2005,159,
49,Utah,49013,Duchesne,2006,142,
49,Utah,49013,Duchesne,2007,86,
49,Utah,49013,Duchesne,2008,101,
49,Utah,49013,Duchesne,2009,94,
49,Utah,49013,Duchesne,2010,80,
49,Utah,49013,Duchesne,2011,83,
49,Utah,49013,Duchesne,2012,57,
49,Utah,49013,Duchesne,2013,61,
49,Utah,49013,Duchesne,2014,45,
49,Utah,49013,Duchesne,2015,Suppressed,
49,Utah,49015,Emery,2000,20,
49,Utah,49015,Emery,2001,30,
49,Utah,49015,Emery,2002,30,
49,Utah,49015,Emery,2003,22,
49,Utah,49015,Emery,2004,31,
49,Utah,49015,Emery,2005,18,
49,Utah,49015,Emery,2006,23,
49,Utah,49015,Emery,2007,18,
49,Utah,49015,Emery,2008,21,
49,Utah,49015,Emery,2009,23,
49,Utah,49015,Emery,2010,32,
49,Utah,49015,Emery,2011,23,
49,Utah,49015,Emery,2012,25,
49,Utah,49015,Emery,2013,23,
49,Utah,49015,Emery,2014,19,
49,Utah,49015,Emery,2015,19,
49,Utah,49017,Garfield,2000,11,
49,Utah,49017,Garfield,2001,10,
49,Utah,49017,Garfield,2002,11,
49,Utah,49017,Garfield,2003,15,
49,Utah,49017,Garfield,2004,18,
49,Utah,49017,Garfield,2005,7,
49,Utah,49017,Garfield,2006,Suppressed,
49,Utah,49017,Garfield,2007,9,
49,Utah,49017,Garfield,2008,Suppressed,
49,Utah,49017,Garfield,2009,16,
49,Utah,49017,Garfield,2010,12,
49,Utah,49017,Garfield,2011,7,
49,Utah,49017,Garfield,2012,12,
49,Utah,49017,Garfield,2013,15,
49,Utah,49017,Garfield,2014,22,
49,Utah,49017,Garfield,2015,15,
49,Utah,49019,Grand,2000,26,
49,Utah,49019,Grand,2001,27,
49,Utah,49019,Grand,2002,25,
49,Utah,49019,Grand,2003,15,
49,Utah,49019,Grand,2004,16,
49,Utah,49019,Grand,2005,30,
49,Utah,49019,Grand,2006,22,
49,Utah,49019,Grand,2007,17,
49,Utah,49019,Grand,2008,38,
49,Utah,49019,Grand,2009,29,
49,Utah,49019,Grand,2010,41,
49,Utah,49019,Grand,2011,20,
49,Utah,49019,Grand,2012,40,
49,Utah,49019,Grand,2013,26,
49,Utah,49019,Grand,2014,21,
49,Utah,49019,Grand,2015,18,
49,Utah,49021,Iron,2000,107,
49,Utah,49021,Iron,2001,113,
49,Utah,49021,Iron,2002,146,
49,Utah,49021,Iron,2003,187,
49,Utah,49021,Iron,2004,121,
49,Utah,49021,Iron,2005,152,
49,Utah,49021,Iron,2006,107,
49,Utah,49021,Iron,2007,99,
49,Utah,49021,Iron,2008,104,
49,Utah,49021,Iron,2009,110,
49,Utah,49021,Iron,2010,84,
49,Utah,49021,Iron,2011,68,
49,Utah,49021,Iron,2012,93,
49,Utah,49021,Iron,2013,86,
49,Utah,49021,Iron,2014,109,
49,Utah,49021,Iron,2015,78,
49,Utah,49023,Juab,2000,27,
49,Utah,49023,Juab,2001,23,
49,Utah,49023,Juab,2002,34,
49,Utah,49023,Juab,2003,35,
49,Utah,49023,Juab,2004,34,
49,Utah,49023,Juab,2005,17,
49,Utah,49023,Juab,2006,24,
49,Utah,49023,Juab,2007,21,
49,Utah,49023,Juab,2008,24,
49,Utah,49023,Juab,2009,27,
49,Utah,49023,Juab,2010,6,
49,Utah,49023,Juab,2011,36,
49,Utah,49023,Juab,2012,35,
49,Utah,49023,Juab,2013,17,
49,Utah,49023,Juab,2014,31,
49,Utah,49023,Juab,2015,28,
49,Utah,49025,Kane,2000,11,
49,Utah,49025,Kane,2001,13,
49,Utah,49025,Kane,2002,23,
49,Utah,49025,Kane,2003,12,
49,Utah,49025,Kane,2004,14,
49,Utah,49025,Kane,2005,10,
49,Utah,49025,Kane,2006,32,
49,Utah,49025,Kane,2007,13,
49,Utah,49025,Kane,2008,13,
49,Utah,49025,Kane,2009,19,
49,Utah,49025,Kane,2010,15,
49,Utah,49025,Kane,2011,10,
49,Utah,49025,Kane,2012,27,
49,Utah,49025,Kane,2013,12,
49,Utah,49025,Kane,2014,8,
49,Utah,49025,Kane,2015,15,
49,Utah,49027,Millard,2000,27,
49,Utah,49027,Millard,2001,32,
49,Utah,49027,Millard,2002,42,
49,Utah,49027,Millard,2003,38,
49,Utah,49027,Millard,2004,39,
49,Utah,49027,Millard,2005,43,
49,Utah,49027,Millard,2006,32,
49,Utah,49027,Millard,2007,61,
49,Utah,49027,Millard,2008,67,
49,Utah,49027,Millard,2009,54,
49,Utah,49027,Millard,2010,61,
49,Utah,49027,Millard,2011,62,
49,Utah,49027,Millard,2012,55,
49,Utah,49027,Millard,2013,59,
49,Utah,49027,Millard,2014,37,
49,Utah,49027,Millard,2015,38,
49,Utah,49029,Morgan,2000,Suppressed,
49,Utah,49029,Morgan,2001,8,
49,Utah,49029,Morgan,2002,Suppressed,
49,Utah,49029,Morgan,2003,Suppressed,
49,Utah,49029,Morgan,2004,Suppressed,
49,Utah,49029,Morgan,2005,9,
49,Utah,49029,Morgan,2006,Suppressed,
49,Utah,49029,Morgan,2007,Suppressed,
49,Utah,49029,Morgan,2008,13,
49,Utah,49029,Morgan,2009,7,
49,Utah,49029,Morgan,2010,9,
49,Utah,49029,Morgan,2011,8,
49,Utah,49029,Morgan,2012,Suppressed,
49,Utah,49029,Morgan,2013,7,
49,Utah,49029,Morgan,2014,6,
49,Utah,49029,Morgan,2015,9,
49,Utah,49031,Piute,2000,6,
49,Utah,49031,Piute,2001,Suppressed,
49,Utah,49031,Piute,2002,Suppressed,
49,Utah,49031,Piute,2003,Suppressed,
49,Utah,49031,Piute,2004,Suppressed,
49,Utah,49031,Piute,2005,Suppressed,
49,Utah,49031,Piute,2006,9,
49,Utah,49031,Piute,2007,7,
49,Utah,49031,Piute,2008,Suppressed,
49,Utah,49031,Piute,2009,7,
49,Utah,49031,Piute,2010,Suppressed,
49,Utah,49031,Piute,2011,14,
