stateFIPS,State,countyFIPS,County,Year,Value,
49,Utah,49001,Beaver,1996,"5,687",
49,Utah,49001,Beaver,1997,"5,851",
49,Utah,49001,Beaver,1998,"5,883",
49,Utah,49001,Beaver,1999,"5,978",
49,Utah,49001,Beaver,2000,"5,998",
49,Utah,49001,Beaver,2001,"5,999",
49,Utah,49001,Beaver,2002,"6,058",
49,Utah,49001,Beaver,2003,"6,039",
49,Utah,49001,Beaver,2004,"6,077",
49,Utah,49001,Beaver,2005,"6,192",
49,Utah,49001,Beaver,2006,"6,281",
49,Utah,49001,Beaver,2007,"6,266",
49,Utah,49001,Beaver,2008,"6,413",
49,Utah,49001,Beaver,2009,"6,552",
49,Utah,49001,Beaver,2010,"6,655",
49,Utah,49001,Beaver,2011,"6,558",
49,Utah,49001,Beaver,2012,"6,505",
49,Utah,49001,Beaver,2013,"6,462",
49,Utah,49001,Beaver,2014,"6,426",
49,Utah,49001,Beaver,2015,"6,344",
49,Utah,49003,Box Elder,1996,"39,802",
49,Utah,49003,Box Elder,1997,"40,751",
49,Utah,49003,Box Elder,1998,"41,571",
49,Utah,49003,Box Elder,1999,"42,378",
49,Utah,49003,Box Elder,2000,"42,882",
49,Utah,49003,Box Elder,2001,"43,362",
49,Utah,49003,Box Elder,2002,"44,038",
49,Utah,49003,Box Elder,2003,"44,548",
49,Utah,49003,Box Elder,2004,"44,666",
49,Utah,49003,Box Elder,2005,"45,090",
49,Utah,49003,Box Elder,2006,"45,948",
49,Utah,49003,Box Elder,2007,"47,193",
49,Utah,49003,Box Elder,2008,"48,437",
49,Utah,49003,Box Elder,2009,"49,372",
49,Utah,49003,Box Elder,2010,"50,167",
49,Utah,49003,Box Elder,2011,"50,240",
49,Utah,49003,Box Elder,2012,"50,201",
49,Utah,49003,Box Elder,2013,"50,734",
49,Utah,49003,Box Elder,2014,"51,302",
49,Utah,49003,Box Elder,2015,"51,821",
49,Utah,49005,Cache,1996,"86,326",
49,Utah,49005,Cache,1997,"88,002",
49,Utah,49005,Cache,1998,"89,866",
49,Utah,49005,Cache,1999,"90,299",
49,Utah,49005,Cache,2000,"91,861",
49,Utah,49005,Cache,2001,"92,831",
49,Utah,49005,Cache,2002,"95,493",
49,Utah,49005,Cache,2003,"97,101",
49,Utah,49005,Cache,2004,"98,854",
49,Utah,49005,Cache,2005,"100,501",
49,Utah,49005,Cache,2006,"101,236",
49,Utah,49005,Cache,2007,"103,624",
49,Utah,49005,Cache,2008,"106,824",
49,Utah,49005,Cache,2009,"110,291",
49,Utah,49005,Cache,2010,"113,375",
49,Utah,49005,Cache,2011,"114,810",
49,Utah,49005,Cache,2012,"115,858",
49,Utah,49005,Cache,2013,"117,043",
