stateFIPS,State,countyFIPS,County,Year,Value,
50,Vermont,50001,Addison,2003,119,
50,Vermont,50001,Addison,2004,101,
50,Vermont,50001,Addison,2005,126,
50,Vermont,50001,Addison,2006,116,
50,Vermont,50001,Addison,2007,121,
50,Vermont,50001,Addison,2008,122,
50,Vermont,50001,Addison,2009,108,
50,Vermont,50001,Addison,2010,134,
50,Vermont,50001,Addison,2011,117,
50,Vermont,50001,Addison,2012,128,
50,Vermont,50001,Addison,2013,125,
50,Vermont,50001,Addison,2014,190,
50,Vermont,50001,Addison,2015,180,
50,Vermont,50003,Bennington,2003,149,
50,Vermont,50003,Bennington,2004,151,
50,Vermont,50003,Bennington,2005,136,
50,Vermont,50003,Bennington,2006,100,
50,Vermont,50003,Bennington,2007,114,
50,Vermont,50003,Bennington,2008,134,
50,Vermont,50003,Bennington,2009,109,
50,Vermont,50003,Bennington,2010,118,
50,Vermont,50003,Bennington,2011,102,
50,Vermont,50003,Bennington,2012,118,
50,Vermont,50003,Bennington,2013,114,
50,Vermont,50003,Bennington,2014,104,
50,Vermont,50003,Bennington,2015,123,
50,Vermont,50005,Caledonia,2003,147,
50,Vermont,50005,Caledonia,2004,122,
50,Vermont,50005,Caledonia,2005,155,
50,Vermont,50005,Caledonia,2006,170,
50,Vermont,50005,Caledonia,2007,134,
50,Vermont,50005,Caledonia,2008,165,
50,Vermont,50005,Caledonia,2009,147,
50,Vermont,50005,Caledonia,2010,108,
50,Vermont,50005,Caledonia,2011,153,
50,Vermont,50005,Caledonia,2012,155,
50,Vermont,50005,Caledonia,2013,161,
50,Vermont,50005,Caledonia,2014,178,
50,Vermont,50005,Caledonia,2015,166,
50,Vermont,50007,Chittenden,2003,521,
50,Vermont,50007,Chittenden,2004,455,
50,Vermont,50007,Chittenden,2005,534,
50,Vermont,50007,Chittenden,2006,542,
50,Vermont,50007,Chittenden,2007,524,
50,Vermont,50007,Chittenden,2008,496,
50,Vermont,50007,Chittenden,2009,499,
50,Vermont,50007,Chittenden,2010,478,
50,Vermont,50007,Chittenden,2011,433,
50,Vermont,50007,Chittenden,2012,404,
50,Vermont,50007,Chittenden,2013,477,
50,Vermont,50007,Chittenden,2014,463,
50,Vermont,50007,Chittenden,2015,455,
50,Vermont,50009,Essex,2003,32,
50,Vermont,50009,Essex,2004,42,
50,Vermont,50009,Essex,2005,43,
50,Vermont,50009,Essex,2006,33,
50,Vermont,50009,Essex,2007,30,
50,Vermont,50009,Essex,2008,28,
50,Vermont,50009,Essex,2009,32,
50,Vermont,50009,Essex,2010,29,
50,Vermont,50009,Essex,2011,31,
50,Vermont,50009,Essex,2012,26,
50,Vermont,50009,Essex,2013,11,
50,Vermont,50009,Essex,2014,13,
50,Vermont,50009,Essex,2015,36,
50,Vermont,50011,Franklin,2003,237,
50,Vermont,50011,Franklin,2004,204,
50,Vermont,50011,Franklin,2005,246,
50,Vermont,50011,Franklin,2006,242,
50,Vermont,50011,Franklin,2007,243,
50,Vermont,50011,Franklin,2008,246,
50,Vermont,50011,Franklin,2009,287,
50,Vermont,50011,Franklin,2010,251,
50,Vermont,50011,Franklin,2011,249,
50,Vermont,50011,Franklin,2012,264,
50,Vermont,50011,Franklin,2013,303,
50,Vermont,50011,Franklin,2014,321,
50,Vermont,50011,Franklin,2015,303,
50,Vermont,50013,Grand Isle,2003,34,
50,Vermont,50013,Grand Isle,2004,17,
50,Vermont,50013,Grand Isle,2005,40,
50,Vermont,50013,Grand Isle,2006,31,
50,Vermont,50013,Grand Isle,2007,17,
50,Vermont,50013,Grand Isle,2008,38,
50,Vermont,50013,Grand Isle,2009,28,
50,Vermont,50013,Grand Isle,2010,25,
50,Vermont,50013,Grand Isle,2011,22,
50,Vermont,50013,Grand Isle,2012,19,
50,Vermont,50013,Grand Isle,2013,33,
50,Vermont,50013,Grand Isle,2014,36,
50,Vermont,50013,Grand Isle,2015,19,
50,Vermont,50015,Lamoille,2003,87,
50,Vermont,50015,Lamoille,2004,72,
50,Vermont,50015,Lamoille,2005,96,
50,Vermont,50015,Lamoille,2006,91,
50,Vermont,50015,Lamoille,2007,106,
50,Vermont,50015,Lamoille,2008,110,
50,Vermont,50015,Lamoille,2009,71,
50,Vermont,50015,Lamoille,2010,62,
50,Vermont,50015,Lamoille,2011,72,
50,Vermont,50015,Lamoille,2012,76,
50,Vermont,50015,Lamoille,2013,97,
50,Vermont,50015,Lamoille,2014,87,
50,Vermont,50015,Lamoille,2015,103,
50,Vermont,50017,Orange,2003,105,
50,Vermont,50017,Orange,2004,128,
50,Vermont,50017,Orange,2005,143,
50,Vermont,50017,Orange,2006,108,
50,Vermont,50017,Orange,2007,102,
50,Vermont,50017,Orange,2008,120,
50,Vermont,50017,Orange,2009,123,
50,Vermont,50017,Orange,2010,73,
50,Vermont,50017,Orange,2011,111,
50,Vermont,50017,Orange,2012,138,
50,Vermont,50017,Orange,2013,135,
50,Vermont,50017,Orange,2014,129,
50,Vermont,50017,Orange,2015,132,
50,Vermont,50019,Orleans,2003,135,
50,Vermont,50019,Orleans,2004,108,
50,Vermont,50019,Orleans,2005,141,
50,Vermont,50019,Orleans,2006,167,
50,Vermont,50019,Orleans,2007,156,
50,Vermont,50019,Orleans,2008,167,
50,Vermont,50019,Orleans,2009,178,
50,Vermont,50019,Orleans,2010,183,
50,Vermont,50019,Orleans,2011,174,
50,Vermont,50019,Orleans,2012,124,
50,Vermont,50019,Orleans,2013,166,
50,Vermont,50019,Orleans,2014,156,
50,Vermont,50019,Orleans,2015,235,
50,Vermont,50021,Rutland,2003,513,
50,Vermont,50021,Rutland,2004,421,
50,Vermont,50021,Rutland,2005,467,
50,Vermont,50021,Rutland,2006,442,
