stateFIPS,State,countyFIPS,County,Year,Value,
50,Vermont,50001,Addison,1996,"34,930",
50,Vermont,50001,Addison,1997,"35,103",
50,Vermont,50001,Addison,1998,"35,481",
50,Vermont,50001,Addison,1999,"35,687",
50,Vermont,50001,Addison,2000,"36,002",
50,Vermont,50001,Addison,2001,"36,055",
50,Vermont,50001,Addison,2002,"36,320",
50,Vermont,50001,Addison,2003,"36,432",
50,Vermont,50001,Addison,2004,"36,580",
50,Vermont,50001,Addison,2005,"36,611",
50,Vermont,50001,Addison,2006,"36,758",
50,Vermont,50001,Addison,2007,"36,886",
50,Vermont,50001,Addison,2008,"36,905",
50,Vermont,50001,Addison,2009,"36,847",
50,Vermont,50001,Addison,2010,"36,825",
50,Vermont,50001,Addison,2011,"36,846",
50,Vermont,50001,Addison,2012,"36,796",
50,Vermont,50001,Addison,2013,"36,825",
50,Vermont,50001,Addison,2014,"36,870",
50,Vermont,50001,Addison,2015,"36,808",
50,Vermont,50003,Bennington,1996,"36,809",
50,Vermont,50003,Bennington,1997,"36,782",
50,Vermont,50003,Bennington,1998,"36,770",
50,Vermont,50003,Bennington,1999,"36,927",
50,Vermont,50003,Bennington,2000,"36,965",
50,Vermont,50003,Bennington,2001,"36,974",
50,Vermont,50003,Bennington,2002,"37,105",
50,Vermont,50003,Bennington,2003,"37,083",
50,Vermont,50003,Bennington,2004,"37,062",
50,Vermont,50003,Bennington,2005,"36,960",
50,Vermont,50003,Bennington,2006,"37,127",
50,Vermont,50003,Bennington,2007,"37,077",
50,Vermont,50003,Bennington,2008,"37,168",
50,Vermont,50003,Bennington,2009,"37,151",
50,Vermont,50003,Bennington,2010,"37,082",
50,Vermont,50003,Bennington,2011,"36,796",
50,Vermont,50003,Bennington,2012,"36,603",
50,Vermont,50003,Bennington,2013,"36,548",
50,Vermont,50003,Bennington,2014,"36,187",
50,Vermont,50003,Bennington,2015,"36,088",
50,Vermont,50005,Caledonia,1996,"29,223",
50,Vermont,50005,Caledonia,1997,"29,131",
50,Vermont,50005,Caledonia,1998,"29,214",
50,Vermont,50005,Caledonia,1999,"29,546",
50,Vermont,50005,Caledonia,2000,"29,662",
50,Vermont,50005,Caledonia,2001,"29,704",
50,Vermont,50005,Caledonia,2002,"30,046",
50,Vermont,50005,Caledonia,2003,"30,188",
50,Vermont,50005,Caledonia,2004,"30,642",
50,Vermont,50005,Caledonia,2005,"30,881",
50,Vermont,50005,Caledonia,2006,"31,252",
50,Vermont,50005,Caledonia,2007,"31,238",
50,Vermont,50005,Caledonia,2008,"31,167",
50,Vermont,50005,Caledonia,2009,"31,213",
50,Vermont,50005,Caledonia,2010,"31,163",
50,Vermont,50005,Caledonia,2011,"31,096",
50,Vermont,50005,Caledonia,2012,"31,015",
50,Vermont,50005,Caledonia,2013,"31,040",
50,Vermont,50005,Caledonia,2014,"30,873",
50,Vermont,50005,Caledonia,2015,"30,634",
50,Vermont,50007,Chittenden,1996,"141,239",
50,Vermont,50007,Chittenden,1997,"142,729",
50,Vermont,50007,Chittenden,1998,"143,758",
50,Vermont,50007,Chittenden,1999,"145,379",
50,Vermont,50007,Chittenden,2000,"147,161",
50,Vermont,50007,Chittenden,2001,"148,441",
50,Vermont,50007,Chittenden,2002,"149,639",
50,Vermont,50007,Chittenden,2003,"150,410",
50,Vermont,50007,Chittenden,2004,"151,445",
50,Vermont,50007,Chittenden,2005,"152,163",
50,Vermont,50007,Chittenden,2006,"152,861",
50,Vermont,50007,Chittenden,2007,"153,625",
50,Vermont,50007,Chittenden,2008,"154,659",
50,Vermont,50007,Chittenden,2009,"155,793",
50,Vermont,50007,Chittenden,2010,"156,752",
50,Vermont,50007,Chittenden,2011,"157,618",
50,Vermont,50007,Chittenden,2012,"158,493",
50,Vermont,50007,Chittenden,2013,"159,568",
50,Vermont,50007,Chittenden,2014,"160,455",
50,Vermont,50007,Chittenden,2015,"161,010",
50,Vermont,50009,Essex,1996,"6,356",
50,Vermont,50009,Essex,1997,"6,346",
50,Vermont,50009,Essex,1998,"6,413",
50,Vermont,50009,Essex,1999,"6,469",
50,Vermont,50009,Essex,2000,"6,445",
50,Vermont,50009,Essex,2001,"6,467",
50,Vermont,50009,Essex,2002,"6,503",
50,Vermont,50009,Essex,2003,"6,480",
50,Vermont,50009,Essex,2004,"6,478",
50,Vermont,50009,Essex,2005,"6,450",
50,Vermont,50009,Essex,2006,"6,341",
50,Vermont,50009,Essex,2007,"6,421",
50,Vermont,50009,Essex,2008,"6,404",
50,Vermont,50009,Essex,2009,"6,331",
50,Vermont,50009,Essex,2010,"6,312",
50,Vermont,50009,Essex,2011,"6,323",
50,Vermont,50009,Essex,2012,"6,224",
50,Vermont,50009,Essex,2013,"6,193",
50,Vermont,50009,Essex,2014,"6,155",
50,Vermont,50009,Essex,2015,"6,195",
50,Vermont,50011,Franklin,1996,"43,594",
50,Vermont,50011,Franklin,1997,"43,902",
50,Vermont,50011,Franklin,1998,"44,392",
50,Vermont,50011,Franklin,1999,"44,899",
50,Vermont,50011,Franklin,2000,"45,530",
50,Vermont,50011,Franklin,2001,"45,900",
50,Vermont,50011,Franklin,2002,"46,305",
50,Vermont,50011,Franklin,2003,"46,590",
50,Vermont,50011,Franklin,2004,"46,942",
50,Vermont,50011,Franklin,2005,"47,192",
50,Vermont,50011,Franklin,2006,"47,392",
50,Vermont,50011,Franklin,2007,"47,455",
50,Vermont,50011,Franklin,2008,"47,462",
50,Vermont,50011,Franklin,2009,"47,620",
50,Vermont,50011,Franklin,2010,"47,814",
50,Vermont,50011,Franklin,2011,"48,187",
50,Vermont,50011,Franklin,2012,"48,284",
50,Vermont,50011,Franklin,2013,"48,388",
50,Vermont,50011,Franklin,2014,"48,761",
50,Vermont,50011,Franklin,2015,"48,933",
50,Vermont,50013,Grand Isle,1996,"6,210",
50,Vermont,50013,Grand Isle,1997,"6,409",
50,Vermont,50013,Grand Isle,1998,"6,541",
50,Vermont,50013,Grand Isle,1999,"6,749",
50,Vermont,50013,Grand Isle,2000,"6,909",
50,Vermont,50013,Grand Isle,2001,"7,020",
50,Vermont,50013,Grand Isle,2002,"7,108",
50,Vermont,50013,Grand Isle,2003,"7,201",
50,Vermont,50013,Grand Isle,2004,"7,265",
50,Vermont,50013,Grand Isle,2005,"7,282",
50,Vermont,50013,Grand Isle,2006,"7,173",
50,Vermont,50013,Grand Isle,2007,"7,152",
50,Vermont,50013,Grand Isle,2008,"7,211",
50,Vermont,50013,Grand Isle,2009,"7,022",
50,Vermont,50013,Grand Isle,2010,"6,948",
50,Vermont,50013,Grand Isle,2011,"6,969",
50,Vermont,50013,Grand Isle,2012,"6,967",
50,Vermont,50013,Grand Isle,2013,"6,984",
50,Vermont,50013,Grand Isle,2014,"6,966",
50,Vermont,50013,Grand Isle,2015,"6,869",
50,Vermont,50015,Lamoille,1996,"21,940",
50,Vermont,50015,Lamoille,1997,"22,112",
50,Vermont,50015,Lamoille,1998,"22,416",
50,Vermont,50015,Lamoille,1999,"22,792",
50,Vermont,50015,Lamoille,2000,"23,285",
50,Vermont,50015,Lamoille,2001,"23,378",
50,Vermont,50015,Lamoille,2002,"23,475",
50,Vermont,50015,Lamoille,2003,"23,539",
50,Vermont,50015,Lamoille,2004,"23,444",
50,Vermont,50015,Lamoille,2005,"23,421",
50,Vermont,50015,Lamoille,2006,"23,642",
50,Vermont,50015,Lamoille,2007,"23,778",
50,Vermont,50015,Lamoille,2008,"23,971",
50,Vermont,50015,Lamoille,2009,"24,193",
50,Vermont,50015,Lamoille,2010,"24,517",
50,Vermont,50015,Lamoille,2011,"24,674",
50,Vermont,50015,Lamoille,2012,"24,919",
50,Vermont,50015,Lamoille,2013,"25,058",
50,Vermont,50015,Lamoille,2014,"25,092",
50,Vermont,50015,Lamoille,2015,"25,195",
50,Vermont,50017,Orange,1996,"27,645",
50,Vermont,50017,Orange,1997,"27,909",
50,Vermont,50017,Orange,1998,"28,015",
50,Vermont,50017,Orange,1999,"28,005",
50,Vermont,50017,Orange,2000,"28,381",
50,Vermont,50017,Orange,2001,"28,696",
50,Vermont,50017,Orange,2002,"28,735",
50,Vermont,50017,Orange,2003,"28,921",
50,Vermont,50017,Orange,2004,"29,040",
50,Vermont,50017,Orange,2005,"29,066",
50,Vermont,50017,Orange,2006,"29,249",
50,Vermont,50017,Orange,2007,"29,119",
50,Vermont,50017,Orange,2008,"29,032",
50,Vermont,50017,Orange,2009,"28,965",
50,Vermont,50017,Orange,2010,"28,943",
50,Vermont,50017,Orange,2011,"29,007",
50,Vermont,50017,Orange,2012,"28,911",
50,Vermont,50017,Orange,2013,"28,849",
50,Vermont,50017,Orange,2014,"28,878",
50,Vermont,50017,Orange,2015,"28,885",
50,Vermont,50019,Orleans,1996,"25,484",
50,Vermont,50019,Orleans,1997,"25,763",
50,Vermont,50019,Orleans,1998,"25,889",
50,Vermont,50019,Orleans,1999,"26,053",
50,Vermont,50019,Orleans,2000,"26,321",
50,Vermont,50019,Orleans,2001,"26,443",
50,Vermont,50019,Orleans,2002,"26,540",
50,Vermont,50019,Orleans,2003,"26,908",
50,Vermont,50019,Orleans,2004,"27,064",
50,Vermont,50019,Orleans,2005,"27,224",
50,Vermont,50019,Orleans,2006,"27,215",
50,Vermont,50019,Orleans,2007,"27,332",
50,Vermont,50019,Orleans,2008,"27,269",
50,Vermont,50019,Orleans,2009,"27,234",
50,Vermont,50019,Orleans,2010,"27,245",
50,Vermont,50019,Orleans,2011,"27,173",
50,Vermont,50019,Orleans,2012,"27,153",
50,Vermont,50019,Orleans,2013,"27,131",
50,Vermont,50019,Orleans,2014,"27,022",
50,Vermont,50019,Orleans,2015,"27,008",
50,Vermont,50021,Rutland,1996,"63,248",
50,Vermont,50021,Rutland,1997,"63,250",
50,Vermont,50021,Rutland,1998,"63,350",
50,Vermont,50021,Rutland,1999,"63,258",
50,Vermont,50021,Rutland,2000,"63,373",
50,Vermont,50021,Rutland,2001,"63,132",
50,Vermont,50021,Rutland,2002,"62,982",
