stateFIPS,State,countyFIPS,County,Year,Value,
55,Wisconsin,55001,Adams,1996,"17,545",
55,Wisconsin,55001,Adams,1997,"17,989",
55,Wisconsin,55001,Adams,1998,"18,158",
55,Wisconsin,55001,Adams,1999,"18,462",
55,Wisconsin,55001,Adams,2000,"20,047",
55,Wisconsin,55001,Adams,2001,"20,337",
55,Wisconsin,55001,Adams,2002,"20,578",
55,Wisconsin,55001,Adams,2003,"20,644",
55,Wisconsin,55001,Adams,2004,"20,774",
55,Wisconsin,55001,Adams,2005,"21,211",
55,Wisconsin,55001,Adams,2006,"21,185",
55,Wisconsin,55001,Adams,2007,"21,156",
55,Wisconsin,55001,Adams,2008,"21,101",
55,Wisconsin,55001,Adams,2009,"20,930",
55,Wisconsin,55001,Adams,2010,"20,886",
55,Wisconsin,55001,Adams,2011,"20,778",
55,Wisconsin,55001,Adams,2012,"20,426",
55,Wisconsin,55001,Adams,2013,"20,419",
55,Wisconsin,55001,Adams,2014,"20,135",
55,Wisconsin,55001,Adams,2015,"20,032",
55,Wisconsin,55003,Ashland,1996,"16,891",
55,Wisconsin,55003,Ashland,1997,"16,905",
55,Wisconsin,55003,Ashland,1998,"16,896",
55,Wisconsin,55003,Ashland,1999,"16,891",
55,Wisconsin,55003,Ashland,2000,"16,823",
55,Wisconsin,55003,Ashland,2001,"16,773",
55,Wisconsin,55003,Ashland,2002,"16,747",
55,Wisconsin,55003,Ashland,2003,"16,647",
55,Wisconsin,55003,Ashland,2004,"16,547",
55,Wisconsin,55003,Ashland,2005,"16,407",
55,Wisconsin,55003,Ashland,2006,"16,408",
55,Wisconsin,55003,Ashland,2007,"16,199",
55,Wisconsin,55003,Ashland,2008,"16,145",
55,Wisconsin,55003,Ashland,2009,"16,128",
55,Wisconsin,55003,Ashland,2010,"16,143",
55,Wisconsin,55003,Ashland,2011,"16,025",
55,Wisconsin,55003,Ashland,2012,"15,840",
55,Wisconsin,55003,Ashland,2013,"15,967",
55,Wisconsin,55003,Ashland,2014,"15,990",
55,Wisconsin,55003,Ashland,2015,"15,805",
55,Wisconsin,55005,Barron,1996,"43,760",
55,Wisconsin,55005,Barron,1997,"44,119",
55,Wisconsin,55005,Barron,1998,"44,419",
55,Wisconsin,55005,Barron,1999,"44,705",
55,Wisconsin,55005,Barron,2000,"45,018",
55,Wisconsin,55005,Barron,2001,"45,225",
55,Wisconsin,55005,Barron,2002,"45,515",
55,Wisconsin,55005,Barron,2003,"45,601",
55,Wisconsin,55005,Barron,2004,"45,804",
55,Wisconsin,55005,Barron,2005,"45,808",
55,Wisconsin,55005,Barron,2006,"45,968",
55,Wisconsin,55005,Barron,2007,"45,874",
55,Wisconsin,55005,Barron,2008,"46,009",
55,Wisconsin,55005,Barron,2009,"45,876",
55,Wisconsin,55005,Barron,2010,"45,812",
55,Wisconsin,55005,Barron,2011,"45,879",
55,Wisconsin,55005,Barron,2012,"45,765",
55,Wisconsin,55005,Barron,2013,"45,568",
55,Wisconsin,55005,Barron,2014,"45,334",
55,Wisconsin,55005,Barron,2015,"45,368",
55,Wisconsin,55007,Bayfield,1996,"14,710",
55,Wisconsin,55007,Bayfield,1997,"14,789",
55,Wisconsin,55007,Bayfield,1998,"14,727",
55,Wisconsin,55007,Bayfield,1999,"14,895",
55,Wisconsin,55007,Bayfield,2000,"15,028",
55,Wisconsin,55007,Bayfield,2001,"15,076",
55,Wisconsin,55007,Bayfield,2002,"15,128",
55,Wisconsin,55007,Bayfield,2003,"15,165",
55,Wisconsin,55007,Bayfield,2004,"15,164",
55,Wisconsin,55007,Bayfield,2005,"15,163",
55,Wisconsin,55007,Bayfield,2006,"15,172",
55,Wisconsin,55007,Bayfield,2007,"15,255",
55,Wisconsin,55007,Bayfield,2008,"15,160",
55,Wisconsin,55007,Bayfield,2009,"14,981",
55,Wisconsin,55007,Bayfield,2010,"15,006",
55,Wisconsin,55007,Bayfield,2011,"15,064",
55,Wisconsin,55007,Bayfield,2012,"15,062",
55,Wisconsin,55007,Bayfield,2013,"15,118",
55,Wisconsin,55007,Bayfield,2014,"14,974",
55,Wisconsin,55007,Bayfield,2015,"14,980",
55,Wisconsin,55009,Brown,1996,"217,845",
55,Wisconsin,55009,Brown,1997,"220,434",
55,Wisconsin,55009,Brown,1998,"222,375",
55,Wisconsin,55009,Brown,1999,"224,825",
55,Wisconsin,55009,Brown,2000,"227,266",
55,Wisconsin,55009,Brown,2001,"229,332",
55,Wisconsin,55009,Brown,2002,"231,821",
55,Wisconsin,55009,Brown,2003,"233,878",
55,Wisconsin,55009,Brown,2004,"236,654",
55,Wisconsin,55009,Brown,2005,"238,587",
55,Wisconsin,55009,Brown,2006,"240,191",
55,Wisconsin,55009,Brown,2007,"242,691",
55,Wisconsin,55009,Brown,2008,"244,016",
55,Wisconsin,55009,Brown,2009,"246,476",
55,Wisconsin,55009,Brown,2010,"248,476",
55,Wisconsin,55009,Brown,2011,"250,525",
55,Wisconsin,55009,Brown,2012,"252,761",
55,Wisconsin,55009,Brown,2013,"254,264",
55,Wisconsin,55009,Brown,2014,"256,243",
55,Wisconsin,55009,Brown,2015,"257,875",
55,Wisconsin,55011,Buffalo,1996,"13,780",
55,Wisconsin,55011,Buffalo,1997,"13,806",
55,Wisconsin,55011,Buffalo,1998,"13,761",
55,Wisconsin,55011,Buffalo,1999,"13,751",
55,Wisconsin,55011,Buffalo,2000,"13,799",
55,Wisconsin,55011,Buffalo,2001,"13,855",
55,Wisconsin,55011,Buffalo,2002,"13,777",
55,Wisconsin,55011,Buffalo,2003,"13,807",
55,Wisconsin,55011,Buffalo,2004,"13,785",
55,Wisconsin,55011,Buffalo,2005,"13,969",
55,Wisconsin,55011,Buffalo,2006,"13,908",
55,Wisconsin,55011,Buffalo,2007,"13,885",
55,Wisconsin,55011,Buffalo,2008,"13,734",
55,Wisconsin,55011,Buffalo,2009,"13,618",
55,Wisconsin,55011,Buffalo,2010,"13,550",
55,Wisconsin,55011,Buffalo,2011,"13,443",
55,Wisconsin,55011,Buffalo,2012,"13,346",
